item_uid,n,n_knows,p_vlm,p_knows,p_model,p_soft,p_pred_child,p_human,d_bank
vocab_word_acorn,12,12,1,1,1,1,0.856,0.879,-4.1862
vocab_word_aloe,12,12,0.6666666666666666,0.6666666666666666,1,0.75,0.624,0.717,-0.089
vocab_word_antenna,12,12,1,1,1,1,0.856,0.882,-1.1464
vocab_word_artichoke,12,12,0.5833333333333334,0.5833333333333334,0.9166666666666666,0.6875,0.608,0.729,-0.9324
vocab_word_bamboo,12,12,1,1,1,1,0.856,0.936,0
vocab_word_barrel,12,12,1,1,1,1,0.856,0.845,-3.036
vocab_word_blender,12,12,1,1,1,1,0.856,0.96,0
vocab_word_blower,12,12,1,1,1,1,0.856,0.892,-2.4651
vocab_word_bouquet,12,12,1,1,1,1,0.856,0.932,-1.7052
vocab_word_buffet,12,12,1,1,1,1,0.856,0.797,0
vocab_word_bulldozer,12,12,1,1,1,1,0.82,0.861,-1.7354
vocab_word_cake,12,12,1,1,1,1,0.856,0.97,0
vocab_word_caramel,12,12,1,1,1,1,0.856,0.789,-2.0087
vocab_word_carousel,12,12,1,1,1,1,0.856,0.695,-1.3925
vocab_word_carrot,12,12,1,1,1,1,0.856,0.955,-4.4345
vocab_word_cassette,12,12,0.75,0.6666666666666666,0.9166666666666666,0.75,0.624,0.788,-1.2517
vocab_word_cheese,12,12,1,1,1,1,0.856,0.712,-0.0719
vocab_word_cloak,12,12,1,0.9166666666666666,1,0.9375,0.856,0.415,-0.88
vocab_word_clothespin,12,12,1,1,1,1,0.804,0.908,-2.7166
vocab_word_coaster,12,12,1,1,1,1,0.856,0.78,-0.4266
vocab_word_cork,12,12,1,1,1,1,0.856,0.795,-2.0911
vocab_word_cornbread,12,12,1,1,1,1,0.817,0.793,-2.6628
vocab_word_corset,12,12,0.4166666666666667,0.3333333333333333,0.6666666666666666,0.5,0.567,0.616,-0.041
vocab_word_dumpling,12,12,1,1,1,1,0.816,0.549,-2.3386
vocab_word_elbow,12,12,1,1,1,1,0.856,0.89,-2.2687
vocab_word_fan,12,12,1,1,1,1,0.856,0.933,-4.0501
vocab_word_foam,12,12,1,1,1,1,0.856,0.897,-2.4014
vocab_word_footbath,12,12,1,1,1,1,0.8,0.977,0
vocab_word_fruitcake,12,12,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.875,0.636,0.916,-2.7469
vocab_word_gutter,12,12,0.8333333333333334,0.8333333333333334,1,0.875,0.624,0.63,-0.7046
vocab_word_hamster,12,12,1,1,1,1,0.856,0.892,-4.0798
vocab_word_hedgehog,12,12,1,1,1,1,0.856,0.985,0
vocab_word_hoe,12,12,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.875,0.624,0.709,-1.6399
vocab_word_hopscotch,12,12,1,1,1,1,0.811,0.677,-2.7237
vocab_word_kimono,12,12,0.75,0.6666666666666666,1,0.75,0.613,0.571,-0.6306
vocab_word_latch,12,12,1,1,1,1,0.856,0.636,-1.8556
vocab_word_locker,12,12,1,1,1,1,0.856,0.871,-3.9611
vocab_word_lollipop,12,12,1,1,1,1,0.856,0.931,-5.6081
vocab_word_map,12,12,1,1,1,1,0.856,0.926,-3.7111
vocab_word_marshmallow,12,12,1,1,1,1,0.856,0.973,0
vocab_word_net,12,12,1,1,1,1,0.856,0.959,0
vocab_word_oil,12,12,1,1,1,1,0.856,0.964,0
vocab_word_omelet,12,12,1,1,1,1,0.815,0.606,-2.4992
vocab_word_pie,12,12,1,1,1,1,0.856,0.896,0
vocab_word_pistachio,12,12,0.9166666666666666,0.9166666666666666,1,0.9375,0.643,0.695,-2.1195
vocab_word_pitcher,12,12,1,1,1,1,0.856,0.866,-0.0966
vocab_word_potato,12,12,1,1,1,1,0.856,0.97,0
vocab_word_prism,12,12,0.75,0.75,0.8333333333333334,0.8125,0.624,0.692,-0.9176
vocab_word_puddle,12,12,1,1,1,1,0.856,0.887,-3.1186
vocab_word_pump,12,12,1,1,1,1,0.856,0.948,-1.8656
vocab_word_rice,12,12,1,1,1,1,0.856,0.982,0
