item_uid,flag,reason,n_resp,p_vlm,rpb_vlm,p_human,pb_human,p_pred_child,p_pred_age_6,p_pred_age_8,p_pred_age_10,transcript
trog_conjcoord_say_sunny_however_rain,BROKEN,"KNOWN: Known broken EN item (human p≈0.04); not an actionable VLM-panel finding | p_vlm 0.01 < chance 0.25",69,0.014,0.077,0.040,,0.250,0.250,0.250,0.250,"Ihre Mutter sagte, es würde sonnig sein. Aber es regnete stark."
trog_postmod_duck_following_turtle_walking,BROKEN,"p_vlm 0.11 < chance 0.25",66,0.106,0.048,0.487,0.164,0.453,0.250,0.581,0.515,"Die Ente, die der Schildkröte folgt, geht über die Brücke."
trog_disjunctive_despite_noise_she_focus,HARD,"bottom of panel (p_vlm 0.26)",69,0.261,-0.054,0.419,0.102,0.453,0.250,0.355,0.351,"Trotz des Lärms im Klassenzimmer konzentrierte sie sich auf das Lesen ihres Heftes."
trog_preploc_car_truck_follow_drive,HARD,"KNOWN: VLM systematically drops the relative-clause truck (picks car-only tunnel); prompt v4–v4.2 failed to fix without trading duck. Triage-suppressed until a non-prompt lever; still on screen_*.csv | bottom of panel (p_vlm 0.26)",61,0.262,0.300,0.617,-0.004,0.494,0.474,0.636,0.750,"Das Auto, das dem der Lastwagen gefolgt ist, fährt auf den Tunnel zu."
trog_embedding_cat_cow_chase_black,HARD,"bottom of panel (p_vlm 0.28)",69,0.275,-0.305,0.371,-0.013,0.494,0.250,0.264,0.451,"die Katze, die die Kuh jagt, ist schwarz"
trog_postmod_boy_chasing_horse_tall,HARD,"bottom of panel (p_vlm 0.35)",65,0.354,0.431,0.827,0.206,0.601,0.806,0.849,0.817,"der Junge, der das Pferd jagt, ist groß"
trog_preploc_fish_swim_beneath_whale,HARD,"bottom of panel (p_vlm 0.39)",67,0.388,0.383,0.459,0.266,0.601,0.263,0.462,0.462,"Die Fische schwimmen unter einem Wal und einer Meeresschildkröte."
trog_adjective_tall,HARD,"bottom of panel (p_vlm 0.47)",68,0.471,0.512,0.921,0.435,0.601,0.897,0.968,0.974,"Wähle das Bild aus, das etwas Großes zeigt."
trog_embedding_boy_dog_chase_big,HARD,"bottom of panel (p_vlm 0.49)",67,0.493,0.233,0.198,-0.106,0.601,0.250,0.250,0.250,"der Junge, den der Hund jagt, ist groß"
trog_xnoty_horse_not_boy_stand,HARD,"bottom of panel (p_vlm 0.51)",69,0.507,0.641,0.738,-0.046,0.706,0.590,0.698,0.782,"das Pferd, aber nicht der Junge, steht"
trog_relclause_dog_chase_horse_that_brown,HARD,"bottom of panel (p_vlm 0.51)",69,0.507,0.329,0.742,0.265,0.706,0.586,0.813,0.889,"der Hund jagt das Pferd, das braun ist"
trog_revpassrelclause_girl_wearing_backpack_shown_flower,HARD,"bottom of panel (p_vlm 0.56)",59,0.559,0.363,0.640,0.343,0.706,0.538,0.733,0.600,"Dem Mädchen, das einen Rucksack trägt, wurde von seiner Freundin eine Blume gezeigt."
trog_preploc_plane_gray_above_cloud,HARD,"bottom of panel (p_vlm 0.57)",69,0.565,0.134,0.821,0.119,0.762,0.789,0.667,1.000,"Das Flugzeug, das grau ist, befindet sich über den Wolken."
trog_revpassive_horse_chased_man,HARD,"bottom of panel (p_vlm 0.58)",69,0.580,0.203,0.744,0.126,0.762,0.643,0.802,0.826,"das Pferd wird von dem Mann gejagt"
trog_conditional_we_dance_if_music_play,HARD,"bottom of panel (p_vlm 0.59)",68,0.588,0.352,0.721,-0.124,0.762,0.578,0.719,0.830,"Wir tanzen zusammen, wenn Musik läuft."
trog_abovebelow_comb_below_spoon,OK,"",69,0.594,0.631,0.788,0.137,0.788,0.748,0.801,0.834,"der Kamm ist unter dem Löffel"
