item_uid,flag,reason,n_resp,p_vlm,rpb_vlm,p_human,pb_human,p_pred_child,p_pred_age_6,p_pred_age_8,p_pred_age_10,transcript
vocab_word_claw,BROKEN,"p_vlm 0.00 < chance 0.25",25,0.000,,0.089,0.007,0.250,0.250,0.250,0.250,"the claw"
vocab_word_couturier,HARD,"bottom of panel (p_vlm 0.58)",26,0.577,0.593,0.898,-0.004,0.442,0.786,0.911,0.933,"the couturier"
vocab_word_dredging,HARD,"bottom of panel (p_vlm 0.62)",26,0.615,0.615,0.108,0.003,0.442,,0.250,0.250,"dredging"
vocab_word_mammalogy,HARD,"bottom of panel (p_vlm 0.63)",24,0.625,0.483,0.722,-0.306,0.442,0.250,0.613,0.694,"mammalogy"
vocab_word_aesthete,HARD,"bottom of panel (p_vlm 0.64)",25,0.640,0.685,0.400,-0.024,0.442,0.250,0.250,0.409,"the aesthete"
vocab_word_facade,HARD,"bottom of panel (p_vlm 0.72)",25,0.720,0.776,0.611,0.068,0.442,0.250,0.405,0.714,"the facade"
vocab_word_slope,HARD,"bottom of panel (p_vlm 0.73)",26,0.731,-0.089,0.522,0.071,0.442,0.250,0.431,0.628,"the slope"
vocab_word_precarious,HARD,"bottom of panel (p_vlm 0.75)",24,0.750,0.819,0.325,0.306,0.442,0.333,0.350,0.364,"precarious"
vocab_word_squash,HARD,"bottom of panel (p_vlm 0.76)",25,0.760,0.073,0.084,0.257,0.548,0.250,0.250,0.250,"the squash"
vocab_word_aversion,HARD,"bottom of panel (p_vlm 0.76)",25,0.760,0.803,0.693,-0.052,0.548,0.650,0.647,0.646,"aversion"
vocab_word_degression,HARD,"bottom of panel (p_vlm 0.76)",25,0.760,0.863,0.306,-0.010,0.548,0.313,0.250,0.413,"degression"
vocab_word_gourmet,HARD,"bottom of panel (p_vlm 0.76)",25,0.760,0.779,0.727,0.262,0.548,0.447,0.852,0.800,"gourmet"
vocab_word_corset,HARD,"bottom of panel (p_vlm 0.77)",26,0.769,0.863,0.608,-0.126,0.654,0.364,0.578,0.708,"the corset"
vocab_word_chat,HARD,"bottom of panel (p_vlm 0.77)",26,0.769,-0.233,0.894,0.424,0.654,0.941,0.875,0.923,"chat"
vocab_word_resuscitation,HARD,"bottom of panel (p_vlm 0.77)",26,0.769,0.863,0.868,-0.165,0.654,0.778,0.833,0.788,"resuscitation"
vocab_word_vertebra,HARD,"bottom of panel (p_vlm 0.77)",26,0.769,0.656,0.611,-0.489,0.654,,0.500,0.750,"the vertebra"
vocab_word_concentric,HARD,"bottom of panel (p_vlm 0.80)",25,0.800,0.891,0.696,0.459,0.654,0.652,0.579,0.755,"concentric"
vocab_word_colony,HARD,"bottom of panel (p_vlm 0.80)",25,0.800,0.182,0.505,0.425,0.654,,0.364,0.500,"the colony"
vocab_word_posterior,HARD,"bottom of panel (p_vlm 0.80)",25,0.800,0.891,0.798,0.231,0.654,0.500,0.733,0.879,"the posterior"
vocab_word_skimmer,HARD,"bottom of panel (p_vlm 0.80)",25,0.800,0.586,0.484,-0.311,0.654,0.400,0.296,0.565,"the skimmer"
vocab_word_sedentary,HARD,"bottom of panel (p_vlm 0.80)",25,0.800,0.891,0.916,-0.169,0.654,,0.960,0.879,"sedentary"
vocab_word_picking,HARD,"bottom of panel (p_vlm 0.81)",26,0.808,-0.174,0.903,0.429,0.654,0.852,0.905,0.933,"picking"
vocab_word_saffron,HARD,"bottom of panel (p_vlm 0.81)",26,0.808,0.881,0.656,-0.025,0.654,,0.519,0.758,"the saffron"
vocab_word_arcade,HARD,"bottom of panel (p_vlm 0.83)",24,0.833,0.941,0.579,-0.153,0.654,0.391,0.509,0.592,"the arcade"
vocab_word_divan,HARD,"bottom of panel (p_vlm 0.83)",24,0.833,0.923,0.114,-0.424,0.654,0.250,0.250,0.250,"the divan"
vocab_word_cassette,HARD,"bottom of panel (p_vlm 0.85)",26,0.846,0.878,0.833,0.281,0.654,0.768,0.875,0.870,"the cassette"
vocab_word_artifact,HARD,"bottom of panel (p_vlm 0.85)",26,0.846,0.904,0.701,0.296,0.654,0.405,0.597,0.854,"the artifact"
vocab_word_metronome,HARD,"bottom of panel (p_vlm 0.85)",26,0.846,0.865,0.519,0.039,0.654,0.250,0.314,0.583,"the metronome"
vocab_word_habit,OK,"",24,0.875,0.973,0.509,0.117,0.654,0.429,0.500,0.421,"the habit"
vocab_word_preserve,OK,"",24,0.875,0.475,0.801,0.305,0.654,0.609,0.683,0.939,"preserve"
vocab_word_arbor,OK,"",24,0.875,0.969,0.794,0.076,0.654,,0.767,0.688,"the arbor"
vocab_word_triad,OK,"",24,0.875,0.461,0.507,-0.054,0.654,,0.364,0.586,"the triad"
vocab_word_typewriter,OK,"",25,0.880,0.943,0.809,0.283,0.654,0.632,0.829,0.935,"the typewriter"
vocab_word_cormorant,OK,"",25,0.880,0.875,0.671,-0.061,0.654,0.559,0.600,0.654,"the cormorant"
vocab_word_scaffolding,OK,"",26,0.885,0.926,0.784,-0.149,0.654,0.750,0.739,0.810,"the scaffolding"
vocab_word_tapestry,OK,"",26,0.885,0.706,0.612,0.214,0.654,0.514,0.636,0.766,"the tapestry"
vocab_word_turbine,OK,"",26,0.885,0.926,0.766,-0.057,0.654,0.653,0.696,0.783,"the turbine"
vocab_word_percussion,OK,"",26,0.885,0.926,0.515,0.446,0.654,,0.364,0.613,"the percussion"
vocab_word_rosette,OK,"",26,0.885,0.926,0.513,0.188,0.654,0.417,0.326,0.500,"the rosette"
vocab_word_suede,OK,"",26,0.885,0.926,0.667,,0.654,,,0.857,"the suede"
vocab_word_confectionery,OK,"",24,0.917,0.935,0.759,0.294,0.664,0.714,0.708,0.826,"the confectionery"
vocab_word_ecstatic,OK,"",24,0.917,0.923,0.222,0.024,0.664,0.250,0.250,0.286,"ecstatic"
vocab_word_artichoke,OK,"",25,0.920,0.898,0.742,0.126,0.700,0.663,0.689,0.772,"the artichoke"
vocab_word_cloak,OK,"",25,0.920,0.364,0.592,0.278,0.700,0.618,0.529,0.635,"the cloak"
vocab_word_prism,OK,"",25,0.920,0.898,0.696,0.091,0.700,0.532,0.659,0.880,"the prism"
vocab_word_irrigation,OK,"",25,0.920,0.900,0.750,-0.282,0.700,0.333,0.788,0.744,"the irrigation"
vocab_word_awning,OK,"",25,0.920,0.756,0.823,-0.178,0.700,0.824,0.882,0.833,"the awning"
vocab_word_paleontologist,OK,"",25,0.920,0.897,0.669,-0.015,0.700,0.731,0.683,0.686,"the paleontologist"
vocab_word_urban,OK,"",25,0.920,0.897,0.906,0.664,0.700,0.500,0.957,0.963,"urban"
vocab_word_cornbread,OK,"",26,0.923,0.735,0.821,0.221,0.715,0.743,0.800,0.950,"the cornbread"
vocab_word_kimono,OK,"",26,0.923,0.744,0.564,0.293,0.715,0.293,0.519,0.685,"the kimono"
vocab_word_waterwheel,OK,"",26,0.923,0.744,0.826,0.351,0.715,0.649,0.786,0.806,"the waterwheel"
vocab_word_fetch,OK,"",26,0.923,-0.092,0.792,0.395,0.715,0.566,0.870,0.861,"fetch"
vocab_word_timid,OK,"",26,0.923,-0.092,0.834,-0.529,0.715,0.706,0.864,0.841,"timid"
vocab_word_turnstile,OK,"",26,0.923,0.744,0.556,0.621,0.715,,,0.857,"the turnstile"
vocab_word_gesticulate,OK,"",22,0.955,0.918,0.562,0.157,0.715,0.353,0.400,0.412,"gesticulate"
vocab_word_wetland,OK,"",25,0.960,0.611,0.742,0.217,0.715,0.644,0.689,0.806,"the wetland"
vocab_word_baywindow,OK,"",25,0.960,0.602,0.658,-0.092,0.715,0.250,0.564,0.680,"the baywindow"
vocab_word_mischievous,OK,"",25,0.960,0.602,0.591,0.257,0.715,0.500,0.432,0.545,"mischievous"
vocab_word_aloe,OK,"",26,0.962,0.518,0.607,0.237,0.724,0.361,0.516,0.631,"the aloe"
vocab_word_blower,OK,"",26,0.962,0.494,0.927,0.278,0.724,0.913,0.918,0.976,"the blower"
vocab_word_dumpling,OK,"",26,0.962,0.518,0.671,0.336,0.724,0.662,0.517,0.711,"the dumpling"
vocab_word_fan,OK,"",26,0.962,-0.123,0.962,0.266,0.724,0.930,0.962,1.000,"the fan"
vocab_word_foam,OK,"",26,0.962,0.506,0.913,0.413,0.724,0.803,0.950,0.895,"the foam"
vocab_word_pistachio,OK,"",26,0.962,0.506,0.751,0.138,0.724,0.662,0.772,0.846,"the pistachio"
vocab_word_sprinkler,OK,"",26,0.962,0.518,0.800,0.204,0.724,0.800,0.774,0.811,"the sprinkler"
vocab_word_telescope,OK,"",26,0.962,0.518,0.926,0.238,0.724,0.863,0.959,1.000,"the telescope"
vocab_word_furry,OK,"",26,0.962,-0.052,0.851,0.171,0.724,0.813,0.895,0.909,"furry"
vocab_word_rickety,OK,"",26,0.962,0.494,0.711,0.406,0.724,0.478,0.686,0.893,"rickety"
vocab_word_acorn,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.918,0.324,0.879,0.909,0.910,0.952,"the acorn"
vocab_word_antenna,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.870,0.296,0.879,0.787,0.876,0.865,"the antenna"
vocab_word_bamboo,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.939,0.359,0.879,0.918,0.931,0.974,"the bamboo"
vocab_word_barrel,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.884,0.328,0.879,0.833,0.922,0.951,"the barrel"
vocab_word_blender,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.959,0.431,0.879,0.898,0.965,0.974,"the blender"
vocab_word_bouquet,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.927,-0.015,0.879,0.905,0.962,1.000,"the bouquet"
vocab_word_buffet,CEILING,"top of panel (p_vlm 1.00)",25,1.000,,0.799,0.099,0.879,0.745,0.737,0.868,"the buffet"
vocab_word_bulldozer,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.880,0.181,0.879,0.835,0.896,0.878,"the bulldozer"
vocab_word_cake,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.970,0.486,0.879,0.979,0.947,0.974,"the cake"
vocab_word_caramel,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.847,0.308,0.879,0.833,0.852,0.909,"the caramel"
vocab_word_carousel,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.754,0.227,0.879,0.747,0.766,0.750,"the carousel"
vocab_word_carrot,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.981,0.409,0.879,0.963,0.984,1.000,"the carrot"
vocab_word_cheese,CEILING,"top of panel (p_vlm 1.00)",25,1.000,,0.738,0.091,0.879,0.639,0.696,0.810,"the cheese"
vocab_word_clothespin,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.926,0.305,0.879,0.899,0.983,0.974,"the clothespin"
vocab_word_coaster,CEILING,"top of panel (p_vlm 1.00)",25,1.000,,0.818,0.298,0.879,0.627,0.848,0.906,"the coaster"
vocab_word_cork,CEILING,"top of panel (p_vlm 1.00)",25,1.000,,0.851,0.265,0.879,0.842,0.898,0.902,"the cork"
vocab_word_elbow,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.911,0.167,0.879,0.920,0.914,0.872,"the elbow"
vocab_word_footbath,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.977,0.345,0.879,0.978,0.981,1.000,"the footbath"
vocab_word_fruitcake,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.930,0.446,0.879,0.879,0.949,0.974,"the fruitcake"
vocab_word_gutter,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.728,0.057,0.879,0.630,0.747,0.811,"the gutter"
vocab_word_hamster,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.936,0.360,0.879,0.887,0.964,1.000,"the hamster"
vocab_word_hedgehog,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.985,,0.879,1.000,0.981,1.000,"the hedgehog"
vocab_word_hoe,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.764,0.276,0.879,0.783,0.722,0.739,"the hoe"
vocab_word_hopscotch,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.692,0.392,0.879,0.523,0.667,0.714,"the hopscotch"
vocab_word_latch,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.721,0.275,0.879,0.692,0.778,0.733,"the latch"
vocab_word_locker,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.939,0.376,0.879,0.898,0.942,1.000,"the locker"
vocab_word_lollipop,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.962,0.340,0.879,0.942,0.981,1.000,"the lollipop"
vocab_word_map,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.950,0.328,0.879,0.964,0.948,0.973,"the map"
vocab_word_marshmallow,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.973,0.381,0.879,0.911,0.961,1.000,"the marshmallow"
vocab_word_net,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.959,,0.879,0.889,0.961,1.000,"the net"
vocab_word_oil,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.964,,0.879,0.955,0.941,1.000,"the oil"
vocab_word_omelet,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.706,0.374,0.879,0.656,0.764,0.821,"the omelet"
vocab_word_pie,CEILING,"top of panel (p_vlm 1.00)",25,1.000,,0.896,0.204,0.879,0.818,0.882,0.886,"the pie"
vocab_word_pitcher,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.829,-0.011,0.879,0.574,0.871,0.917,"the pitcher"
vocab_word_potato,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.970,,0.879,0.977,0.941,0.941,"the potato"
vocab_word_puddle,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.929,0.324,0.879,0.897,0.944,1.000,"the puddle"
vocab_word_pump,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.942,0.160,0.879,0.910,0.955,0.976,"the pump"
vocab_word_rice,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.982,,0.879,1.000,0.961,1.000,"the rice"
vocab_word_saddle,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.927,0.440,0.879,0.894,0.981,1.000,"the saddle"
vocab_word_sandbag,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.927,0.265,0.879,0.903,0.900,0.950,"the sandbag"
vocab_word_scoop,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.949,-0.083,0.879,0.937,0.947,0.979,"the scoop"
vocab_word_seagull,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.896,0.471,0.879,0.741,0.907,0.973,"the seagull"
vocab_word_ship,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.791,-0.050,0.879,0.732,0.820,0.735,"the ship"
vocab_word_shower,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.966,0.372,0.879,0.923,0.963,1.000,"the shower"
vocab_word_silverware,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.785,0.247,0.879,0.463,0.828,0.973,"the silverware"
vocab_word_sink,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.894,,0.879,1.000,0.804,0.941,"the sink"
vocab_word_ski,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.846,0.563,0.879,0.759,0.807,0.892,"the ski"
vocab_word_sloth,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.952,0.437,0.879,0.949,0.963,1.000,"the sloth"
vocab_word_snail,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.957,0.202,0.879,0.953,0.982,1.000,"the snail"
vocab_word_sorbet,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.536,-0.026,0.879,0.344,0.494,0.567,"the sorbet"
vocab_word_spatula,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.826,0.145,0.879,0.843,0.804,0.902,"the spatula"
vocab_word_squirrel,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.981,,0.879,1.000,0.980,1.000,"the squirrel"
vocab_word_stew,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.846,-0.163,0.879,0.778,0.821,0.871,"the stew"
vocab_word_rubberband,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.939,,0.879,0.854,0.941,0.926,"the rubber band"
vocab_word_stump,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.707,0.278,0.879,0.810,0.692,0.786,"the stump"
vocab_word_sunflower,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.951,0.447,0.879,0.900,0.980,0.971,"the sunflower"
vocab_word_swordfish,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.609,0.072,0.879,0.460,0.519,0.780,"the swordfish"
vocab_word_teabag,CEILING,"top of panel (p_vlm 1.00)",25,1.000,,0.863,0.598,0.879,0.800,0.783,0.844,"the teabag"
vocab_word_thermos,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.903,0.169,0.879,0.814,0.875,0.915,"the thermos"
vocab_word_treasure,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.877,0.404,0.879,0.865,0.891,1.000,"the treasure"
vocab_word_trumpet,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.977,,0.879,0.974,0.955,0.969,"the trumpet"
vocab_word_tulip,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.686,0.036,0.879,0.453,0.735,0.767,"the tulip"
vocab_word_turkey,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.910,0.430,0.879,0.889,0.911,0.895,"the turkey"
vocab_word_turtle,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.977,,0.879,0.974,1.000,0.903,"the turtle"
vocab_word_watermelon,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.983,,0.879,0.974,0.976,1.000,"the watermelon"
vocab_word_ant,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.983,,0.879,0.973,0.976,1.000,"the ant"
vocab_word_ball,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.956,0.295,0.879,1.000,0.911,0.906,"the ball"
vocab_word_bear,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,0.988,,0.879,1.000,0.979,1.000,"the bear"
vocab_word_duck,CEILING,"top of panel (p_vlm 1.00)",26,1.000,,,,0.879,0.807,0.878,0.916,"the duck"
