item_uid,p_en,p_es,delta,strong_delta,flag_en,flag_es,transcript_en,transcript_es
tom_reality_known_false_belief,1.000,0.611,-0.389,yes,CEILING,OK,"",""
tom_interpretation_emotion_reasoning,1.000,0.667,-0.333,yes,CEILING,OK,"",""
tom_reference_reality_check,1.000,0.722,-0.278,yes,CEILING,OK,"",""
tom_second_order_false_belief_2,1.000,0.722,-0.278,yes,CEILING,OK,"",""
tom_deception_reality_check_1,1.000,0.944,-0.056,,CEILING,OK,"",""
tom_reference_emotion_reasoning_2,1.000,0.944,-0.056,,CEILING,OK,"",""
tom_moral_reasoning_emotion_reasoning_2,0.000,0.000,0.000,,BROKEN,BROKEN,"",""
tom_deception_reality_check_2,0.000,0.000,0.000,,BROKEN,BROKEN,"",""
tom_second_order_false_belief_1,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_reality_known_reality_check,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_moral_reasoning_false_belief,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_moral_reasoning_emotion_reasoning_1,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_deception_emotion_reasoning_1,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_deception_emotion_reasoning_2,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_deception_false_belief_1,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_deception_false_belief_2,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_reference_emotion_reasoning_1,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_second_order_reality_check,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_deception_false_belief_3,0.889,1.000,0.111,,OK,CEILING,"",""
tom_reference_reference,0.000,0.222,0.222,,BROKEN,BROKEN,"",""
tom_deception_reality_check_3,0.000,0.611,0.611,yes,BROKEN,OK,"",""
