priority,item_uid,flag,p_vlm,p_human,p_pred_child,transcript
1,vocab_word_gesticulate,BROKEN,0.083,0.564,0.465,"gesticulate"
2,vocab_word_arcade,HARD,0.250,0.552,0.552,"the arcade"
3,vocab_word_aversion,HARD,0.250,0.683,0.552,"aversion"
4,vocab_word_couturier,HARD,0.250,0.911,0.536,"the couturier"
5,vocab_word_aesthete,HARD,0.250,0.398,0.532,"the aesthete"
6,vocab_word_mammalogy,HARD,0.250,0.668,0.530,"mammalogy"
7,vocab_word_resuscitation,HARD,0.250,0.863,0.547,"resuscitation"
8,vocab_word_triad,HARD,0.250,0.630,0.552,"the triad"
9,vocab_word_degression,HARD,0.333,0.490,0.536,"degression"
10,vocab_word_posterior,HARD,0.333,0.703,0.567,"the posterior"
11,vocab_word_rosette,HARD,0.333,0.457,0.556,"the rosette"
12,vocab_word_corset,HARD,0.417,0.616,0.567,"the corset"
13,vocab_word_concentric,HARD,0.417,0.728,0.560,"concentric"
14,vocab_word_divan,HARD,0.417,0.113,0.553,"the divan"
15,vocab_word_turbine,HARD,0.500,0.781,0.604,"the turbine"
16,vocab_word_cormorant,HARD,0.500,0.675,0.584,"the cormorant"
17,vocab_word_confectionery,HARD,0.500,0.760,0.595,"the confectionery"
18,vocab_word_gourmet,HARD,0.500,0.619,0.604,"gourmet"
19,vocab_word_facade,HARD,0.500,0.621,0.604,"the facade"
20,vocab_word_habit,HARD,0.500,0.503,0.604,"the habit"
21,vocab_word_precarious,HARD,0.500,0.335,0.604,"precarious"
22,vocab_word_arbor,HARD,0.500,0.715,0.604,"the arbor"
23,vocab_word_dredging,HARD,0.500,0.232,0.604,"dredging"
24,vocab_word_artichoke,HARD,0.583,0.729,0.608,"the artichoke"
25,vocab_word_tapestry,HARD,0.583,0.564,0.624,"the tapestry"
26,vocab_word_irrigation,HARD,0.583,0.698,0.624,"the irrigation"
27,vocab_word_paleontologist,HARD,0.583,0.707,0.605,"the paleontologist"
28,vocab_word_suede,HARD,0.583,0.656,0.624,"the suede"
29,vocab_word_turnstile,HARD,0.583,0.556,0.603,"the turnstile"
30,vocab_word_vertebra,HARD,0.583,0.602,0.609,"the vertebra"
31,vocab_word_acorn,CEILING,1.000,0.879,0.856,"the acorn"
32,vocab_word_antenna,CEILING,1.000,0.882,0.856,"the antenna"
33,vocab_word_bamboo,CEILING,1.000,0.936,0.856,"the bamboo"
34,vocab_word_barrel,CEILING,1.000,0.845,0.856,"the barrel"
35,vocab_word_blender,CEILING,1.000,0.960,0.856,"the blender"
36,vocab_word_blower,CEILING,1.000,0.892,0.856,"the blower"
37,vocab_word_bouquet,CEILING,1.000,0.932,0.856,"the bouquet"
38,vocab_word_buffet,CEILING,1.000,0.797,0.856,"the buffet"
39,vocab_word_bulldozer,CEILING,1.000,0.861,0.820,"the bulldozer"
40,vocab_word_cake,CEILING,1.000,0.970,0.856,"the cake"
41,vocab_word_caramel,CEILING,1.000,0.789,0.856,"the caramel"
42,vocab_word_carousel,CEILING,1.000,0.695,0.856,"the carousel"
43,vocab_word_carrot,CEILING,1.000,0.955,0.856,"the carrot"
44,vocab_word_cheese,CEILING,1.000,0.712,0.856,"the cheese"
45,vocab_word_cloak,CEILING,1.000,0.415,0.856,"the cloak"
46,vocab_word_clothespin,CEILING,1.000,0.908,0.804,"the clothespin"
47,vocab_word_coaster,CEILING,1.000,0.780,0.856,"the coaster"
48,vocab_word_cork,CEILING,1.000,0.795,0.856,"the cork"
49,vocab_word_cornbread,CEILING,1.000,0.793,0.817,"the cornbread"
50,vocab_word_dumpling,CEILING,1.000,0.549,0.816,"the dumpling"
51,vocab_word_elbow,CEILING,1.000,0.890,0.856,"the elbow"
52,vocab_word_fan,CEILING,1.000,0.933,0.856,"the fan"
53,vocab_word_foam,CEILING,1.000,0.897,0.856,"the foam"
54,vocab_word_footbath,CEILING,1.000,0.977,0.800,"the footbath"
55,vocab_word_hamster,CEILING,1.000,0.892,0.856,"the hamster"
56,vocab_word_hedgehog,CEILING,1.000,0.985,0.856,"the hedgehog"
57,vocab_word_hopscotch,CEILING,1.000,0.677,0.811,"the hopscotch"
58,vocab_word_latch,CEILING,1.000,0.636,0.856,"the latch"
59,vocab_word_locker,CEILING,1.000,0.871,0.856,"the locker"
60,vocab_word_lollipop,CEILING,1.000,0.931,0.856,"the lollipop"
61,vocab_word_map,CEILING,1.000,0.926,0.856,"the map"
62,vocab_word_marshmallow,CEILING,1.000,0.973,0.856,"the marshmallow"
63,vocab_word_net,CEILING,1.000,0.959,0.856,"the net"
64,vocab_word_oil,CEILING,1.000,0.964,0.856,"the oil"
65,vocab_word_omelet,CEILING,1.000,0.606,0.815,"the omelet"
66,vocab_word_pie,CEILING,1.000,0.896,0.856,"the pie"
67,vocab_word_pitcher,CEILING,1.000,0.866,0.856,"the pitcher"
68,vocab_word_potato,CEILING,1.000,0.970,0.856,"the potato"
69,vocab_word_puddle,CEILING,1.000,0.887,0.856,"the puddle"
70,vocab_word_pump,CEILING,1.000,0.948,0.856,"the pump"
71,vocab_word_rice,CEILING,1.000,0.982,0.856,"the rice"
72,vocab_word_saddle,CEILING,1.000,0.926,0.856,"the saddle"
73,vocab_word_sandbag,CEILING,1.000,0.909,0.812,"the sandbag"
74,vocab_word_scaffolding,CEILING,1.000,0.721,0.856,"the scaffolding"
75,vocab_word_scoop,CEILING,1.000,0.946,0.856,"the scoop"
76,vocab_word_seagull,CEILING,1.000,0.876,0.856,"the seagull"
77,vocab_word_ship,CEILING,1.000,0.790,0.856,"the ship"
78,vocab_word_shower,CEILING,1.000,0.935,0.856,"the shower"
79,vocab_word_silverware,CEILING,1.000,0.798,0.856,"the silverware"
80,vocab_word_sink,CEILING,1.000,0.894,0.856,"the sink"
81,vocab_word_ski,CEILING,1.000,0.776,0.856,"the ski"
82,vocab_word_sloth,CEILING,1.000,0.925,0.856,"the sloth"
83,vocab_word_snail,CEILING,1.000,0.954,0.856,"the snail"
84,vocab_word_sprinkler,CEILING,1.000,0.760,0.856,"the sprinkler"
85,vocab_word_squirrel,CEILING,1.000,0.981,0.856,"the squirrel"
86,vocab_word_stew,CEILING,1.000,0.837,0.856,"the stew"
87,vocab_word_rubberband,CEILING,1.000,0.940,0.856,"the rubber band"
88,vocab_word_stump,CEILING,1.000,0.571,0.856,"the stump"
89,vocab_word_sunflower,CEILING,1.000,0.927,0.856,"the sunflower"
90,vocab_word_swordfish,CEILING,1.000,0.650,0.816,"the swordfish"
91,vocab_word_teabag,CEILING,1.000,0.863,0.808,"the teabag"
92,vocab_word_telescope,CEILING,1.000,0.887,0.856,"the telescope"
93,vocab_word_thermos,CEILING,1.000,0.914,0.815,"the thermos"
94,vocab_word_treasure,CEILING,1.000,0.831,0.856,"the treasure"
95,vocab_word_trumpet,CEILING,1.000,0.977,0.856,"the trumpet"
96,vocab_word_tulip,CEILING,1.000,0.648,0.856,"the tulip"
97,vocab_word_turkey,CEILING,1.000,0.879,0.856,"the turkey"
98,vocab_word_turtle,CEILING,1.000,0.977,0.856,"the turtle"
99,vocab_word_watermelon,CEILING,1.000,0.983,0.856,"the watermelon"
100,vocab_word_ant,CEILING,1.000,0.983,0.856,"the ant"
101,vocab_word_ball,CEILING,1.000,0.936,0.856,"the ball"
102,vocab_word_bear,CEILING,1.000,0.957,0.856,"the bear"
103,vocab_word_duck,CEILING,1.000,,0.856,"the duck"
104,vocab_word_fork,CEILING,1.000,,0.856,"the fork"
105,vocab_word_kitten,CEILING,1.000,,0.856,"the kitten"
106,vocab_word_knee,CEILING,1.000,,0.856,"the knee"
107,vocab_word_milkshake,CEILING,1.000,,0.856,"the milkshake"
108,vocab_word_skin,CEILING,1.000,,0.856,"the skin"
109,vocab_word_wall,CEILING,1.000,,0.856,"the wall"
110,vocab_word_wheel,CEILING,1.000,,0.856,"the wheel"
111,vocab_word_farm,CEILING,1.000,0.852,0.856,"the farm"
112,vocab_word_juggling,CEILING,1.000,0.959,0.856,"juggling"
113,vocab_word_dressing,CEILING,1.000,0.580,0.856,"the dressing"
114,vocab_word_roof,CEILING,1.000,0.915,0.856,"the roof"
115,vocab_word_peeking,CEILING,1.000,0.815,0.821,"peeking"
116,vocab_word_ruler,CEILING,1.000,0.929,0.856,"the ruler"
117,vocab_word_tunnel,CEILING,1.000,0.939,0.856,"the tunnel"
118,vocab_word_envelope,CEILING,1.000,0.847,0.856,"the envelope"
119,vocab_word_diamond,CEILING,1.000,0.772,0.856,"the diamond"
120,vocab_word_calendar,CEILING,1.000,0.814,0.856,"the calendar"
121,vocab_word_panda,CEILING,1.000,0.877,0.856,"the panda"
