priority,item_uid,flag,p_vlm,p_human,p_pred_child,transcript
1,tom_moral_reasoning_emotion_reasoning_2,BROKEN,0.111,0.418,0.320,""
2,tom_reference_reference,BROKEN,0.167,0.222,0.330,""
3,tom_interpretation_emotion_reasoning,HARD,0.444,0.774,0.662,""
4,tom_interpretation_false_belief,HARD,0.500,0.832,0.662,""
5,tom_deception_reality_check_1,HARD,0.500,0.873,0.662,""
6,tom_reality_known_reality_check,CEILING,1.000,0.926,0.827,""
7,tom_moral_reasoning_emotion_reasoning_1,CEILING,1.000,0.859,0.827,""
8,tom_moral_reasoning_false_belief_1,CEILING,1.000,0.761,0.827,""
9,tom_moral_reasoning_false_belief_2,CEILING,1.000,0.712,0.827,""
10,tom_interpretation_reality_check_1,CEILING,1.000,0.879,0.827,""
11,tom_interpretation_reality_check_2,CEILING,1.000,0.968,0.827,""
12,tom_deception_emotion_reasoning_1,CEILING,1.000,0.912,0.827,""
13,tom_deception_emotion_reasoning_2,CEILING,1.000,0.817,0.827,""
14,tom_deception_false_belief_1,CEILING,1.000,0.785,0.827,""
15,tom_deception_false_belief_2,CEILING,1.000,0.646,0.827,""
16,tom_deception_reality_check_3,CEILING,1.000,0.371,0.827,""
17,tom_reference_emotion_reasoning_1,CEILING,1.000,0.893,0.827,""
18,tom_reference_emotion_reasoning_2,CEILING,1.000,0.877,0.827,""
19,tom_second_order_reality_check,CEILING,1.000,0.871,0.827,""
