source,block_index,audio_file,item,answer,trial_type,response_alternatives,chance_level,assessment_stage,item_id,d,prompt,orig_item_num,task,corpus_id,task_id,item_uid,randomize,time_limit,difficulty,trial_num,required_selections,image
MarsIB-CB2-tf1,0,matrix-reasoning-instruct2,tf1_1_M_ss3,tf1_1_T1_ss3_md,practice,"tf1_1_T2_ss3_md,tf1_1_T3_ss3_md,tf1_1_T4_ss3_md",0.25,practice_response,tf1_1_M_ss3,,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,1,Matrix Reasoning,matrix-reasoning-Mars-IB-v2,matrix-reasoning,,,,,,,
MarsIB-CB2-tf1,0,matrix-reasoning-prompt1,tf1_3_M_ss2,tf1_3_T1_ss2_md,practice,"tf1_3_T3_ss2_md,tf1_3_T4_ss2_md,tf1_3_T2_ss2_md",0.25,practice_response,tf1_3_M_ss2,,Choose the best pattern to fill in the blank.,3,Matrix Reasoning,matrix-reasoning-Mars-IB-v2,matrix-reasoning,,,,,,,
MarsIB-CB2-tf1,1,matrix-reasoning-prompt1,tf1_4_M_ss3,tf1_4_T1_ss3_md,Matrix Reasoning,"tf1_4_T3_ss3_md,tf1_4_T4_ss3_md,tf1_4_T2_ss3_md",0.25,test_response,tf1_4_M_ss3,,Choose the best pattern to fill in the blank.,4,Matrix Reasoning,matrix-reasoning-Mars-IB-v2,matrix-reasoning,matrix_set1_md_mat4,,,-0.668,,,
MarsIB-CB2-tf1,1,matrix-reasoning-prompt1,tf1_2_M_ss1,tf1_2_T1_ss1_md,Matrix Reasoning,"tf1_2_T4_ss1_md,tf1_2_T2_ss1_md,tf1_2_T3_ss1_md",0.25,test_response,tf1_2_M_ss1,,Choose the best pattern to fill in the blank.,2,Matrix Reasoning,matrix-reasoning-Mars-IB-v2,matrix-reasoning,matrix_set1_md_mat2,,,-0.741,,,
MarsIB-CB2-tf1,1,matrix-reasoning-prompt1,tf1_5_M_ss1,tf1_5_T1_ss1_md,Matrix Reasoning,"tf1_5_T3_ss1_md,tf1_5_T2_ss1_md,tf1_5_T4_ss1_md",0.25,test_response,tf1_5_M_ss1,,Choose the best pattern to fill in the blank.,5,Matrix Reasoning,matrix-reasoning-Mars-IB-v2,matrix-reasoning,matrix_set1_md_mat5,,,-1.301,,,
MarsIB-CB2-tf1,1,matrix-reasoning-prompt1,tf1_7_M_ss3,tf1_7_T1_ss3_md,Matrix Reasoning,"tf1_7_T3_ss3_md,tf1_7_T2_ss3_md,tf1_7_T4_ss3_md",0.25,test_response,tf1_7_M_ss3,,Choose the best pattern to fill in the blank.,7,Matrix Reasoning,matrix-reasoning-Mars-IB-v2,matrix-reasoning,matrix_set1_md_mat7,,,-0.543,,,
MarsIB-CB2-tf1,1,matrix-reasoning-prompt1,tf1_8_M_ss1,tf1_8_T1_ss1_md,Matrix Reasoning,"tf1_8_T3_ss1_md,tf1_8_T4_ss1_md,tf1_8_T2_ss1_md",0.25,test_response,tf1_8_M_ss1,,Choose the best pattern to fill in the blank.,8,Matrix Reasoning,matrix-reasoning-Mars-IB-v2,matrix-reasoning,matrix_set1_md_mat8,,,1.067,,,
MarsIB-CB2-tf1,1,matrix-reasoning-prompt1,tf1_9_M_ss2,tf1_9_T1_ss2_md,Matrix Reasoning,"tf1_9_T3_ss2_md,tf1_9_T2_ss2_md,tf1_9_T4_ss2_md",0.25,test_response,tf1_9_M_ss2,,Choose the best pattern to fill in the blank.,9,Matrix Reasoning,matrix-reasoning-Mars-IB-v2,matrix-reasoning,matrix_set1_md_mat9,,,0.317,,,
MarsIB-CB2-tf1,1,matrix-reasoning-prompt1,tf1_10_M_ss3,tf1_10_T1_ss3_md,Matrix Reasoning,"tf1_10_T3_ss3_md,tf1_10_T2_ss3_md,tf1_10_T4_ss3_md",0.25,test_response,tf1_10_M_ss3,,Choose the best pattern to fill in the blank.,10,Matrix Reasoning,matrix-reasoning-Mars-IB-v2,matrix-reasoning,matrix_set1_md_mat10,,,0.507,,,
MarsIB-CB2-tf1,1,matrix-reasoning-prompt1,tf1_70_M_ss3,tf1_70_T1_ss3_md,Matrix Reasoning,"tf1_70_T3_ss3_md,tf1_70_T4_ss3_md,tf1_70_T2_ss3_md",0.25,test_response,tf1_70_M_ss3,,Choose the best pattern to fill in the blank.,70,Matrix Reasoning,matrix-reasoning-Mars-IB-v2,matrix-reasoning,matrix_set1_md_mat70,,,0.644,,,
