item_uid,flag,reason,n_resp,p_vlm,rpb_vlm,p_human,pb_human,p_pred_child,p_pred_age_6,p_pred_age_8,p_pred_age_10,transcript
tom_moral_reasoning_emotion_reasoning_2,BROKEN,"p_vlm 0.00 < chance 0.25",18,0.000,,0.418,0.402,0.370,0.315,0.529,0.500,""
tom_deception_reality_check_2,BROKEN,"p_vlm 0.00 < chance 0.50",18,0.000,,0.470,0.346,0.500,0.500,0.514,0.500,""
tom_reference_reference,BROKEN,"p_vlm 0.22 < chance 0.33",18,0.222,-0.356,0.222,-0.161,0.370,0.330,0.330,0.330,""
tom_second_order_false_belief_1,BROKEN,"p_vlm 0.28 < chance 0.50",18,0.278,-0.558,0.847,0.157,0.609,0.799,0.892,0.890,""
tom_reality_known_false_belief,OK,"",18,0.611,0.628,0.675,0.095,0.642,0.503,0.789,0.820,""
tom_deception_reality_check_3,OK,"",18,0.611,0.375,0.371,0.273,0.642,0.500,0.500,0.500,""
tom_interpretation_emotion_reasoning,OK,"",18,0.667,-0.058,0.774,0.277,0.706,0.642,0.767,0.872,""
tom_reference_reality_check,OK,"",18,0.722,0.561,0.834,0.279,0.725,0.827,0.888,0.848,""
tom_second_order_false_belief_2,OK,"",18,0.722,0.561,0.638,0.618,0.725,0.503,0.728,0.723,""
tom_deception_reality_check_1,OK,"",18,0.944,-0.039,0.873,0.286,0.743,0.754,0.920,0.946,""
tom_reference_emotion_reasoning_2,OK,"",18,0.944,-0.039,0.877,0.448,0.743,0.844,0.919,0.926,""
tom_reality_known_reality_check,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.926,0.294,0.839,0.862,0.938,1.000,""
tom_moral_reasoning_false_belief,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,,,0.839,0.697,0.824,0.875,""
tom_moral_reasoning_emotion_reasoning_1,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.859,0.244,0.839,0.766,0.912,0.900,""
tom_deception_emotion_reasoning_1,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.912,0.157,0.839,0.899,0.936,0.950,""
tom_deception_emotion_reasoning_2,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.817,0.635,0.839,0.700,0.839,0.971,""
tom_deception_false_belief_1,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.785,0.005,0.839,0.697,0.840,0.833,""
tom_deception_false_belief_2,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.646,0.383,0.839,0.548,0.724,0.701,""
tom_deception_false_belief_3,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.483,0.110,0.839,0.500,0.551,0.500,""
tom_reference_emotion_reasoning_1,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.893,0.324,0.839,0.881,0.907,0.955,""
tom_second_order_reality_check,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.871,0.281,0.839,0.826,0.912,0.929,""
tom_second_order_false_belief_1,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.847,0.157,0.839,0.799,0.892,0.890,""
