item_uid,flag,reason,n_resp,p_vlm,rpb_vlm,p_human,pb_human,p_pred_child,p_pred_age_6,p_pred_age_8,p_pred_age_10,transcript
trog_conjcoord_say_sunny_however_rain,BROKEN,"p_vlm 0.00 < chance 0.25",48,0.000,,0.040,,0.250,0.250,0.250,0.250,"Haar moeder zei dat het zonnig zou zijn. Het regende echter hevig."
trog_disjunctive_despite_noise_she_focus,BROKEN,"p_vlm 0.06 < chance 0.25",48,0.063,-0.154,0.419,,0.419,0.250,0.355,0.351,"Ondanks het lawaai in het klaslokaal concentreerde ze zich op het lezen van haar schrift."
trog_postmod_duck_following_turtle_walking,BROKEN,"p_vlm 0.19 < chance 0.25",48,0.188,-0.337,0.487,,0.487,0.250,0.581,0.515,"De eend die de schildpad volgt, loopt over de brug."
trog_preploc_car_truck_follow_drive,HARD,"bottom of panel (p_vlm 0.28)",46,0.283,0.103,0.617,,0.536,0.474,0.636,0.750,"De auto die door de vrachtwagen werd gevolgd, rijdt richting de tunnel."
trog_preploc_fish_swim_beneath_whale,HARD,"bottom of panel (p_vlm 0.29)",45,0.289,-0.007,0.455,,0.536,0.263,0.462,0.462,"De vissen zwemmen onder een walvis en een zeeschildpad."
trog_conditional_teacher_give_if_stand_line,HARD,"bottom of panel (p_vlm 0.32)",37,0.324,-0.013,0.869,,0.611,0.800,0.892,0.923,"De leraar zal de leerlingen taart geven, als ze in de rij gaan staan."
trog_disjunctive_he_wear_despite_size,HARD,"bottom of panel (p_vlm 0.33)",42,0.333,0.398,0.724,,0.611,0.828,0.735,0.722,"Hij droeg de clownshoed, ondanks de grote omvang."
trog_embedding_cat_cow_chase_black,HARD,"bottom of panel (p_vlm 0.34)",47,0.340,0.244,0.238,,0.611,0.250,0.250,0.317,"De kat die door de koe wordt achtervolgd, is zwart."
trog_preploc_plane_gray_above_cloud,HARD,"bottom of panel (p_vlm 0.35)",48,0.354,-0.213,0.820,,0.798,0.789,0.667,1.000,"Het vliegtuig dat grijs is, is boven de wolken."
trog_postmod_boy_chasing_horse_tall,HARD,"bottom of panel (p_vlm 0.38)",48,0.375,0.177,0.850,,0.798,0.848,0.868,0.830,"de jongen die het paard achtervolgt, is lang"
trog_relclause_girl_chase_dog_that_big,HARD,"bottom of panel (p_vlm 0.40)",47,0.404,0.387,0.923,,0.798,0.909,0.930,0.941,"het meisje achtervolgt de hond die groot is"
trog_additive_hose_drink_sheep_eat,HARD,"bottom of panel (p_vlm 0.42)",48,0.417,0.102,0.941,,0.798,0.885,0.940,0.987,"het paard dronk water bij de schuur, en de schapen aten gras bij het hek"
trog_revpassive_horse_chased_man,HARD,"bottom of panel (p_vlm 0.44)",48,0.438,0.238,0.798,,0.798,0.676,0.866,0.931,"het paard wordt achtervolgd door de man"
trog_revpassrelclause_girl_wearing_backpack_shown_flower,HARD,"bottom of panel (p_vlm 0.47)",38,0.474,0.155,0.650,,0.798,0.538,0.733,0.643,"Het meisje met de rugzak om kreeg van haar vriendin een bloem te zien."
trog_xnoty_horse_not_boy_stand,HARD,"bottom of panel (p_vlm 0.48)",48,0.479,0.466,0.752,,0.798,0.622,0.755,0.793,"het paard, maar niet de jongen, staat"
trog_conjcoord_kid_clean_but_forget,HARD,"bottom of panel (p_vlm 0.48)",48,0.479,0.571,0.837,,0.798,0.720,0.857,1.000,"De kinderen hebben de kamer opgeruimd, maar zijn vergeten de trein op te bergen."
trog_embedding_book_pencil_on_red,OK,"",47,0.489,0.561,0.682,,0.798,0.600,0.701,0.785,"het boek waar het potlood op ligt, is rood"
trog_revactive_boy_chase_sheep,OK,"",48,0.500,0.502,0.954,,0.798,0.920,0.971,0.935,"de jongen rent achter het schaap aan"
trog_abovebelow_pencil_above_flower,OK,"",48,0.500,0.559,0.890,,0.798,0.754,0.927,0.963,"het potlood is boven de bloem"
trog_relclause_dog_chase_horse_that_brown,OK,"",48,0.521,0.132,0.792,,0.798,0.638,0.879,0.920,"de hond achtervolgt het paard dat bruin is"
trog_inon_fork_on_shoe,OK,"",48,0.542,0.610,0.915,,0.798,0.861,0.914,0.951,"de vork ligt op de schoen"
trog_postmod_cow_chasing_cat_brown,OK,"",48,0.542,0.445,0.764,,0.798,0.577,0.835,0.880,"de koe die de kat achtervolgt, is bruin"
trog_revactive_cow_push_lady,OK,"",44,0.545,0.781,0.959,,0.798,0.941,0.969,1.000,"de koe duwt de dame"
trog_embedding_boy_dog_chase_big,OK,"",45,0.556,0.017,0.242,,0.798,0.250,0.289,0.269,"de jongen die achtervolgd wordt door de hond, is groot"
trog_inon_circle_in_star,OK,"",48,0.563,0.729,0.801,,0.801,0.789,0.702,0.904,"de cirkel is in de ster"
trog_temporal_student_open_notebook_draw_tree,OK,"",46,0.565,0.405,0.886,,0.831,0.784,0.887,0.959,"de student opende het schrift en tekende een boom"
trog_revpassive_cow_pushed_man,OK,"",47,0.574,0.079,0.805,,0.831,0.729,0.864,0.900,"de koe wordt door de man geduwd"
trog_pluralpronoun_cow_look_them,OK,"",48,0.583,0.714,0.883,,0.831,0.864,0.846,0.937,"de koe kijkt naar hen"
trog_revpassive_girl_chased_horse,OK,"",46,0.587,-0.059,0.889,,0.831,0.805,0.900,0.971,"het meisje wordt achtervolgd door het paard"
trog_revactive_man_chase_dog,OK,"",46,0.609,-0.036,0.951,,0.831,0.972,0.956,0.938,"de man rent achter de hond aan"
trog_gerund_bump_table_case_book_fall,OK,"",47,0.617,0.481,0.836,,0.831,0.698,0.895,0.891,"Doordat ik met mijn voet tegen de tafel stootte, viel er een boek op de grond."
trog_xnoty_box_not_chair_red,OK,"",48,0.625,0.755,0.904,,0.831,0.753,0.931,0.936,"de doos, maar niet de stoel, is rood"
trog_conditional_we_dance_if_music_play,OK,"",46,0.630,0.471,0.770,,0.831,0.579,0.818,0.908,"We zullen samen dansen, als er muziek speelt."
trog_comparative_shoe_bigger_bird,OK,"",48,0.646,0.406,0.880,,0.831,0.831,0.900,0.963,"de schoen is groter dan de vogel"
trog_disjunctive_although_hot_i_wear,OK,"",47,0.660,0.648,0.844,,0.831,0.743,0.909,0.895,"Hoewel het buiten warm is, draag ik een jas met capuchon."
trog_relclause_person_chase_dog_that_big,OK,"",48,0.667,0.226,0.892,,0.831,0.880,0.929,0.929,"De persoon zit achter de hond aan die groot is."
trog_conjcoord_monkey_eat_nor_swing,OK,"",46,0.674,0.592,0.866,,0.831,0.810,0.857,0.846,"De aap at de banaan niet op en slingerde ook niet aan de liaan."
