item_uid,flag,reason,n_resp,p_vlm,rpb_vlm,p_human,pb_human,transcript
nase,BROKEN,"p_vlm 0.00 < chance 0.50",7,0.000,,,,""
gummistiefel,BROKEN,"p_vlm 0.00 < chance 0.50",5,0.000,,,,""
backen,BROKEN,"p_vlm 0.00 < chance 0.50",5,0.000,,,,""
tag,BROKEN,"p_vlm 0.00 < chance 0.50",6,0.000,,,,""
berraschend,BROKEN,"p_vlm 0.13 < chance 0.50",8,0.125,-0.540,,,""
schatten,BROKEN,"p_vlm 0.13 < chance 0.50",8,0.125,0.445,,,""
f hlen,BROKEN,"p_vlm 0.14 < chance 0.50",7,0.143,-0.157,,,""
geheimnis,BROKEN,"p_vlm 0.14 < chance 0.50",7,0.143,-0.026,,,""
garten,BROKEN,"p_vlm 0.14 < chance 0.50",7,0.143,0.050,,,""
hai,BROKEN,"p_vlm 0.17 < chance 0.50",6,0.167,0.467,,,""
trampolin,BROKEN,"p_vlm 0.17 < chance 0.50",6,0.167,-0.667,,,""
flasche,BROKEN,"p_vlm 0.17 < chance 0.50",6,0.167,-0.759,,,""
pinsel,BROKEN,"p_vlm 0.17 < chance 0.50",6,0.167,0.443,,,""
kochen,BROKEN,"p_vlm 0.20 < chance 0.50",5,0.200,0.129,,,""
dunkel,BROKEN,"p_vlm 0.25 < chance 0.50",8,0.250,0.032,,,""
verstecken,BROKEN,"p_vlm 0.25 < chance 0.50",8,0.250,0.032,,,""
zwischen,BROKEN,"p_vlm 0.25 < chance 0.50",8,0.250,-0.216,,,""
wal,BROKEN,"p_vlm 0.25 < chance 0.50",8,0.250,-0.847,,,""
langsam,BROKEN,"p_vlm 0.25 < chance 0.50",8,0.250,0.032,,,""
herz,BROKEN,"p_vlm 0.29 < chance 0.50",7,0.286,-0.740,,,""
abenteuerlich,BROKEN,"p_vlm 0.29 < chance 0.50",7,0.286,-0.879,,,""
regenbogen,BROKEN,"p_vlm 0.33 < chance 0.50",6,0.333,-0.416,,,""
schl ssel,BROKEN,"p_vlm 0.33 < chance 0.50",6,0.333,-0.472,,,""
ast,BROKEN,"p_vlm 0.38 < chance 0.50",8,0.375,0.029,,,""
obwohl,BROKEN,"p_vlm 0.38 < chance 0.50",8,0.375,-0.397,,,""
helfen,BROKEN,"p_vlm 0.38 < chance 0.50",8,0.375,0.029,,,""
klee,BROKEN,"p_vlm 0.38 < chance 0.50",8,0.375,-0.298,,,""
insel,BROKEN,"p_vlm 0.43 < chance 0.50",7,0.429,-0.051,,,""
dorten,BROKEN,"p_vlm 0.43 < chance 0.50",7,0.429,-0.533,,,""
entdecken,BROKEN,"p_vlm 0.43 < chance 0.50",7,0.429,-0.051,,,""
auge,BROKEN,"p_vlm 0.43 < chance 0.50",7,0.429,-0.557,,,""
wilfen,BROKEN,"p_vlm 0.43 < chance 0.50",7,0.429,-0.167,,,""
alt,BROKEN,"p_vlm 0.43 < chance 0.50",7,0.429,0.091,,,""
f r,OK,"",8,0.500,-0.055,,,""
vulken,OK,"",8,0.500,0.057,,,""
krokodil,OK,"",8,0.500,-0.361,,,""
neugierig,OK,"",6,0.500,-0.643,,,""
eklig,OK,"",6,0.500,0.177,,,""
l hlen,OK,"",8,0.500,0.432,,,""
meuzeirig,OK,"",7,0.571,0.866,,,""
obse,OK,"",7,0.571,-0.043,,,""
hepp,OK,"",7,0.571,-0.548,,,""
stretten,OK,"",7,0.571,-0.180,,,""
enttirken,OK,"",7,0.571,0.543,,,""
dade,OK,"",5,0.600,-0.102,,,""
hom,OK,"",8,0.625,0.000,,,""
schm ssel,OK,"",8,0.625,-0.113,,,""
glitzernd,OK,"",6,0.667,-0.591,,,""
geheithas,OK,"",6,0.667,0.892,,,""
ninkel,OK,"",7,0.714,0.021,,,""
ogernaschegt,OK,"",7,0.714,0.683,,,""
gn schen,OK,"",7,0.714,-0.580,,,""
troswolin,OK,"",7,0.714,0.411,,,""
vertrarken,OK,"",7,0.714,0.182,,,""
plosche,OK,"",8,0.750,-0.388,,,""
zwitzelnd,OK,"",8,0.750,-0.032,,,""
rai,OK,"",8,0.750,0.235,,,""
etbig,OK,"",8,0.750,0.698,,,""
skikonil,OK,"",8,0.750,-0.601,,,""
ebenhamelrich,OK,"",8,0.750,0.235,,,""
taf,OK,"",6,0.833,-0.715,,,""
fer,OK,"",6,0.833,0.337,,,""
wichen,OK,"",7,0.857,0.274,,,""
twee,OK,"",7,0.857,0.493,,,""
auler,CEILING,"top of panel (p_vlm 0.88)",8,0.875,0.493,,,""
febenv gen,CEILING,"top of panel (p_vlm 0.88)",8,0.875,0.493,,,""
latzbam,CEILING,"top of panel (p_vlm 0.88)",8,0.875,0.306,,,""
pal,CEILING,"top of panel (p_vlm 0.88)",8,0.875,0.306,,,""
a bnistieked,CEILING,"top of panel (p_vlm 0.88)",8,0.875,-0.203,,,""
b nken,CEILING,"top of panel (p_vlm 0.88)",8,0.875,-0.357,,,""
wie,CEILING,"top of panel (p_vlm 1.00)",8,1.000,,,,""
fudel,CEILING,"top of panel (p_vlm 1.00)",8,1.000,,,,""
aft,CEILING,"top of panel (p_vlm 1.00)",7,1.000,,,,""
