priority,item_uid,flag,p_vlm,p_human,p_pred_child,transcript
1,tom_moral_reasoning_emotion_reasoning_2,BROKEN,0.000,0.418,0.370,""
2,tom_deception_reality_check_2,BROKEN,0.000,0.470,0.500,""
3,tom_deception_reality_check_3,BROKEN,0.000,0.371,0.500,""
4,tom_reference_reference,BROKEN,0.000,0.222,0.370,""
5,tom_moral_reasoning_reality_check,HARD,0.500,,0.583,""
6,tom_reality_known_false_belief,CEILING,1.000,0.675,0.820,""
7,tom_reality_known_reality_check,CEILING,1.000,0.926,0.820,""
8,tom_moral_reasoning_false_belief,CEILING,1.000,,0.820,""
9,tom_moral_reasoning_emotion_reasoning_1,CEILING,1.000,0.859,0.820,""
10,tom_moral_reasoning_false_belief_1,CEILING,1.000,0.761,0.820,""
11,tom_moral_reasoning_false_belief_2,CEILING,1.000,0.712,0.820,""
12,tom_moral_reasoning_reality_check,CEILING,1.000,,0.820,""
13,tom_interpretation_reality_check_1,CEILING,1.000,0.879,0.820,""
14,tom_interpretation_false_belief,CEILING,1.000,0.832,0.820,""
15,tom_interpretation_reality_check_2,CEILING,1.000,0.968,0.820,""
16,tom_interpretation_emotion_reasoning,CEILING,1.000,0.774,0.820,""
17,tom_deception_emotion_reasoning_1,CEILING,1.000,0.912,0.820,""
18,tom_deception_emotion_reasoning_2,CEILING,1.000,0.817,0.820,""
19,tom_deception_false_belief_1,CEILING,1.000,0.785,0.820,""
20,tom_deception_false_belief_2,CEILING,1.000,0.646,0.820,""
21,tom_deception_reality_check_1,CEILING,1.000,0.873,0.820,""
22,tom_reference_reality_check,CEILING,1.000,0.834,0.820,""
23,tom_reference_emotion_reasoning_1,CEILING,1.000,0.893,0.820,""
24,tom_reference_emotion_reasoning_2,CEILING,1.000,0.877,0.820,""
25,tom_second_order_reality_check,CEILING,1.000,0.871,0.820,""
26,tom_second_order_false_belief_1,CEILING,1.000,0.847,0.820,""
27,tom_second_order_false_belief_2,CEILING,1.000,0.638,0.820,""
