item_uid,flag,reason,n_resp,p_vlm,rpb_vlm,p_human,pb_human,p_pred_child,p_pred_age_6,p_pred_age_8,p_pred_age_10,transcript
tom_moral_reasoning_emotion_reasoning_2,BROKEN,"p_vlm 0.00 < chance 0.25",18,0.000,,0.418,0.164,0.370,0.315,0.529,0.500,""
tom_deception_reality_check_2,BROKEN,"p_vlm 0.00 < chance 0.50",18,0.000,,0.470,-0.040,0.500,0.500,0.514,0.500,""
tom_deception_reality_check_3,BROKEN,"p_vlm 0.00 < chance 0.50",18,0.000,,0.371,-0.077,0.500,0.500,0.500,0.500,""
tom_reference_reference,BROKEN,"p_vlm 0.00 < chance 0.33",18,0.000,,0.222,-0.152,0.370,0.330,0.330,0.330,""
tom_moral_reasoning_reality_check,HARD,"bottom of panel (p_vlm 0.50)",18,0.500,0.447,,,0.583,0.500,0.572,0.607,""
tom_second_order_false_belief_1,OK,"",18,0.667,0.564,0.847,0.245,0.654,0.799,0.892,0.890,""
tom_deception_false_belief_3,OK,"",18,0.889,-0.328,0.483,0.108,0.654,0.500,0.551,0.500,""
tom_reality_known_false_belief,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.675,0.494,0.820,0.503,0.789,0.820,""
tom_reality_known_reality_check,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.926,0.231,0.820,0.862,0.938,1.000,""
tom_moral_reasoning_false_belief,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,,,0.820,0.681,0.805,0.855,""
tom_moral_reasoning_emotion_reasoning_1,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.859,0.067,0.820,0.766,0.912,0.900,""
tom_moral_reasoning_false_belief_1,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.761,0.480,0.820,0.590,0.857,0.881,""
tom_moral_reasoning_false_belief_2,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.712,0.304,0.820,0.630,0.727,0.796,""
tom_moral_reasoning_reality_check,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,,,0.820,0.681,0.805,0.855,""
tom_interpretation_reality_check_1,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.879,0.301,0.820,0.837,0.899,0.925,""
tom_interpretation_false_belief,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.832,0.415,0.820,0.756,0.900,0.924,""
tom_interpretation_reality_check_2,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.968,0.170,0.820,0.969,0.967,1.000,""
tom_interpretation_emotion_reasoning,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.774,0.271,0.820,0.642,0.767,0.872,""
tom_deception_emotion_reasoning_1,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.912,0.297,0.820,0.899,0.936,0.950,""
tom_deception_emotion_reasoning_2,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.817,0.333,0.820,0.700,0.839,0.971,""
tom_deception_false_belief_1,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.785,0.304,0.820,0.697,0.840,0.833,""
tom_deception_false_belief_2,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.646,0.358,0.820,0.548,0.724,0.701,""
tom_deception_reality_check_1,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.873,0.356,0.820,0.754,0.920,0.946,""
tom_reference_reality_check,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.834,0.316,0.820,0.827,0.888,0.848,""
tom_reference_emotion_reasoning_1,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.893,0.181,0.820,0.881,0.907,0.955,""
tom_reference_emotion_reasoning_2,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.877,0.330,0.820,0.844,0.919,0.926,""
tom_second_order_reality_check,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.871,0.383,0.820,0.826,0.912,0.929,""
tom_second_order_false_belief_1,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.847,0.245,0.820,0.799,0.892,0.890,""
tom_second_order_false_belief_2,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.638,0.263,0.820,0.503,0.728,0.723,""
