source,block_index,audio_file,item,answer,trial_type,response_alternatives,chance_level,assessment_stage,item_id,d,prompt,orig_item_num,task,corpus_id,task_id,item_uid,randomize,time_limit,difficulty,trial_num,required_selections,image
,0,same-different-selection-instruct1,"In this game,you're going to choose pairs of cards that match in some way. First,let's look at some of the cards you are going to see.",,instructions,,,instructions,sds-instruct1,,,,same-different-selection,same-different-selection-v5,same-different-selection,,,,1,0,0,
AMESlab,0,same-different-selection-touch-circle,Choose the card with a circle.,med-red-circle,test-dimensions,"med-red-triangle,med-red-square,med-red-star",0.25,test_response,sds-dim-test-circle,,,,same-different-selection,same-different-selection-v5,same-different-selection,sds_dimensions_shape,,,-4.9103763,1,1,
AMESlab,0,same-different-selection-touch-square,Choose the card with a square.,med-blue-square,test-dimensions,"med-blue-triangle,med-blue-circle,med-blue-star",0.25,test_response,sds-dim-test-square,,,,same-different-selection,same-different-selection-v5,same-different-selection,sds_dimensions_shape,,,-4.9103763,2,1,
AMESlab,0,same-different-selection-touch-triangle,Choose the card with a triangle.,med-green-triangle,test-dimensions,"med-green-square,med-green-circle,med-green-star",0.25,test_response,sds-dim-test-triangle,,,,same-different-selection,same-different-selection-v5,same-different-selection,sds_dimensions_shape,,,-4.9103763,3,1,
AMESlab,0,same-different-selection-touch-star,Choose the card with a star.,med-yellow-star,test-dimensions,"med-yellow-square,med-yellow-circle,med-yellow-triangle",0.25,test_response,sds-dim-test-touch-star,,,,same-different-selection,same-different-selection-v5,same-different-selection,sds_dimensions_shape,,,-4.9103763,4,1,
AMESlab,0,same-different-selection-touch-green,Choose the card with a green shape.,med-green-square,test-dimensions,"med-blue-square,med-red-square,med-yellow-square",0.25,test_response,sds-dim-test-green,,,,same-different-selection,same-different-selection-v5,same-different-selection,sds_dimensions_color,,,-4.9103763,5,1,
AMESlab,0,same-different-selection-touch-red,Choose the card with a red shape.,med-red-triangle,test-dimensions,"med-blue-triangle,med-green-triangle,med-yellow-triangle",0.25,test_response,sds-dim-test-red,,,,same-different-selection,same-different-selection-v5,same-different-selection,sds_dimensions_color,,,-4.9103763,6,1,
AMESlab,0,same-different-selection-touch-blue,Choose the card with a blue shape.,med-blue-circle,test-dimensions,"med-red-circle,med-green-circle,med-yellow-circle",0.25,test_response,sds-dim-test-blue,,,,same-different-selection,same-different-selection-v5,same-different-selection,sds_dimensions_color,,,-4.9103763,7,1,
AMESlab,0,same-different-selection-touch-yellow,Choose the card with a yellow shape.,med-yellow-star,test-dimensions,"med-green-star,med-blue-star,med-red-star",0.25,test_response,sds-dim-test-yellow,,,,same-different-selection,same-different-selection-v5,same-different-selection,sds_dimensions_color,,,-4.9103763,8,1,
AMESlab,0,same-different-selection-touch-small,Choose the card with a small shape.,sm-green-circle,test-dimensions,"med-green-circle,lg-green-circle",0.33,test_response,sds-dim-test-small,,,,same-different-selection,same-different-selection-v5,same-different-selection,sds_dimensions_size,,,-4.9103763,9,1,
AMESlab,0,same-different-selection-touch-medium,Choose the card with a medium-sized shape.,med-blue-triangle,test-dimensions,"sm-blue-triangle,lg-blue-triangle",0.33,test_response,sds-dim-test-medium,,,,same-different-selection,same-different-selection-v5,same-different-selection,sds_dimensions_size,,,-4.9103763,10,1,
AMESlab,0,same-different-selection-touch-large,Choose the card with a large shape.,lg-red-square,test-dimensions,"med-red-square,sm-red-square",0.33,test_response,sds-dim-test-large,,,,same-different-selection,same-different-selection-v5,same-different-selection,sds_dimensions_size,,,-4.9103763,11,1,
AMESlab,1,same-different-selection-instruct2,Now you're going to see two cards that are the same in one way. Then you will see a new card that is similar to one of those cards. Your job is to choose the card that is similar to the new card.,,instructions,,,instructions,sds-instruct2,,,,same-different-selection,same-different-selection-v5,same-different-selection,,,,1,12,0,
AMESlab,1,same-different-selection-both-yellow,Here are two pictures. Something's the same. They are both yellow.,,something-same-1,,,practice_response,sds-something-same-1-instr,,,,same-different-selection,same-different-selection-v5,same-different-selection,,,,1,1,0,"sm-yellow-square,lg-yellow-circle"
AMESlab,1,sds-prompt3,Here is another picture. Which of these is the same as this one?,sm-yellow-square,something-same-2,"sm-yellow-square,lg-yellow-circle",0.5,practice_response,sds-something-same-1-test,,,,same-different-selection,same-different-selection-v5,same-different-selection,,,,1,1,1,med-red-square
