item_uid,flag,reason,n_resp,p_vlm,rpb_vlm,p_human,pb_human,p_pred_child,p_pred_age_6,p_pred_age_8,p_pred_age_10,transcript
matrix_set1_md_mat54,BROKEN,"p_vlm 0.00 < chance 0.25",6,0.000,,0.215,,0.250,0.250,0.250,0.250,""
matrix_set1_md_mat70,BROKEN,"p_vlm 0.17 < chance 0.25",6,0.167,0.740,0.438,,0.250,0.287,0.411,0.542,""
matrix_set1_md_mat12,BROKEN,"p_vlm 0.17 < chance 0.25",6,0.167,-0.170,0.132,,0.250,0.250,0.250,0.250,""
matrix_set1_md_mat49,BROKEN,"p_vlm 0.17 < chance 0.25",6,0.167,0.740,0.447,,0.250,0.379,0.455,0.531,""
matrix_set1_md_mat16,BROKEN,"p_vlm 0.17 < chance 0.25",6,0.167,-0.484,0.421,,0.250,0.485,0.294,0.344,""
matrix_set1_md_mat18,BROKEN,"p_vlm 0.17 < chance 0.25",6,0.167,-0.484,0.321,,0.250,0.250,0.333,0.348,""
matrix_set1_md_mat23,BROKEN,"p_vlm 0.17 < chance 0.25",6,0.167,-0.328,0.348,,0.250,0.250,0.310,0.444,""
matrix_set1_md_mat24,BROKEN,"p_vlm 0.17 < chance 0.25",6,0.167,0.740,0.217,,0.250,0.250,0.250,0.250,""
matrix_set1_md_mat58,BROKEN,"p_vlm 0.17 < chance 0.25",6,0.167,-0.170,0.328,,0.250,0.294,0.409,0.250,""
matrix_set1_md_mat59,BROKEN,"p_vlm 0.17 < chance 0.25",6,0.167,-0.328,0.123,,0.250,0.250,0.250,0.250,""
matrix_set1_md_mat60,BROKEN,"p_vlm 0.17 < chance 0.25",6,0.167,0.740,0.226,,0.250,0.250,0.300,0.333,""
matrix_set1_md_mat11,HARD,"bottom of panel (p_vlm 0.33)",6,0.333,0.324,0.200,,0.287,0.250,0.250,0.250,""
matrix_set1_md_mat13,HARD,"bottom of panel (p_vlm 0.33)",6,0.333,0.324,0.244,,0.287,0.250,0.250,0.364,""
matrix_set1_md_mat14,HARD,"bottom of panel (p_vlm 0.33)",6,0.333,0.958,0.231,,0.287,0.250,0.250,0.257,""
matrix_set1_md_mat69,HARD,"bottom of panel (p_vlm 0.33)",6,0.333,0.958,0.385,,0.287,0.250,0.357,0.536,""
matrix_set1_md_mat19,HARD,"bottom of panel (p_vlm 0.33)",6,0.333,0.093,0.447,,0.287,0.250,0.345,0.478,""
matrix_set1_md_mat20,HARD,"bottom of panel (p_vlm 0.33)",6,0.333,0.958,0.590,,0.287,0.286,0.679,0.500,""
matrix_set1_md_mat77,HARD,"bottom of panel (p_vlm 0.33)",6,0.333,-0.506,0.461,,0.287,0.353,0.417,0.478,""
matrix_set1_md_mat65,HARD,"bottom of panel (p_vlm 0.33)",6,0.333,0.958,0.404,,0.287,0.256,0.455,0.446,""
matrix_set1_md_mat25,HARD,"bottom of panel (p_vlm 0.33)",6,0.333,0.958,0.419,,0.287,0.250,0.404,0.441,""
matrix_set1_md_mat26,HARD,"bottom of panel (p_vlm 0.33)",6,0.333,0.324,0.206,,0.287,0.250,0.250,0.271,""
matrix_set1_md_mat28,HARD,"bottom of panel (p_vlm 0.33)",6,0.333,0.454,0.325,,0.287,0.250,0.250,0.324,""
matrix_set1_md_mat32,HARD,"bottom of panel (p_vlm 0.33)",6,0.333,0.958,0.298,,0.287,0.250,0.344,0.299,""
matrix_set1_md_mat74,HARD,"bottom of panel (p_vlm 0.33)",6,0.333,0.958,0.181,,0.287,0.333,0.250,0.385,""
matrix_set1_md_mat33,HARD,"bottom of panel (p_vlm 0.33)",6,0.333,0.958,0.353,,0.287,0.250,0.316,0.349,""
matrix_set1_md_mat37,HARD,"bottom of panel (p_vlm 0.33)",6,0.333,0.454,0.227,,0.287,0.250,0.250,0.250,""
matrix_set1_md_mat40,HARD,"bottom of panel (p_vlm 0.33)",6,0.333,0.195,0.242,,0.287,0.250,0.250,0.250,""
matrix_set1_md_mat79,HARD,"bottom of panel (p_vlm 0.33)",6,0.333,-0.383,0.243,,0.287,0.250,0.250,0.313,""
matrix_set1_md_mat47,HARD,"bottom of panel (p_vlm 0.33)",6,0.333,0.324,0.253,,0.287,0.406,0.257,0.290,""
matrix_set1_md_mat64,HARD,"bottom of panel (p_vlm 0.33)",6,0.333,-0.034,0.269,,0.287,0.250,0.250,0.313,""
matrix_set1_md_mat9,OK,"",6,0.500,0.659,0.504,,0.303,0.362,0.514,0.661,""
matrix_set1_md_mat10,OK,"",6,0.500,0.535,0.379,,0.303,0.291,0.344,0.370,""
matrix_set1_md_mat6,OK,"",6,0.500,-0.260,0.327,,0.303,0.250,0.290,0.385,""
matrix_set1_md_mat15,OK,"",6,0.500,0.659,0.261,,0.303,0.250,0.250,0.273,""
matrix_set1_md_mat51,OK,"",6,0.500,0.785,0.407,,0.303,0.250,0.333,0.357,""
matrix_set1_md_mat21,OK,"",6,0.500,0.535,0.262,,0.303,0.250,0.250,0.385,""
matrix_set1_md_mat22,OK,"",6,0.500,0.535,0.498,,0.303,0.273,0.516,0.679,""
matrix_set1_md_mat27,OK,"",6,0.500,0.535,0.215,,0.303,0.250,0.250,0.250,""
matrix_set1_md_mat29,OK,"",6,0.500,0.659,0.245,,0.303,0.250,0.250,0.253,""
matrix_set1_md_mat30,OK,"",6,0.500,0.192,0.307,,0.303,0.281,0.254,0.323,""
matrix_set1_md_mat73,OK,"",6,0.500,0.785,0.378,,0.303,0.368,0.321,0.429,""
matrix_set1_md_mat31,OK,"",6,0.500,-0.698,0.246,,0.303,0.355,0.250,0.250,""
matrix_set1_md_mat35,OK,"",6,0.500,0.535,0.271,,0.303,0.250,0.250,0.378,""
matrix_set1_md_mat39,OK,"",6,0.500,0.659,0.224,,0.303,0.250,0.250,0.250,""
matrix_set1_md_mat76,OK,"",6,0.500,0.659,0.222,,0.303,0.250,0.368,0.250,""
matrix_set1_md_mat34,OK,"",6,0.500,-0.024,0.249,,0.303,0.310,0.286,0.357,""
matrix_set1_md_mat72,OK,"",6,0.500,0.785,0.228,,0.303,0.250,0.258,0.250,""
matrix_set1_md_mat36,OK,"",6,0.500,0.785,0.249,,0.303,0.250,0.250,0.250,""
matrix_set1_md_mat66,OK,"",6,0.500,0.659,0.225,,0.303,0.250,0.250,0.250,""
matrix_set1_md_mat43,OK,"",6,0.500,0.659,0.457,,0.303,0.360,0.426,0.564,""
matrix_set1_md_mat46,OK,"",6,0.500,0.192,0.220,,0.303,0.250,0.250,0.250,""
matrix_set1_md_mat48,OK,"",6,0.500,0.785,0.319,,0.303,0.320,0.250,0.362,""
matrix_set1_md_mat80,OK,"",6,0.500,0.785,0.180,,0.303,0.250,0.250,0.250,""
matrix_set1_md_mat52,OK,"",6,0.500,0.072,0.147,,0.303,,0.250,,""
matrix_set1_md_mat55,OK,"",6,0.500,-0.584,0.129,,0.303,,,,""
matrix_set1_md_mat57,OK,"",6,0.500,-0.024,0.232,,0.303,0.286,0.273,0.300,""
matrix_set1_md_mat61,OK,"",6,0.500,0.535,0.336,,0.303,0.365,0.300,0.368,""
matrix_set1_md_mat63,OK,"",6,0.500,0.659,0.247,,0.303,0.289,0.400,0.294,""
matrix_set1_md_mat62,OK,"",6,0.667,0.585,0.463,,0.337,0.338,0.389,0.577,""
matrix_set1_md_mat17,OK,"",6,0.667,0.585,0.275,,0.337,0.250,0.333,0.289,""
matrix_set1_md_mat67,OK,"",6,0.667,0.324,0.375,,0.337,0.253,0.404,0.459,""
