row,task,item_id,item_uid,item,answer,response_alternatives,audio_file,trial_type,assessment_stage,prompt,block_index,chance_level,d,difficulty,downex,story_group,block_threshold,randomize,image,orig_item_num,source,time_limit,trial_num
1,vocab,vocab-instruct-1,,In dit spel ga je naar woorden luisteren en naar verschillende plaatjes kijken. Jouw taak is om het plaatje te kiezen dat bij het woord past!,,,vocab-instruct-1,instructions,instructions,,0,,,,,,,,,,,,
2,vocab,vocab-instruct-2,,"Sommige woorden zijn moeilijk, en dat is oké. Als je het niet zeker weet, doe dan gewoon een gok!",,,vocab-instruct-2,instructions,instructions,,0,,,,,,,,,,,,
3,vocab,vocab-instruct-3,,"Als je het woord nogmaals wil horen, druk dan op de luidsprekerknop.",,,vocab-instruct-3,instructions,instructions,,0,,,,,,,,,,,,
4,vocab,acorn,vocab_word_acorn,de eikel,acorn,"coconut,key,clothesline",vocab-item-001,test,test_response,,1,0.25,-4.1862,-3.4341,,,,,,,clip,,
5,vocab,aloe,vocab_word_aloe,de aloë,aloe,"bracket,cactus,banner",vocab-item-002,test,test_response,,1,0.25,-0.089,1.2672,,,,,,,clip,,
6,vocab,antenna,vocab_word_antenna,de antenne,antenna,"pinecone,stem,backgammon",vocab-item-003,test,test_response,,1,0.25,-1.1464,-0.2931,,,,,,,clip,,
7,vocab,artichoke,vocab_word_artichoke,de artisjok,artichoke,"leek,sunroof,cello",vocab-item-004,test,test_response,,1,0.25,-0.9324,0.1147,,,,,,,clip,,
8,vocab,bamboo,vocab_word_bamboo,de bamboe,bamboo,"lumber,yacht,apron",vocab-item-005,test,test_response,,1,0.25,,-2.3392,,,,,,,clip,,
9,vocab,barrel,vocab_word_barrel,het vat,barrel,"bucket,shelf,anteater",vocab-item-006,test,test_response,,1,0.25,-3.036,-2.0477,,,,,,,clip,,
10,vocab,blender,vocab_word_blender,de blender,blender,"blind,mailbox,trampoline",vocab-item-007,test,test_response,,1,0.25,,-2.1178,,,,,,,clip,,
11,vocab,blower,vocab_word_blower,de blazer,blower,"buggy,burner,papaya",vocab-item-008,test,test_response,,1,0.25,-2.4651,-3.3678,,,,,,,clip,,
12,vocab,bouquet,vocab_word_bouquet,het boeket,bouquet,"flowerpot,centerpiece,submarine",vocab-item-009,test,test_response,,1,0.25,-1.7052,-1.1634,,,,,,,clip,,
13,vocab,buffet,vocab_word_buffet,het buffet,buffet,"counter,crib,rhubarb",vocab-item-010,test,test_response,,1,0.25,,-1.2473,,,,,,,clip,,
14,vocab,bulldozer,vocab_word_bulldozer,de bulldozer,bulldozer,"orange,tractor,eggplant",vocab-item-011,test,test_response,,1,0.25,-1.7354,-0.7506,,,,,,,clip,,
15,vocab,cake,vocab_word_cake,de taart,cake,"dessert,refrigerator,battery",vocab-item-012,test,test_response,,1,0.25,,-2.8473,,,,,,,clip,,
16,vocab,caramel,vocab_word_caramel,de karamel,caramel,"amber,olive,warthog",vocab-item-013,test,test_response,,1,0.25,-2.0087,-1.3743,,,,,,,clip,,
17,vocab,carousel,vocab_word_carousel,de draaimolen,carousel,"carriage,dish,melon",vocab-item-014,test,test_response,,1,0.25,-1.3925,-0.0533,,,,,,,clip,,
18,vocab,carrot,vocab_word_carrot,de wortel,carrot,"phone,vegetable,bathtub",vocab-item-015,test,test_response,,1,0.25,-4.4345,-3.5538,,,,,,,clip,,
19,vocab,cassette,vocab_word_cassette,de cassette,cassette,"book,tape,hammock",vocab-item-016,test,test_response,,1,0.25,-1.2517,-0.3174,,,,,,,clip,,
20,vocab,cheese,vocab_word_cheese,de kaas,cheese,"butter,mud,hippopotamus",vocab-item-017,test,test_response,,1,0.25,-0.0719,0.5949,,,,,,,clip,,
21,vocab,cloak,vocab_word_cloak,de mantel,cloak,"cinnamon,hood,jellyfish",vocab-item-018,test,test_response,,1,0.25,-0.88,0.7814,,,,,,,clip,,
22,vocab,clothespin,vocab_word_clothespin,de wasknijper,clothespin,"toothpick,volleyball,hanger",vocab-item-019,test,test_response,,1,0.25,-2.7166,-0.3524,,,,,,,clip,,
23,vocab,coaster,vocab_word_coaster,de onderzetter,coaster,"card,tablecloth,hummingbird",vocab-item-020,test,test_response,,1,0.25,-0.4266,1.5977,,,,,,,clip,,
24,vocab,cork,vocab_word_cork,de kurk,cork,"jersey,skateboard,mascara",vocab-item-021,test,test_response,,1,0.25,-2.0911,-0.1597,,,,,,,clip,,
25,vocab,cornbread,vocab_word_cornbread,het maïsbrood,cornbread,"corn,wreath,organ",vocab-item-022,test,test_response,,1,0.25,-2.6628,-1.1363,,,,,,,clip,,
26,vocab,corset,vocab_word_corset,het korset,corset,"harness,mantle,bonsai",vocab-item-023,test,test_response,,1,0.25,-0.041,1.4056,,,,,,,clip,,
27,vocab,dumpling,vocab_word_dumpling,de knoedel,dumpling,"meatball,rocket,coyote",vocab-item-024,test,test_response,,1,0.25,-2.3386,-0.6064,,,,,,,clip,,
28,vocab,elbow,vocab_word_elbow,de elleboog,elbow,"arm,bed,gorilla",vocab-item-025,test,test_response,,1,0.25,-2.2687,-1.9901,,,,,,,clip,,
29,vocab,fan,vocab_word_fan,de ventilator,fan,"album,boulder,chipmunk",vocab-item-026,test,test_response,,1,0.25,-4.0501,-2.7885,,,,,,,clip,,
30,vocab,foam,vocab_word_foam,het schuim,foam,"float,quilt,asparagus",vocab-item-027,test,test_response,,1,0.25,-2.4014,-1.6975,,,,,,,clip,,
31,vocab,footbath,vocab_word_footbath,het voetbad,footbath,"trough,vest,rhinoceros",vocab-item-028,test,test_response,,1,0.25,,-2.1547,,,,,,,clip,,
32,vocab,fruitcake,vocab_word_fruitcake,de vruchtencake,fruitcake,"dough,fudge,anvil",vocab-item-029,test,test_response,,1,0.25,-2.7469,-2.3074,,,,,,,clip,,
33,vocab,gutter,vocab_word_gutter,de goot,gutter,"almond,filter,roofwindow",vocab-item-030,test,test_response,,1,0.25,-0.7046,0.7327,,,,,,,clip,,
34,vocab,hamster,vocab_word_hamster,de hamster,hamster,"rabbit,tadpole,skirt",vocab-item-031,test,test_response,,1,0.25,-4.0798,-2.1163,,,,,,,clip,,
35,vocab,hedgehog,vocab_word_hedgehog,de egel,hedgehog,"iguana,owl,dumbwaiter",vocab-item-032,test,test_response,,1,0.25,,,,,,,,,clip,,
36,vocab,hoe,vocab_word_hoe,de schoffel,hoe,"dustpan,peg,beaker",vocab-item-033,test,test_response,,1,0.25,-1.6399,-0.6591,,,,,,,clip,,
37,vocab,hopscotch,vocab_word_hopscotch,de hinkelbaan,hopscotch,"chalk,funnel,jug",vocab-item-034,test,test_response,,1,0.25,-2.7237,-2.5599,,,,,,,clip,,
38,vocab,kimono,vocab_word_kimono,de kimono,kimono,"cardigan,turntable,cable",vocab-item-035,test,test_response,,1,0.25,-0.6306,2.0254,,,,,,,clip,,
39,vocab,latch,vocab_word_latch,de grendel,latch,"lock,microwave,umbrella",vocab-item-036,test,test_response,,1,0.25,-1.8556,-0.7413,,,,,,,clip,,
40,vocab,locker,vocab_word_locker,het kluisje,locker,"basket,cabinet,gargoyle",vocab-item-037,test,test_response,,1,0.25,-3.9611,-3.1363,,,,,,,clip,,
41,vocab,lollipop,vocab_word_lollipop,de lolly,lollipop,"candy,doorbell,crumb",vocab-item-038,test,test_response,,1,0.25,-5.6081,-3.853,,,,,,,clip,,
42,vocab,map,vocab_word_map,de kaart,map,"marker,ruby,dishwasher",vocab-item-039,test,test_response,,1,0.25,-3.7111,-2.8762,,,,,,,clip,,
43,vocab,marshmallow,vocab_word_marshmallow,de marshmallow,marshmallow,"dryer,snowball,rooster",vocab-item-040,test,test_response,,1,0.25,,-2.1201,,,,,,,clip,,
44,vocab,net,vocab_word_net,het net,net,"domino,tee,hydrant",vocab-item-041,test,test_response,,1,0.25,,,,,,,,,clip,,
45,vocab,oil,vocab_word_oil,de olie,oil,"gel,grain,bassinet",vocab-item-042,test,test_response,,1,0.25,,,,,,,,,clip,,
46,vocab,omelet,vocab_word_omelet,de omelet,omelet,"clay,pancake,trunk",vocab-item-043,test,test_response,,1,0.25,-2.4992,-1.2138,,,,,,,clip,,
47,vocab,pie,vocab_word_pie,de taart,pie,"flashlight,pizza,sweater",vocab-item-044,test,test_response,,1,0.25,,-2.0762,,,,,,,clip,,
48,vocab,pistachio,vocab_word_pistachio,het pistachenootje,pistachio,"avocado,taco,bagpipe",vocab-item-045,test,test_response,,1,0.25,-2.1195,-0.8216,,,,,,,clip,,
49,vocab,pitcher,vocab_word_pitcher,de kan,pitcher,"batter,tumbleweed,medal",vocab-item-046,test,test_response,,1,0.25,-0.0966,0.8742,,,,,,,clip,,
50,vocab,potato,vocab_word_potato,de aardappel,potato,"glasses,pot,dragonfly",vocab-item-047,test,test_response,,1,0.25,,,,,,,,,clip,,
51,vocab,prism,vocab_word_prism,het prisma,prism,"radar,subway,chinchilla",vocab-item-048,test,test_response,,1,0.25,-0.9176,-0.973,,,,,,,clip,,
52,vocab,puddle,vocab_word_puddle,de plas,puddle,"baseball,bubble,salami",vocab-item-049,test,test_response,,1,0.25,-3.1186,-1.2355,,,,,,,clip,,
53,vocab,pump,vocab_word_pump,de pomp,pump,"coat,plug,scarf",vocab-item-050,test,test_response,,1,0.25,-1.8656,-1.4248,,,,,,,clip,,
54,vocab,rice,vocab_word_rice,de rijst,rice,"box,corn,bedpost",vocab-item-051,test,test_response,,1,0.25,,,,,,,,,clip,,
55,vocab,saddle,vocab_word_saddle,het zadel,saddle,"figurine,dogharness,broccoli",vocab-item-052,test,test_response,,1,0.25,-2.482,-1.3177,,,,,,,clip,,
56,vocab,sandbag,vocab_word_sandbag,de zandzak,sandbag,"sandbox,valve,octopus",vocab-item-053,test,test_response,,1,0.25,-1.9166,-1.4799,,,,,,,clip,,
57,vocab,scaffolding,vocab_word_scaffolding,de steiger,scaffolding,"satellite,veil,antelope",vocab-item-054,test,test_response,,1,0.25,-0.1618,0.6115,,,,,,,clip,,
58,vocab,scoop,vocab_word_scoop,de schep,scoop,"sauce,statue,cauliflower",vocab-item-055,test,test_response,,1,0.25,-1.0753,-1.7703,,,,,,,clip,,
59,vocab,seagull,vocab_word_seagull,de meeuw,seagull,"lobster,pigeon,perfume",vocab-item-056,test,test_response,,1,0.25,-3.0402,-1.111,,,,,,,clip,,
60,vocab,ship,vocab_word_ship,het schip,ship,"boat,nose,zucchini",vocab-item-057,test,test_response,,1,0.25,,-1.189,,,,,,,clip,,
61,vocab,shower,vocab_word_shower,de douche,shower,"soap,toe,cantaloupe",vocab-item-058,test,test_response,,1,0.25,-4.1759,-3.9501,,,,,,,clip,,
