source,block_index,task,audio_file,item,answer,trial_type,response_alternatives,chance_level,assessment_stage,item_id,item_uid,d
,0,vocab,vocab-instruct-1,,,instructions,,,instructions,vocab-instruct-1,vocab-instruct-1,NA
,0,vocab,vocab-instruct-2,,,instructions,,,instructions,vocab-instruct-2,vocab-instruct-2,NA
,0,vocab,vocab-instruct-3,,,instructions,,,instructions,vocab-instruct-3,vocab-instruct-3,NA
clip,1,vocab,vocab-item-001,acorn,acorn,test,"coconut,key,clothesline",0.25,test_response,acorn,vocab__acorn,-4.1862
clip,1,vocab,vocab-item-002,aloe,aloe,test,"bracket,cactus,banner",0.25,test_response,aloe,vocab__aloe,-0.089
clip,1,vocab,vocab-item-003,antenna,antenna,test,"pinecone,stem,backgammon",0.25,test_response,antenna,vocab__antenna,-1.1464
clip,1,vocab,vocab-item-004,artichoke,artichoke,test,"leek,sunroof,cello",0.25,test_response,artichoke,vocab__artichoke,-0.9324
clip,1,vocab,vocab-item-005,bamboo,bamboo,test,"lumber,yacht,apron",0.25,test_response,bamboo,vocab__bamboo,NA
clip,1,vocab,vocab-item-006,barrel,barrel,test,"bucket,shelf,anteater",0.25,test_response,barrel,vocab__barrel,-3.036
clip,1,vocab,vocab-item-007,blender,blender,test,"blind,mailbox,trampoline",0.25,test_response,blender,vocab__blender,NA
clip,1,vocab,vocab-item-008,blower,blower,test,"buggy,burner,papaya",0.25,test_response,blower,vocab__blower,-2.4651
clip,1,vocab,vocab-item-009,bouquet,bouquet,test,"bandanna,centerpiece,submarine",0.25,test_response,bouquet,vocab__bouquet,-1.7052
clip,1,vocab,vocab-item-010,buffet,buffet,test,"counter,crib,rhubarb",0.25,test_response,buffet,vocab__buffet,NA
clip,1,vocab,vocab-item-011,bulldozer,bulldozer,test,"orange,tractor,eggplant",0.25,test_response,bulldozer,vocab__bulldozer,-1.7354
clip,1,vocab,vocab-item-012,cake,cake,test,"dessert,refrigerator,battery",0.25,test_response,cake,vocab__cake,NA
clip,1,vocab,vocab-item-013,caramel,caramel,test,"amber,olive,warthog",0.25,test_response,caramel,vocab__caramel,-2.0087
clip,1,vocab,vocab-item-014,carousel,carousel,test,"carriage,dish,melon",0.25,test_response,carousel,vocab__carousel,-1.3925
clip,1,vocab,vocab-item-015,carrot,carrot,test,"phone,vegetable,bathtub",0.25,test_response,carrot,vocab__carrot,-4.4345
clip,1,vocab,vocab-item-016,cassette,cassette,test,"book,tape,hammock",0.25,test_response,cassette,vocab__cassette,-1.2517
clip,1,vocab,vocab-item-017,cheese,cheese,test,"butter,mud,hippopotamus",0.25,test_response,cheese,vocab__cheese,-0.0719
clip,1,vocab,vocab-item-018,cloak,cloak,test,"cinnamon,hood,jellyfish",0.25,test_response,cloak,vocab__cloak,-0.88
clip,1,vocab,vocab-item-019,clothespin,clothespin,test,"toothpick,volleyball,fondue",0.25,test_response,clothespin,vocab__clothespin,-2.7166
