item_uid,bank_uid,p_vlm,p_pred_child,p_human,d_bank,d_bench,d_est,d_est_cv,d_est_p_only_cv,chance,anchor,tags,zipf,flag,transcript
tom_moral_reasoning_emotion_reasoning_2,tom_moral_reasoning_emotion_reasoning_2,0.0000,0.3700,0.4180,1.386579,-1.386579,0.907816,0.872037,1.132721,0.2500,true,spatial,,BROKEN,
tom_deception_reality_check_2,tom_deception_reality_check_2,0.0000,0.5000,0.4700,5.497742,-5.497742,6.127633,6.775446,7.565849,0.5000,true,spatial,,BROKEN,
tom_deception_reality_check_3,tom_deception_reality_check_3,0.0000,0.5000,0.3710,5.876897,-5.876897,6.127633,6.429085,7.257951,0.5000,true,spatial,,BROKEN,
tom_reference_reference,tom_reference_reference,0.0000,0.3700,0.2220,5.729784,-5.729784,1.667157,1.541999,1.663395,0.3300,true,other,,BROKEN,
tom_moral_reasoning_reality_check,tom_moral_reasoning_reality_check,0.5000,0.5830,,,,-0.082845,,,0.2500,false,other,,HARD,
tom_second_order_false_belief_1,tom_second_order_false_belief_1,0.6670,0.6540,0.8470,-0.011553,0.011553,0.321180,-0.680861,-0.501100,0.5000,true,other,,OK,
tom_deception_false_belief_3,tom_deception_false_belief_3,0.8890,0.6540,0.4830,3.884747,-3.884747,0.321180,0.237933,0.388724,0.5000,true,spatial,,OK,
tom_reality_known_false_belief,tom_reality_known_false_belief,1.0000,0.8200,0.6750,1.006961,-1.006961,-0.636004,-0.723133,-0.546575,0.5000,true,other,,CEILING,
tom_reality_known_reality_check,tom_reality_known_reality_check,1.0000,0.8200,0.9260,-1.656719,1.656719,-0.636004,-0.579956,-0.427645,0.5000,true,other,,CEILING,
tom_moral_reasoning_false_belief,tom_moral_reasoning_false_belief,1.0000,0.8200,,,,-1.035034,,,0.2500,false,other,,CEILING,
tom_moral_reasoning_emotion_reasoning_1,tom_moral_reasoning_emotion_reasoning_1,1.0000,0.8200,0.8590,-1.127323,1.127323,-1.035034,-1.027551,-0.888251,0.2500,true,spatial,,CEILING,
tom_moral_reasoning_false_belief_1,tom_moral_reasoning_false_belief_1,1.0000,0.8200,0.7610,-0.594777,0.594777,-0.636004,-0.638952,-0.475060,0.5000,true,other,,CEILING,
tom_moral_reasoning_false_belief_2,tom_moral_reasoning_false_belief_2,1.0000,0.8200,0.7120,0.195054,-0.195054,-0.636004,-0.695707,-0.510324,0.5000,true,other,,CEILING,
tom_moral_reasoning_reality_check,tom_moral_reasoning_reality_check,1.0000,0.8200,,,,-1.035034,,,0.2500,false,other,,CEILING,
tom_interpretation_reality_check_1,tom_interpretation_reality_check_1,1.0000,0.8200,0.8790,-1.719598,1.719598,-0.636004,-0.575466,-0.424838,0.5000,true,spatial,,CEILING,
tom_interpretation_false_belief,tom_interpretation_false_belief,1.0000,0.8200,0.8320,-0.437734,0.437734,-0.636004,-0.650237,-0.482071,0.5000,true,spatial,,CEILING,
tom_interpretation_reality_check_2,tom_interpretation_reality_check_2,1.0000,0.8200,0.9680,-2.379655,2.379655,-0.636004,-0.556487,-0.395367,0.5000,true,spatial,,CEILING,
tom_interpretation_emotion_reasoning,tom_interpretation_emotion_reasoning,1.0000,0.8200,0.7740,-0.218247,0.218247,-1.035034,-1.101106,-0.936014,0.2500,true,spatial,,CEILING,
tom_deception_emotion_reasoning_1,tom_deception_emotion_reasoning_1,1.0000,0.8200,0.9120,-2.235409,2.235409,-1.035034,-0.954266,-0.830031,0.2500,true,spatial,,CEILING,
tom_deception_emotion_reasoning_2,tom_deception_emotion_reasoning_2,1.0000,0.8200,0.8170,-0.896974,0.896974,-1.035034,-1.046189,-0.900353,0.2500,true,spatial,,CEILING,
tom_deception_false_belief_1,tom_deception_false_belief_1,1.0000,0.8200,0.7850,-0.445694,0.445694,-0.636004,-0.649665,-0.481716,0.5000,true,spatial,,CEILING,
tom_deception_false_belief_2,tom_deception_false_belief_2,1.0000,0.8200,0.6460,0.256849,-0.256849,-0.636004,-0.700147,-0.513084,0.5000,true,spatial,,CEILING,
tom_deception_reality_check_1,tom_deception_reality_check_1,1.0000,0.8200,0.8730,-1.228922,1.228922,-0.636004,-0.595278,-0.446746,0.5000,true,spatial,,CEILING,
tom_reference_reality_check,tom_reference_reality_check,1.0000,0.8200,0.8340,-1.491246,1.491246,-0.930506,-0.888568,-0.755042,0.3300,true,other,,CEILING,
tom_reference_emotion_reasoning_1,tom_reference_emotion_reasoning_1,1.0000,0.8200,0.8930,-2.784702,2.784702,-1.035034,-0.944961,-0.801171,0.2500,true,spatial,,CEILING,
tom_reference_emotion_reasoning_2,tom_reference_emotion_reasoning_2,1.0000,0.8200,0.8770,-1.776500,1.776500,-1.035034,-0.990729,-0.854143,0.2500,true,spatial,,CEILING,
tom_second_order_reality_check,tom_second_order_reality_check,1.0000,0.8200,0.8710,-1.299432,1.299432,-0.636004,-0.591807,-0.443598,0.5000,true,other,,CEILING,
tom_second_order_false_belief_1,tom_second_order_false_belief_1,1.0000,0.8200,0.8470,-0.011553,0.011553,-0.636004,-0.680861,-0.501100,0.5000,true,other,,CEILING,
tom_second_order_false_belief_2,tom_second_order_false_belief_2,1.0000,0.8200,0.6380,1.159497,-1.159497,-0.930506,-1.023981,-0.887824,0.3300,true,other,,CEILING,
