corpus_id,corpus_file_name,row,task_id,task_dir,answer,assessment_stage,audio_file,block_index,chance_level,d,difficulty,image,item,item_id,item_uid,orig_item_num,prompt,randomize,required_selections,response_alternatives,source,task,time_limit,trial_num,trial_type
vocab-de-DE-v1,vocab-item-bank-de-DE,1,vocab,levante-vocabulary-dev,,instructions,vocab-instruct-1,0,,,,,"In diesem Spiel hörst du Wörter und siehst dir verschiedene Bilder an. Deine Aufgabe ist es, das Bild auszuwählen, das zum Wort passt!",vocab-instruct-1,,,,,,,,vocab,,,instructions
vocab-de-DE-v1,vocab-item-bank-de-DE,2,vocab,levante-vocabulary-dev,,instructions,vocab-instruct-2,0,,,,,"Manche Wörter sind schwer, und das ist in Ordnung. Wenn du dir nicht sicher bist, gib einfach dein Bestes!",vocab-instruct-2,,,,,,,,vocab,,,instructions
vocab-de-DE-v1,vocab-item-bank-de-DE,3,vocab,levante-vocabulary-dev,,instructions,vocab-instruct-3,0,,,,,"Wenn du das Wort noch einmal hören möchtest, drücke die Lautsprechertaste.",vocab-instruct-3,,,,,,,,vocab,,,instructions
vocab-de-DE-v1,vocab-item-bank-de-DE,4,vocab,levante-vocabulary-dev,acorn,test_response,vocab-item-001,1,0.25,-4.1862,-3.9536,,die Eichel,acorn,vocab_word_acorn,,,,,"coconut,key,clothesline",clip,vocab,,,test
vocab-de-DE-v1,vocab-item-bank-de-DE,5,vocab,levante-vocabulary-dev,aloe,test_response,vocab-item-002,1,0.25,-0.089,-0.1172,,die aloe vera,aloe,vocab_word_aloe,,,,,"bracket,cactus,banner",clip,vocab,,,test
vocab-de-DE-v1,vocab-item-bank-de-DE,6,vocab,levante-vocabulary-dev,antenna,test_response,vocab-item-003,1,0.25,-1.1464,-3.6137,,die Antenne,antenna,vocab_word_antenna,,,,,"pinecone,stem,backgammon",clip,vocab,,,test
vocab-de-DE-v1,vocab-item-bank-de-DE,7,vocab,levante-vocabulary-dev,artichoke,test_response,vocab-item-004,1,0.25,-0.9324,-1.4173,,die artischocke,artichoke,vocab_word_artichoke,,,,,"leek,sunroof,cello",clip,vocab,,,test
vocab-de-DE-v1,vocab-item-bank-de-DE,8,vocab,levante-vocabulary-dev,bamboo,test_response,vocab-item-005,1,0.25,,-4.4671,,der bambus,bamboo,vocab_word_bamboo,,,,,"lumber,yacht,apron",clip,vocab,,,test
vocab-de-DE-v1,vocab-item-bank-de-DE,9,vocab,levante-vocabulary-dev,barrel,test_response,vocab-item-006,1,0.25,-3.036,-3.4344,,das fass,barrel,vocab_word_barrel,,,,,"bucket,shelf,anteater",clip,vocab,,,test
vocab-de-DE-v1,vocab-item-bank-de-DE,10,vocab,levante-vocabulary-dev,blender,test_response,vocab-item-007,1,0.25,,-3.1622,,der mixer,blender,vocab_word_blender,,,,,"blind,mailbox,trampoline",clip,vocab,,,test
vocab-de-DE-v1,vocab-item-bank-de-DE,11,vocab,levante-vocabulary-dev,blower,test_response,vocab-item-008,1,0.25,-2.4651,-2.6242,,das gebläse,blower,vocab_word_blower,,,,,"buggy,burner,papaya",clip,vocab,,,test
vocab-de-DE-v1,vocab-item-bank-de-DE,12,vocab,levante-vocabulary-dev,bouquet,test_response,vocab-item-009,1,0.25,-1.7052,-4.4621,,der blumenstrauß,bouquet,vocab_word_bouquet,,,,,"flowerpot,centerpiece,submarine",clip,vocab,,,test
vocab-de-DE-v1,vocab-item-bank-de-DE,13,vocab,levante-vocabulary-dev,buffet,test_response,vocab-item-010,1,0.25,,-3.171,,das buffet,buffet,vocab_word_buffet,,,,,"counter,crib,rhubarb",clip,vocab,,,test
vocab-de-DE-v1,vocab-item-bank-de-DE,14,vocab,levante-vocabulary-dev,bulldozer,test_response,vocab-item-011,1,0.25,-1.7354,-2.288,,die planierraupe,bulldozer,vocab_word_bulldozer,,,,,"caterpillar,tractor,eggplant",clip,vocab,,,test
vocab-de-DE-v1,vocab-item-bank-de-DE,15,vocab,levante-vocabulary-dev,cake,test_response,vocab-item-012,1,0.25,,-4.4936,,die Torte,cake,vocab_word_cake,,,,,"dessert,refrigerator,battery",clip,vocab,,,test
vocab-de-DE-v1,vocab-item-bank-de-DE,16,vocab,levante-vocabulary-dev,caramel,test_response,vocab-item-013,1,0.25,-2.0087,-3.3982,,das karamell,caramel,vocab_word_caramel,,,,,"amber,olive,warthog",clip,vocab,,,test
