priority,item_uid,flag,p_vlm,p_human,transcript
1,nase,BROKEN,0.000,,""
2,gummistiefel,BROKEN,0.000,,""
3,backen,BROKEN,0.000,,""
4,tag,BROKEN,0.000,,""
5,berraschend,BROKEN,0.125,,""
6,schatten,BROKEN,0.125,,""
7,f hlen,BROKEN,0.143,,""
8,geheimnis,BROKEN,0.143,,""
9,garten,BROKEN,0.143,,""
10,hai,BROKEN,0.167,,""
11,trampolin,BROKEN,0.167,,""
12,flasche,BROKEN,0.167,,""
13,pinsel,BROKEN,0.167,,""
14,kochen,BROKEN,0.200,,""
15,dunkel,BROKEN,0.250,,""
16,verstecken,BROKEN,0.250,,""
17,zwischen,BROKEN,0.250,,""
18,wal,BROKEN,0.250,,""
19,langsam,BROKEN,0.250,,""
20,herz,BROKEN,0.286,,""
21,abenteuerlich,BROKEN,0.286,,""
22,regenbogen,BROKEN,0.333,,""
23,schl ssel,BROKEN,0.333,,""
24,ast,BROKEN,0.375,,""
25,obwohl,BROKEN,0.375,,""
26,helfen,BROKEN,0.375,,""
27,klee,BROKEN,0.375,,""
28,insel,BROKEN,0.429,,""
29,dorten,BROKEN,0.429,,""
30,entdecken,BROKEN,0.429,,""
31,auge,BROKEN,0.429,,""
32,wilfen,BROKEN,0.429,,""
33,alt,BROKEN,0.429,,""
34,auler,CEILING,0.875,,""
35,febenv gen,CEILING,0.875,,""
36,latzbam,CEILING,0.875,,""
37,pal,CEILING,0.875,,""
38,a bnistieked,CEILING,0.875,,""
39,b nken,CEILING,0.875,,""
40,wie,CEILING,1.000,,""
41,fudel,CEILING,1.000,,""
42,aft,CEILING,1.000,,""
