corpus_item_id,sheet_row,corpus_link,corpus_id,corpus_file_name,task_link,task_id,task_dir,item_id,task,answer,assessment_stage,audio_file (old),audio_file link,block_index,chance_level,d,difficulty_old,image,item,item_link,item_uid,orig_item_num,prompt,randomize,required_selections,response_alternatives,source,time_limit,trial_num,trial_type,audio_file,row,item_uid sheet,a,g,u,trial_attributes,notes,form_construct,num_cards,num_dimensions,Last Modified,item_uid_check,item_key,group,entry,item_uid_temp,task_id_temp,corpus_id_temp,item_task (from item_link),tom_scenario,task_item_link,corpus_short_name,downex,registry_parameters (from item_link),corpus_registry_version,inferred_parameters,difficulty_inferred,difficulty,discrimination,block_threshold,last_modified,corpus_language,registry_parameter_helper,registry_parameter,discrimination_registry,difficulty_registry,item_uid_language,corpus_active,story_group
vocab-es-CO-v1 vocab-instruct-1,vocab-es-CO-v1_1,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,vocab-instruct-1,vocab,,instructions,vocab-instruct-1,vocab-instruct-1,0,,,,,,,,,,,,,,,,instructions,vocab-instruct-1,1,vocab-instruct-1,,,,,,,,,3/12/2026 3:32pm,1,instructions   ,,,,,,,,vocab-instruct-1,vocab-es-CO-v1,,,v1_6,,,,,,3/12/2026 3:32pm,es-CO,,,,,-es-CO,1 checked out of 1,
vocab-es-CO-v1 vocab-instruct-2,vocab-es-CO-v1_2,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,vocab-instruct-2,vocab,,instructions,vocab-instruct-2,vocab-instruct-2,0,,,,,,,,,,,,,,,,instructions,vocab-instruct-2,2,vocab-instruct-2,,,,,,,,,3/12/2026 3:32pm,1,instructions   ,,,,,,,,vocab-instruct-2,vocab-es-CO-v1,,,v1_6,,,,,,3/12/2026 3:32pm,es-CO,,,,,-es-CO,1 checked out of 1,
vocab-es-CO-v1 vocab-instruct-3,vocab-es-CO-v1_3,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,vocab-instruct-3,vocab,,instructions,vocab-instruct-3,vocab-instruct-3,0,,,,,,,,,,,,,,,,instructions,vocab-instruct-3,3,vocab-instruct-3,,,,,,,,,3/12/2026 3:32pm,1,instructions   ,,,,,,,,vocab-instruct-3,vocab-es-CO-v1,,,v1_6,,,,,,3/12/2026 3:32pm,es-CO,,,,,-es-CO,1 checked out of 1,
vocab-es-CO-v1 acorn,vocab-es-CO-v1_4,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,acorn,vocab,acorn,test_response,vocab-item-001,vocab-item-001,1,0.25,-4.18620000,,,acorn,vocab_word_acorn,vocab_word_acorn,,,,,"coconut,key,clothesline",clip,,,test,vocab-item-001,4,vocab__acorn,,,,,,,,,3/31/2026 7:48am,0,"test acorn acorn coconut,key,clothesline",word,acorn,,,,vocab,,acorn,vocab-es-CO-v1,,"vocab_word_acorn v1_6 es-CO,vocab_word_acorn v1_6 de-DE,vocab_word_acorn v1_6 en-US",v1_6,,,-1.7008,1,,3/31/2026 7:48am,es-CO,vocab_word_acorn v1_6 es-CO,vocab_word_acorn v1_6 es-CO,1.000,-1.701,vocab_word_acorn-es-CO,1 checked out of 1,
vocab-es-CO-v1 aloe,vocab-es-CO-v1_5,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,aloe,vocab,aloe,test_response,vocab-item-002,vocab-item-002,1,0.25,-0.08900000,,,aloe,vocab_word_aloe,vocab_word_aloe,,,,,"bracket,cactus,banner",clip,,,test,vocab-item-002,5,vocab__aloe,,,,,,,,,3/31/2026 7:50am,0,"test aloe aloe bracket,cactus,banner",word,aloe,,,,vocab,,aloe,vocab-es-CO-v1,,"vocab_word_aloe v1_6 es-CO,vocab_word_aloe v1_6 de-DE,vocab_word_aloe v1_6 en-US",v1_6,,,0.7998,1,,3/31/2026 7:50am,es-CO,vocab_word_aloe v1_6 es-CO,vocab_word_aloe v1_6 es-CO,1.000,0.800,vocab_word_aloe-es-CO,1 checked out of 1,
vocab-es-CO-v1 antenna,vocab-es-CO-v1_6,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,antenna,vocab,antenna,test_response,vocab-item-003,vocab-item-003,1,0.25,-1.14640000,,,antenna,vocab_word_antenna,vocab_word_antenna,,,,,"pinecone,stem,backgammon",clip,,,test,vocab-item-003,6,vocab__antenna,,,,,,,,,3/31/2026 7:50am,0,"test antenna antenna pinecone,stem,backgammon",word,antenna,,,,vocab,,antenna,vocab-es-CO-v1,,"vocab_word_antenna v1_6 es-CO,vocab_word_antenna v1_6 de-DE,vocab_word_antenna v1_6 en-US",v1_6,,,-1.4912,1,,3/31/2026 7:50am,es-CO,vocab_word_antenna v1_6 es-CO,vocab_word_antenna v1_6 es-CO,1.000,-1.491,vocab_word_antenna-es-CO,1 checked out of 1,
vocab-es-CO-v1 artichoke,vocab-es-CO-v1_7,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,artichoke,vocab,artichoke,test_response,vocab-item-004,vocab-item-004,1,0.25,-0.93240000,,,artichoke,vocab_word_artichoke,vocab_word_artichoke,,,,,"leek,sunroof,cello",clip,,,test,vocab-item-004,7,vocab__artichoke,,,,,,,,,3/31/2026 7:50am,0,"test artichoke artichoke leek,sunroof,cello",word,artichoke,,,,vocab,,artichoke,vocab-es-CO-v1,,"vocab_word_artichoke v1_6 es-CO,vocab_word_artichoke v1_6 de-DE,vocab_word_artichoke v1_6 en-US",v1_6,,,-0.1530,1,,3/31/2026 7:50am,es-CO,vocab_word_artichoke v1_6 es-CO,vocab_word_artichoke v1_6 es-CO,1.000,-0.153,vocab_word_artichoke-es-CO,1 checked out of 1,
vocab-es-CO-v1 bamboo,vocab-es-CO-v1_8,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,bamboo,vocab,bamboo,test_response,vocab-item-005,vocab-item-005,1,0.25,,,,bamboo,vocab_word_bamboo,vocab_word_bamboo,,,,,"lumber,yacht,apron",clip,,,test,vocab-item-005,8,vocab__bamboo,,,,,,,,,3/31/2026 7:50am,0,"test bamboo bamboo lumber,yacht,apron",word,bamboo,,,,vocab,,bamboo,vocab-es-CO-v1,,"vocab_word_bamboo v1_6 es-CO,vocab_word_bamboo v1_6 de-DE,vocab_word_bamboo v1_6 en-US",v1_6,,,-2.2923,1,,3/31/2026 7:50am,es-CO,vocab_word_bamboo v1_6 es-CO,vocab_word_bamboo v1_6 es-CO,1.000,-2.292,vocab_word_bamboo-es-CO,1 checked out of 1,
vocab-es-CO-v1 barrel,vocab-es-CO-v1_9,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,barrel,vocab,barrel,test_response,vocab-item-006,vocab-item-006,1,0.25,-3.03600000,,,barrel,vocab_word_barrel,vocab_word_barrel,,,,,"bucket,shelf,anteater",clip,,,test,vocab-item-006,9,vocab__barrel,,,,,,,,,3/31/2026 7:50am,0,"test barrel barrel bucket,shelf,anteater",word,barrel,,,,vocab,,barrel,vocab-es-CO-v1,,"vocab_word_barrel v1_6 es-CO,vocab_word_barrel v1_6 de-DE,vocab_word_barrel v1_6 en-US",v1_6,,,-1.5145,1,,3/31/2026 7:50am,es-CO,vocab_word_barrel v1_6 es-CO,vocab_word_barrel v1_6 es-CO,1.000,-1.515,vocab_word_barrel-es-CO,1 checked out of 1,
vocab-es-CO-v1 blender,vocab-es-CO-v1_10,vocab-es-CO-v1,vocab-es-CO-v1,vocab-item-bank-es-CO,vocab,vocab,levante-vocabulary-dev,blender,vocab,blender,test_response,vocab-item-007,vocab-item-007,1,0.25,,,,blender,vocab_word_blender,vocab_word_blender,,,,,"blind,mailbox,trampoline",clip,,,test,vocab-item-007,10,vocab__blender,,,,,,,,,3/31/2026 7:50am,0,"test blender blender blind,mailbox,trampoline",word,blender,,,,vocab,,blender,vocab-es-CO-v1,,"vocab_word_blender v1_6 es-CO,vocab_word_blender v1_6 de-DE,vocab_word_blender v1_6 en-US",v1_6,,,-3.9666,1,,3/31/2026 7:50am,es-CO,vocab_word_blender v1_6 es-CO,vocab_word_blender v1_6 es-CO,1.000,-3.967,vocab_word_blender-es-CO,1 checked out of 1,
