item_uid,transcript,n_resp,p_vlm,rpb_vlm,p_human,pb_human,p_gap_vlm_minus_human
trog_embedding_circle_star_in_red,"the circle the star is in is red",46,0.652,0.902,0.500,0.042,0.152
trog_embedding_boy_dog_chase_big,"the boy the dog chases is big",46,0.130,0.285,0.089,0.147,0.041
trog_postmod_circle_in_star_yellow,"the circle in the star is yellow",46,0.696,0.971,0.672,0.099,0.024
trog_conjcoord_say_sunny_however_rain,"Her mom said it would be sunny. However, it rained heavily.",46,0.043,0.208,0.056,-0.412,-0.012
trog_relclause_square_in_star_that_blue,"the square is in the star that is blue",46,0.457,0.712,0.482,0.203,-0.026
trog_neither_pencil_long_nor_red,"the pencil is neither long nor red",46,0.413,0.656,0.457,0.425,-0.044
trog_revpassive_elephant_pushed_boy,"the elephant is pushed by the boy",46,0.652,0.852,0.719,0.530,-0.067
trog_neither_dog_nor_ball_brown,"neither the dog nor the ball is brown",46,0.587,0.831,0.672,0.027,-0.085
trog_neither_boy_nor_horse_run,"neither the boy nor the horse is running",46,0.696,0.971,0.807,-0.116,-0.111
trog_3combo_woman_carry_bag,"the lady is carrying the bag",46,0.674,0.942,0.786,0.330,-0.112
trog_disjunctive_he_like_however_choose,"He likes swimming. However, he chose to play soccer with his friends.",46,0.435,0.643,0.550,0.508,-0.115
trog_relclause_pencil_on_book_that_yellow,"the pencil is on the book that is yellow",46,0.609,0.842,0.733,0.576,-0.125
trog_prepphrase_he_find_under_couch,"he found his keys under the couch with the pillows",46,0.478,0.681,0.605,-0.067,-0.127
trog_2combo_dog_sit,"the dog is sitting",46,0.696,0.971,0.824,0.556,-0.128
trog_3combo_girl_sit_table,"the girl is sitting on the table",46,0.696,0.971,0.824,0.473,-0.128
trog_verb_eating,"Choose the picture that shows eating.",46,0.696,0.971,0.829,0.641,-0.133
trog_embedding_cat_cow_chase_black,"the cat the cow chases is black",46,0.239,0.372,0.373,0.131,-0.134
trog_verb_sitting,"Choose the picture that shows sitting.",46,0.696,0.971,0.838,0.547,-0.142
trog_pluralmorph_boys_pick_apples,"the boys pick the apples",46,0.652,0.909,0.813,0.175,-0.160
trog_negative_boy_not_run,"the boy is not running",46,0.696,0.971,0.868,0.307,-0.173
trog_inon_cup_in_box,"the cup is in the box",46,0.696,0.971,0.870,0.099,-0.174
trog_verb_picking,"Choose the picture that shows picking.",46,0.696,0.971,0.872,0.508,-0.176
trog_compprepcond_instead_homework_she_do_puzzle,"Instead of doing homework she did a puzzle in her room.",46,0.543,0.734,0.722,0.136,-0.179
trog_3combo_man_eat_apple,"the man is eating the apple",46,0.696,0.971,0.882,0.572,-0.187
trog_negative_girl_not_jump,"the girl is not jumping",46,0.696,0.971,0.886,0.534,-0.190
trog_neither_boy_hat_nor_shoe,"the boy has neither hat nor shoes",46,0.543,0.722,0.742,-0.063,-0.198
trog_notonly_notonly_girl_cat_sit,"not only the girl but also the cat is sitting",46,0.652,0.879,0.855,0.166,-0.202
trog_pluralpronoun_they_sit_table,"they are sitting on the table",46,0.630,0.876,0.833,0.354,-0.203
trog_negative_dog_not_drink,"the dog is not drinking",46,0.674,0.938,0.886,0.622,-0.212
trog_adjective_red,"Choose the picture that shows red.",46,0.696,0.971,0.914,0.635,-0.219
trog_3combo_boy_jump_box,"the boy is jumping over the box",46,0.696,0.971,0.914,0.288,-0.219
trog_verb_running,"Choose the picture that shows running.",46,0.630,0.879,0.853,0.573,-0.223
trog_notonly_box_notonly_big_blue,"the box is not only big but also blue",46,0.674,0.936,0.903,0.050,-0.229
trog_2combo_big_cup,"the big cup",46,0.609,0.843,0.848,0.218,-0.240
trog_adjective_long,"Choose the picture that shows long.",46,0.696,0.971,0.939,0.522,-0.244
trog_pluralmorph_cats_look_ball,"the cats look at the ball",46,0.609,0.793,0.855,0.272,-0.246
trog_adjective_black,"Choose the picture that shows black.",46,0.696,0.971,0.943,0.413,-0.247
