item_uid,flag,reason,n_resp,p_vlm,rpb_vlm,p_human,pb_human,p_pred_child,p_pred_age_6,p_pred_age_8,p_pred_age_10,transcript
vocab_word_claw,BROKEN,"p_vlm 0.00 < chance 0.25",12,0.000,,0.092,0.007,0.250,0.250,0.250,0.250,"the claw"
vocab_word_aesthete,HARD,"bottom of panel (p_vlm 0.50)",12,0.500,0.498,0.398,-0.024,0.319,0.250,0.250,0.409,"the aesthete"
vocab_word_dredging,HARD,"bottom of panel (p_vlm 0.55)",11,0.545,0.809,0.232,0.003,0.315,0.308,0.250,0.250,"dredging"
vocab_word_aversion,HARD,"bottom of panel (p_vlm 0.58)",12,0.583,0.745,0.683,-0.052,0.544,0.667,0.667,0.662,"aversion"
vocab_word_gesticulate,HARD,"bottom of panel (p_vlm 0.58)",12,0.583,0.636,0.564,0.157,0.522,0.379,0.471,0.452,"gesticulate"
vocab_word_facade,HARD,"bottom of panel (p_vlm 0.58)",12,0.583,0.745,0.621,0.068,0.544,0.381,0.466,0.591,"the facade"
vocab_word_habit,HARD,"bottom of panel (p_vlm 0.58)",12,0.583,0.819,0.503,0.117,0.544,0.500,0.547,0.470,"the habit"
vocab_word_arbor,HARD,"bottom of panel (p_vlm 0.58)",12,0.583,0.228,0.715,0.076,0.544,0.727,0.736,0.627,"the arbor"
vocab_word_saffron,HARD,"bottom of panel (p_vlm 0.58)",12,0.583,0.636,0.616,-0.025,0.544,0.714,0.553,0.641,"the saffron"
vocab_word_arcade,HARD,"bottom of panel (p_vlm 0.67)",12,0.667,0.883,0.552,-0.153,0.585,0.433,0.551,0.532,"the arcade"
vocab_word_couturier,HARD,"bottom of panel (p_vlm 0.67)",12,0.667,0.597,0.911,-0.004,0.566,0.840,0.934,0.926,"the couturier"
vocab_word_precarious,HARD,"bottom of panel (p_vlm 0.67)",12,0.667,0.806,0.335,0.306,0.585,0.250,0.367,0.370,"precarious"
vocab_word_resuscitation,HARD,"bottom of panel (p_vlm 0.67)",12,0.667,0.806,0.863,-0.165,0.577,0.789,0.800,0.791,"resuscitation"
vocab_word_skimmer,HARD,"bottom of panel (p_vlm 0.67)",12,0.667,0.883,0.333,-0.311,0.568,0.400,0.250,0.293,"the skimmer"
vocab_word_sedentary,HARD,"bottom of panel (p_vlm 0.67)",12,0.667,0.806,0.799,-0.169,0.585,0.800,0.740,0.771,"sedentary"
vocab_word_vertebra,HARD,"bottom of panel (p_vlm 0.67)",12,0.667,0.883,0.602,-0.489,0.573,0.600,0.545,0.614,"the vertebra"
vocab_word_artifact,HARD,"bottom of panel (p_vlm 0.75)",12,0.750,0.890,0.741,0.296,0.612,0.551,0.630,0.840,"the artifact"
vocab_word_degression,HARD,"bottom of panel (p_vlm 0.75)",12,0.750,0.259,0.490,-0.010,0.577,0.458,0.308,0.518,"degression"
vocab_word_irrigation,HARD,"bottom of panel (p_vlm 0.75)",12,0.750,0.890,0.698,-0.282,0.612,0.688,0.696,0.685,"the irrigation"
vocab_word_coaster,HARD,"bottom of panel (p_vlm 0.83)",12,0.833,0.022,0.780,0.298,0.612,0.616,0.775,0.862,"the coaster"
vocab_word_corset,HARD,"bottom of panel (p_vlm 0.83)",12,0.833,0.811,0.616,-0.126,0.612,0.381,0.575,0.625,"the corset"
vocab_word_tapestry,HARD,"bottom of panel (p_vlm 0.83)",12,0.833,0.811,0.564,0.214,0.612,0.481,0.562,0.621,"the tapestry"
vocab_word_turbine,HARD,"bottom of panel (p_vlm 0.83)",12,0.833,0.272,0.781,-0.057,0.612,0.677,0.705,0.772,"the turbine"
vocab_word_cormorant,HARD,"bottom of panel (p_vlm 0.83)",12,0.833,0.811,0.675,-0.061,0.590,0.587,0.643,0.638,"the cormorant"
vocab_word_concentric,HARD,"bottom of panel (p_vlm 0.83)",12,0.833,0.811,0.728,0.459,0.600,0.667,0.643,0.783,"concentric"
vocab_word_divan,HARD,"bottom of panel (p_vlm 0.83)",12,0.833,0.811,0.113,-0.424,0.593,0.250,0.250,0.250,"the divan"
vocab_word_gourmet,HARD,"bottom of panel (p_vlm 0.83)",12,0.833,0.481,0.619,0.262,0.612,0.410,0.654,0.753,"gourmet"
vocab_word_preserve,HARD,"bottom of panel (p_vlm 0.83)",12,0.833,0.598,0.829,0.305,0.612,0.705,0.741,0.896,"preserve"
vocab_word_metronome,HARD,"bottom of panel (p_vlm 0.83)",12,0.833,0.811,0.511,0.039,0.595,0.250,0.433,0.471,"the metronome"
vocab_word_suede,HARD,"bottom of panel (p_vlm 0.83)",12,0.833,0.811,0.656,,0.612,,,0.857,"the suede"
vocab_word_urban,HARD,"bottom of panel (p_vlm 0.83)",12,0.833,0.811,0.836,0.664,0.612,0.813,0.783,0.825,"urban"
vocab_word_cassette,OK,"",12,0.917,0.272,0.788,0.281,0.612,0.746,0.761,0.831,"the cassette"
vocab_word_footbath,OK,"",12,0.917,0.272,0.977,0.345,0.580,0.978,0.981,1.000,"the footbath"
vocab_word_confectionery,OK,"",12,0.917,0.551,0.760,0.294,0.601,0.733,0.708,0.826,"the confectionery"
vocab_word_paleontologist,OK,"",12,0.917,0.272,0.707,-0.015,0.593,0.681,0.667,0.670,"the paleontologist"
vocab_word_posterior,OK,"",12,0.917,0.520,0.703,0.231,0.612,0.643,0.608,0.732,"the posterior"
vocab_word_rosette,OK,"",12,0.917,0.089,0.457,0.188,0.597,0.333,0.361,0.448,"the rosette"
vocab_word_triad,OK,"",12,0.917,0.520,0.630,-0.054,0.612,0.900,0.500,0.654,"the triad"
vocab_word_acorn,CEILING,"top of panel (p_vlm 1.00)",12,1.000,,0.879,0.324,0.816,0.863,0.893,0.945,"the acorn"
vocab_word_aloe,CEILING,"top of panel (p_vlm 1.00)",12,1.000,,0.717,0.237,0.816,0.410,0.611,0.787,"the aloe"
vocab_word_antenna,CEILING,"top of panel (p_vlm 1.00)",12,1.000,,0.882,0.296,0.816,0.786,0.892,0.881,"the antenna"
