item_uid,d_human,p_ladder,p_weighted,n_models,p_panel_vlm,p_panel_pred,p_top5_mean,p_top5_weighted
vocab_word_acorn,-3.4341148000285844,0.6666666666666666,0.8833844251023382,15,1,0.856,1,1
vocab_word_aloe,1.2672181743981616,0.6666666666666666,0.8755953143559015,15,0.667,0.624,1,1
vocab_word_antenna,-0.2931076196793222,0.6,0.7898463261152727,15,1,0.856,0.8,0.8125031955532507
vocab_word_artichoke,0.11466366126100395,0.8,0.9411400934207462,15,0.583,0.608,1,1
vocab_word_bamboo,-2.3392022216115156,0.8666666666666667,1,15,1,0.856,1,1
vocab_word_barrel,-2.047678485559762,0.6,0.8245245185230843,15,1,0.856,1,1
vocab_word_blender,-2.1178296712070983,0.8666666666666667,1,15,1,0.856,1,1
vocab_word_blower,-3.3677861908327245,0.6666666666666666,0.8318355602276036,15,1,0.856,1,1
vocab_word_bouquet,-1.163404554048343,0.8,0.9926889582954809,15,1,0.856,1,1
vocab_word_buffet,-1.2473126731089244,0.7333333333333333,0.9344552209351553,15,1,0.856,1,1
vocab_word_bulldozer,-0.7506463526861507,0.8666666666666667,1,15,1,0.82,1,1
vocab_word_cake,-2.847316111990687,0.4666666666666667,0.5960834242631685,15,1,0.856,0.8,0.8066672023022592
vocab_word_caramel,-1.374344652250437,0.6666666666666666,0.8833844251023382,15,1,0.856,1,1
vocab_word_carousel,-0.05328534252001248,0.7333333333333333,0.9416181624626637,15,1,0.856,1,1
vocab_word_carrot,-3.553759612336508,0.6666666666666666,0.8518578085110767,15,1,0.856,1,1
vocab_word_cassette,-0.3173684923693116,0.8,0.9417662626396744,15,0.75,0.624,1,1
vocab_word_cheese,0.5949377569872285,0.6666666666666666,0.7817957688877859,15,1,0.856,1,1
vocab_word_cloak,0.7814244485086743,0.6,0.8245245185230843,15,1,0.856,1,1
vocab_word_clothespin,-0.3523694740888317,0.7333333333333333,0.9416181624626637,15,1,0.804,1,1
vocab_word_coaster,1.5976949185984637,0.4,0.5479045891582338,15,1,0.856,0.8,0.8125031955532507
vocab_word_cork,-0.15971688363824033,0.7333333333333333,0.9338290517162271,15,1,0.856,1,1
vocab_word_cornbread,-1.1362521203113953,0.7333333333333333,0.9338290517162271,15,1,0.817,1,1
vocab_word_corset,1.4056136662509264,0.7333333333333333,0.9338290517162271,15,0.417,0.567,1,1
vocab_word_dumpling,-0.6063719902602676,0.6666666666666666,0.8833844251023382,15,1,0.816,1,1
vocab_word_elbow,-1.9900766052748464,0.6666666666666666,0.8755953143559015,15,1,0.856,1,1
vocab_word_fan,-2.788453937758231,0.6666666666666666,0.8380251612202075,15,1,0.856,0.8,0.8066672023022592
vocab_word_foam,-1.6974821529145052,0.6666666666666666,0.8833844251023382,15,1,0.856,1,1
vocab_word_footbath,-2.154696388528399,0.8,0.9926889582954809,15,1,0.8,1,1
vocab_word_fruitcake,-2.3074059770222926,0.6666666666666666,0.8176659162248873,15,0.917,0.636,0.8,0.8016127500748672
vocab_word_gutter,0.7327180306221275,0.6,0.8245245185230843,15,0.833,0.624,1,1
vocab_word_hamster,-2.116274592809199,0.5333333333333333,0.6925134839781163,15,1,0.856,1,1
vocab_word_hedgehog,,0.8666666666666667,1,15,1,0.856,1,1
vocab_word_hoe,-0.6590552830430727,0.4666666666666667,0.6067644957374876,15,0.833,0.624,0.8,0.8125031955532507
vocab_word_hopscotch,-2.559913964760471,0.6666666666666666,0.8355204843444947,15,1,0.811,0.8,0.8016127500748672
vocab_word_kimono,2.0254239783015087,0.6666666666666666,0.8755953143559015,15,0.75,0.613,1,1
vocab_word_latch,-0.7412520068867751,0.6,0.8066699504034771,15,1,0.856,1,1
vocab_word_locker,-3.1362584908538143,0.6666666666666666,0.8545741184356088,15,1,0.856,1,1
vocab_word_lollipop,-3.852973701874141,0.7333333333333333,0.9338290517162271,15,1,0.856,1,1
vocab_word_map,-2.8761985406297215,0.8,0.9417662626396744,15,1,0.856,1,1
vocab_word_marshmallow,-2.120148162450108,0.6666666666666666,0.8755953143559015,15,1,0.856,1,1
vocab_word_net,,0.4666666666666667,0.6269838716355018,15,1,0.856,0.8,0.8066672023022592
vocab_word_oil,,0.7333333333333333,0.9344552209351553,15,1,0.856,1,1
vocab_word_omelet,-1.213836601988358,0.8,0.9926889582954809,15,1,0.815,1,1
vocab_word_pie,-2.076226982693447,0.5333333333333333,0.7108660599074575,15,1,0.856,0.8,0.8066672023022592
vocab_word_pistachio,-0.8216212279562337,0.8,0.9926889582954809,15,0.917,0.643,1,1
vocab_word_pitcher,0.8742499224047375,0.4,0.5425079515546384,15,1,0.856,0.8,0.8016127500748672
vocab_word_potato,,0.6666666666666666,0.8518578085110767,15,1,0.856,1,1
vocab_word_prism,-0.9729547175561494,0.7333333333333333,0.9344552209351553,15,0.75,0.624,1,1
vocab_word_puddle,-1.2355354894888848,0.6666666666666666,0.8649036877638027,15,1,0.856,1,1
vocab_word_pump,-1.4248318437705503,0.8,0.9232855253011389,15,1,0.856,1,1
vocab_word_rice,,0.6666666666666666,0.8755953143559015,15,1,0.856,1,1
vocab_word_saddle,-1.3176784034061622,0.6666666666666666,0.8833844251023382,15,1,0.856,1,1
vocab_word_sandbag,-1.4799380324127502,0.4666666666666667,0.6073007240294357,15,1,0.812,0.6,0.6082799523771264
vocab_word_scaffolding,0.6114876611123489,0.8,0.9411400934207462,15,1,0.856,1,1
vocab_word_scoop,-1.7702564962414924,0.7333333333333333,0.9344552209351553,15,1,0.856,1,1
vocab_word_seagull,-1.111043957074946,0.8,0.9926889582954809,15,1,0.856,1,1
vocab_word_ship,-1.1889573588768845,0.4666666666666667,0.6645540247711959,15,1,0.856,1,1
vocab_word_shower,-3.950138108753935,0.5333333333333333,0.6739688258610107,15,1,0.856,0.6,0.5931165956949507
vocab_word_silverware,-0.9956543925208113,0.6,0.8245245185230843,15,1,0.856,1,1
vocab_word_sink,,0.7333333333333333,0.9344552209351553,15,1,0.856,1,1
vocab_word_ski,-2.072598566777282,0.7333333333333333,0.9338290517162271,15,1,0.856,1,1
vocab_word_sloth,-2.12616124296962,0.6,0.8245245185230843,15,1,0.856,1,1
vocab_word_snail,-2.34099709810407,0.8666666666666667,1,15,1,0.856,1,1
vocab_word_sorbet,0.9880415464020382,0.7333333333333333,0.8968850677994613,15,0.75,0.607,0.8,0.8066672023022592
vocab_word_spatula,-0.5773810145967995,0.8,0.9926889582954809,15,0.917,0.645,1,1
vocab_word_sprinkler,-0.6762969777279612,0.7333333333333333,0.8428315260490137,15,1,0.856,0.8,0.8016127500748672
vocab_word_squash,,0.7333333333333333,0.9159744835966197,15,0.917,0.662,1,1
vocab_word_squirrel,,0.8,0.9926889582954809,15,1,0.856,1,1
vocab_word_stew,0.6342754365919364,0.6666666666666666,0.8340032403914693,15,1,0.856,1,1
vocab_word_rubberband,,0.6666666666666666,0.88275825588341,15,1,0.856,1,1
vocab_word_stump,-0.839108515273112,0.6,0.7875805346063186,15,1,0.856,0.8,0.8066672023022592
vocab_word_sunflower,-3.1572234097026026,0.6666666666666666,0.8518578085110767,15,1,0.856,1,1
vocab_word_swordfish,0.04674083794095393,0.5333333333333333,0.7131318514164118,15,1,0.816,0.8,0.8125031955532507
vocab_word_tapestry,0.7655722368859827,0.6666666666666666,0.8305111305930688,15,0.583,0.624,0.8,0.7915038456200834
vocab_word_teabag,-0.9557452138449877,0.8,0.9070880702318629,15,1,0.808,0.8,0.8125031955532507
vocab_word_telescope,-2.0506710037953773,0.6,0.8245245185230843,15,1,0.856,1,1
vocab_word_thermos,0.09536324629107168,0.6666666666666666,0.8833844251023382,15,1,0.815,1,1
vocab_word_treasure,-1.7942370121664972,0.7333333333333333,0.8906954668068574,15,1,0.856,1,1
vocab_word_trumpet,,0.7333333333333333,0.9416181624626637,15,1,0.856,1,1
vocab_word_tulip,0.06852127396184314,0.8,0.9926889582954809,15,1,0.856,1,1
vocab_word_turbine,0.12803002891004175,0.7333333333333333,0.9416181624626637,15,0.5,0.604,1,1
vocab_word_turkey,-2.4803022847005076,0.7333333333333333,0.9416181624626637,15,1,0.856,1,1
vocab_word_turtle,,0.7333333333333333,0.9344552209351553,15,1,0.856,1,1
vocab_word_typewriter,-1.3525273928058448,0.8,0.9417662626396744,15,0.917,0.662,1,1
vocab_word_watermelon,,0.8,0.9926889582954809,15,1,0.856,1,1
vocab_word_waterwheel,-0.32392009274690664,0.7333333333333333,0.9344552209351553,15,0.917,0.631,1,1
vocab_word_ant,,0.6666666666666666,0.88275825588341,15,1,0.856,1,1
vocab_word_ball,-4.657985417258368,0.6666666666666666,0.88275825588341,15,1,0.856,1,1
vocab_word_bear,,0.7333333333333333,0.8829063560604206,15,1,0.856,1,1
vocab_word_duck,,0.8,0.9411400934207462,15,1,0.856,1,1
vocab_word_fork,,0.6,0.777286746984169,15,1,0.856,0.8,0.8016127500748672
vocab_word_kitten,,0.6666666666666666,0.8755953143559015,15,1,0.856,1,1
vocab_word_knee,,0.8,0.9926889582954809,15,1,0.856,1,1
vocab_word_milkshake,,0.7333333333333333,0.9344552209351553,15,1,0.856,1,1
vocab_word_skin,,0.8,0.9926889582954809,15,1,0.856,1,1
vocab_word_wall,,0.7333333333333333,0.8968850677994613,15,1,0.856,0.8,0.8066672023022592
vocab_word_wheel,,0.6666666666666666,0.8833844251023382,15,1,0.856,1,1
vocab_word_farm,-2.105560762475557,0.7333333333333333,0.9344552209351553,15,1,0.856,1,1
vocab_word_juggling,,0.6,0.8245245185230843,15,1,0.856,1,1
vocab_word_dressing,0.2528690095473793,0.4666666666666667,0.6305020015823125,15,1,0.856,0.8,0.8125031955532507
vocab_word_roof,-2.278316840298543,0.8,0.9926889582954809,15,1,0.856,1,1
vocab_word_peeking,-1.9822983782465604,0.7333333333333333,0.9338290517162271,15,1,0.821,1,1
vocab_word_ruler,-0.45236493895512825,0.4666666666666667,0.6173279609203922,15,1,0.856,0.6,0.6191703978555099
vocab_word_tunnel,,0.8666666666666667,1,15,1,0.856,1,1
vocab_word_envelope,-1.580034571034568,0.6,0.7869543653873903,15,1,0.856,0.8,0.8066672023022592
vocab_word_diamond,-0.789799966842088,0.6666666666666666,0.8649036877638027,15,1,0.856,1,1
vocab_word_calendar,-2.432010225691153,0.6,0.8245245185230843,15,1,0.856,1,1
vocab_word_panda,-3.24191471330808,0.7333333333333333,0.8900692975879292,15,1,0.856,1,1
vocab_word_arrow,0.23135772968740062,0.6,0.765450213641499,15,1,0.856,0.8,0.8125031955532507
vocab_word_picking,-1.5827938861632491,0.6,0.8245245185230843,15,1,0.856,1,1
vocab_word_dripping,-1.3353727779701237,0.5333333333333333,0.7065903070622452,15,1,0.856,0.8,0.8125031955532507
vocab_word_knight,-1.3529384925401315,0.8,0.948929204167183,15,1,0.856,1,1
vocab_word_delivering,-1.333034324874033,0.7333333333333333,0.8413142820959886,15,1,0.856,1,1
vocab_word_dentist,-1.4442962992639445,0.6,0.7844496885116774,15,1,0.856,0.8,0.8016127500748672
vocab_word_claw,3.682731119781772,0.13333333333333333,0.2016264884948908,15,0,0.25,0.4,0.4068834043050493
vocab_word_uniform,1.4055386399619354,0.4666666666666667,0.6067644957374876,15,1,0.856,0.8,0.8125031955532507
vocab_word_furry,-2.0687286658746378,0.4666666666666667,0.5891955628549579,15,1,0.856,0.8,0.7915038456200834
vocab_word_cormorant,0.7296759553188701,0.6666666666666666,0.88275825588341,15,0.5,0.584,1,1
vocab_word_fetch,-0.9061074597192394,0.4666666666666667,0.6414426881452991,15,1,0.856,1,1
vocab_word_arcade,1.8357376382015722,0.3333333333333333,0.4896708517979082,15,0.25,0.552,0.8,0.8125031955532507
vocab_word_artifact,0.5138989939860595,0.4666666666666667,0.6267139766082851,15,0.667,0.624,0.8,0.8125031955532507
vocab_word_aversion,3.4855888596255604,0.4666666666666667,0.6333040213832147,15,0.25,0.552,0.6,0.614115945628118
vocab_word_beret,0.8637793064345698,0.5333333333333333,0.7196259063764223,15,0.667,0.612,1,1
vocab_word_applaud,-0.9857197620658849,0.7333333333333333,0.9416181624626637,15,1,0.856,1,1
vocab_word_timid,2.7208646392483598,0.3333333333333333,0.4896708517979082,15,0.917,0.662,0.8,0.8125031955532507
vocab_word_camp,-2.8028225192975795,0.8,0.9926889582954809,15,1,0.856,1,1
vocab_word_tumble,-0.5514155994945742,0.6,0.7816476687107752,15,1,0.856,1,1
vocab_word_concentric,0.8916348564854366,0.5333333333333333,0.7262159511513518,15,0.417,0.56,0.8,0.8016127500748672
vocab_word_confectionery,2.809550087846581,0.7333333333333333,0.8829063560604206,15,0.5,0.595,1,1
vocab_word_couturier,3.5821684217384737,0.4,0.54625997735616,15,0.25,0.536,0.6,0.614115945628118
vocab_word_degression,1.799525288527531,0.5333333333333333,0.721206597399926,15,0.333,0.536,0.8,0.7915038456200834
vocab_word_divan,,0.6,0.7638430287614938,15,0.417,0.553,0.8,0.8066672023022592
vocab_word_wetland,-1.4479127631175346,0.8,0.9926889582954809,15,0.833,0.624,1,1
vocab_word_baywindow,1.5443761272197205,0.5333333333333333,0.6498705300205178,15,0.667,0.588,0.8,0.8066672023022592
vocab_word_aesthete,2.864038472662093,0.5333333333333333,0.6980318137035508,15,0.25,0.532,0.8,0.8016127500748672
vocab_word_ecstatic,1.3062257528434313,0.4,0.5825827815660454,15,0.833,0.624,1,1
vocab_word_rickety,-0.06434861890742234,0.7333333333333333,0.9344552209351553,15,0.833,0.607,1,1
vocab_word_gourmet,0.3610730894802306,0.6666666666666666,0.8467850076891723,15,0.5,0.604,1,1
vocab_word_gesticulate,3.8603431873323304,0.6666666666666666,0.88275825588341,15,0.083,0.465,1,1
vocab_word_facade,4.901497288151674,0.6666666666666666,0.8833844251023382,15,0.5,0.604,1,1
vocab_word_slope,0.6312703730343014,0.4,0.5114578735273649,15,0.917,0.662,0.6,0.5943802087517986
vocab_word_habit,3.6411812437138122,0.5333333333333333,0.6978201806547315,15,0.5,0.604,0.8,0.8066672023022592
vocab_word_intersection,0.14329660108409992,0.4666666666666667,0.6408165189263709,15,0.75,0.624,1,1
vocab_word_irrigation,3.383400458198536,0.8,0.948929204167183,15,0.583,0.624,1,1
vocab_word_kazoo,1.0846713768035052,0.5333333333333333,0.7234139313504496,15,1,0.811,1,1
vocab_word_chat,-1.2105360676457886,0.4666666666666667,0.619469841008363,15,1,0.856,0.8,0.7915038456200834
vocab_word_colony,2.460009574225893,0.4,0.5434579575552576,15,0.833,0.624,0.8,0.8125031955532507
vocab_word_preserve,0.9363343425040053,0.4666666666666667,0.6658388006190729,15,0.75,0.624,1,1
vocab_word_awning,-0.058995248324029415,0.6,0.7507472213384419,15,0.75,0.608,1,1
vocab_word_mammalogy,3.875851142267589,0.7333333333333333,0.9338290517162271,15,0.25,0.53,1,1
vocab_word_metronome,1.8071349555825809,0.6,0.8245245185230843,15,0.667,0.606,1,1
vocab_word_paleontologist,0.4840574354782046,0.6666666666666666,0.8318355602276036,15,0.583,0.605,1,1
vocab_word_percussion,0.8720275069935974,0.6,0.795714211856355,15,0.75,0.624,1,1
vocab_word_posterior,1.773187092313817,0.7333333333333333,0.9094329392424534,15,0.333,0.567,1,1
vocab_word_precarious,2.3275592913430203,0.4666666666666667,0.6370284939523436,15,0.5,0.604,1,1
vocab_word_arbor,2.636203391882466,0.4666666666666667,0.6251053639787171,15,0.5,0.604,0.8,0.8016127500748672
vocab_word_resuscitation,1.3952881492790952,0.8,0.9926889582954809,15,0.25,0.547,1,1
vocab_word_rosette,1.0918063212603561,0.7333333333333333,0.9344552209351553,15,0.333,0.556,1,1
