item_uid,flag,reason,n_resp,p_vlm,rpb_vlm,p_human,pb_human,p_pred_child,p_pred_age_6,p_pred_age_8,p_pred_age_10,transcript
trog_conjcoord_say_sunny_however_rain,BROKEN,"p_vlm 0.02 < chance 0.25",48,0.021,0.144,0.040,,0.250,0.250,0.250,0.250,"Ihre Mutter sagte, es würde sonnig sein. Aber es regnete stark."
trog_postmod_duck_following_turtle_walking,BROKEN,"p_vlm 0.07 < chance 0.25",45,0.067,-0.055,0.487,0.164,0.487,0.250,0.581,0.515,"Die Ente, die der Schildkröte folgt, geht über die Brücke."
trog_preploc_car_truck_follow_drive,BROKEN,"p_vlm 0.15 < chance 0.25",40,0.150,0.049,0.617,-0.004,0.518,0.474,0.636,0.750,"Das Auto, das dem der Lastwagen gefolgt ist, fährt auf den Tunnel zu."
trog_disjunctive_despite_noise_she_focus,HARD,"bottom of panel (p_vlm 0.25)",48,0.250,-0.193,0.419,0.102,0.518,0.250,0.355,0.351,"Trotz des Lärms im Klassenzimmer konzentrierte sie sich auf das Lesen ihres Heftes."
trog_postmod_boy_chasing_horse_tall,HARD,"bottom of panel (p_vlm 0.30)",44,0.295,0.295,0.850,0.206,0.619,0.848,0.868,0.830,"der Junge, der das Pferd jagt, ist groß"
trog_adjective_tall,HARD,"bottom of panel (p_vlm 0.34)",47,0.340,0.394,0.932,0.435,0.619,0.935,0.972,0.961,"Wähle das Bild aus, das etwas Großes zeigt."
trog_preploc_fish_swim_beneath_whale,HARD,"bottom of panel (p_vlm 0.35)",46,0.348,0.266,0.455,0.266,0.619,0.263,0.462,0.462,"Die Fische schwimmen unter einem Wal und einer Meeresschildkröte."
trog_embedding_cat_cow_chase_black,HARD,"bottom of panel (p_vlm 0.38)",48,0.375,-0.167,0.238,-0.013,0.619,0.250,0.250,0.317,"die Katze, die die Kuh jagt, ist schwarz"
trog_relclause_dog_chase_horse_that_brown,HARD,"bottom of panel (p_vlm 0.40)",48,0.396,0.141,0.792,0.265,0.702,0.638,0.879,0.920,"der Hund jagt das Pferd, das braun ist"
trog_xnoty_horse_not_boy_stand,HARD,"bottom of panel (p_vlm 0.42)",48,0.417,0.659,0.752,-0.046,0.702,0.622,0.755,0.793,"das Pferd, aber nicht der Junge, steht"
