priority,item_uid,flag,p_vlm,p_human,transcript
1,klee,BROKEN,0.000,,""
2,hai,BROKEN,0.000,,""
3,garten,BROKEN,0.000,,""
4,nase,BROKEN,0.000,,""
5,flasche,BROKEN,0.000,,""
6,entdecken,BROKEN,0.111,,""
7,pinsel,BROKEN,0.111,,""
8,kochen,BROKEN,0.111,,""
9,auge,BROKEN,0.111,,""
10,regenbogen,BROKEN,0.125,,""
11,langsam,BROKEN,0.125,,""
12,helfen,BROKEN,0.167,,""
13,krokodil,BROKEN,0.167,,""
14,schl ssel,BROKEN,0.222,,""
15,zwischen,BROKEN,0.250,,""
16,eklig,BROKEN,0.286,,""
17,abenteuerlich,BROKEN,0.286,,""
18,glitzernd,BROKEN,0.333,,""
19,tag,BROKEN,0.333,,""
20,wal,BROKEN,0.333,,""
21,insel,BROKEN,0.333,,""
22,verstecken,BROKEN,0.333,,""
23,geheimnis,BROKEN,0.333,,""
24,gummistiefel,BROKEN,0.333,,""
25,herz,BROKEN,0.375,,""
26,twee,BROKEN,0.375,,""
27,berraschend,BROKEN,0.429,,""
28,dunkel,BROKEN,0.429,,""
29,schatten,BROKEN,0.429,,""
30,ast,BROKEN,0.444,,""
31,schm ssel,CEILING,0.875,,""
32,ebenhamelrich,CEILING,0.875,,""
33,gn schen,CEILING,0.875,,""
34,stretten,CEILING,0.889,,""
35,wilfen,CEILING,0.889,,""
36,wie,CEILING,1.000,,""
37,enttirken,CEILING,1.000,,""
38,etbig,CEILING,1.000,,""
39,taf,CEILING,1.000,,""
