source,block_index,audio_file,item,answer,trial_type,response_alternatives,chance_level,assessment_stage,item_id,d,prompt,orig_item_num,task,corpus_id,task_id,item_uid,randomize,time_limit,difficulty,trial_num,required_selections,image
,,trog-instruct1,,,instructions,,,instructions,trog-instruct1,,"Now we're going to play a matching game! I'm going to say some words, and you touch the picture that goes with what I say. Ready?",0,TROG,TROG-full,trog,,,,,,,
Bishop1983,,trog-item-1,shoe,1-shoe,noun,"1-fork,1-boy,1-tree",0.25,test_response,trog-item-1,,Choose the picture of the...,1,TROG,TROG-full,trog,trog_noun_shoe,,,,,,
Bishop1983,,trog-item-2,bird,2-bird,noun,"2-chair,2-hat,2-woman",0.25,test_response,trog-item-2,,Choose the picture of the...,2,TROG,TROG-full,trog,trog_noun_bird,,,,,,
Bishop1983,,trog-item-3,comb,3-comb,noun,"3-man,3-table,3-wall",0.25,test_response,trog-item-3,,Choose the picture of the...,3,TROG,TROG-full,trog,trog_noun_comb,,,,,,
Bishop1983,,trog-item-4,apple,4-apple,noun,"4-elephant,4-fence,4-grass",0.25,test_response,trog-item-4,,Choose the picture of the...,4,TROG,TROG-full,trog,trog_noun_apple,,,,,,
Bishop1983,,trog-item-5,eating,5-eating,verb,"5-kicking,5-riding,5-dropping",0.25,test_response,trog-item-5,-3.67535434,Choose the picture of...,5,TROG,TROG-full,trog,trog_verb_eating,,,,,,
Bishop1983,,trog-item-6,picking,6-picking,verb,"6-running,6-climbing,6-standing",0.25,test_response,trog-item-6,-2.965303515,Choose the picture of...,6,TROG,TROG-full,trog,trog_verb_picking,,,,,,
Bishop1983,,trog-item-7,sitting,7-sitting,verb,"7-holding,7-jumping,7-pushing",0.25,test_response,trog-item-7,-3.73253589,Choose the picture of...,7,TROG,TROG-full,trog,trog_verb_sitting,,,,,,
Bishop1983,,trog-item-8,running,8-running,verb,"8-dancing,8-drinking,8-reading",0.25,test_response,trog-item-8,-3.499903865,Choose the picture of...,8,TROG,TROG-full,trog,trog_verb_running,,,,,,
Bishop1983,,trog-item-9,long,9-long,adjective,"9-short1,9-short2,9-short3",0.25,test_response,trog-item-9,-4.231416422,Choose the picture that shows...,9,TROG,TROG-full,trog,trog_adjective_long,,,,,,
Bishop1983,,trog-item-10,tall,10-tall,adjective,"10-boy1,10-girl1,10-girl2",0.25,test_response,trog-item-10,-2.735785944,Choose the picture that shows...,10,TROG,TROG-full,trog,trog_adjective_tall,,,,,,
Bishop1983,,trog-item-11,red,11-red,adjective,"11-blue,11-pink,11-yellow",0.25,test_response,trog-item-11,-4.495436067,Choose the picture that shows...,11,TROG,TROG-full,trog,trog_adjective_red,,,,,,
Bishop1983,,trog-item-12,black,12-black-horse,adjective,"12-brown-horse,12-grey-dog,12-yellow-dog",0.25,test_response,trog-item-12,-4.05284745,Choose the picture that shows...,12,TROG,TROG-full,trog,trog_adjective_black,,,,,,
Bishop1983,,trog-item-13,the boy is running,13-boy-running,two element combination,"13-cat-sitting,13-cow-walking,13-person-sitting",0.25,test_response,trog-item-13,-3.625431352,Touch the picture that shows...,13,TROG,TROG-full,trog,trog_2combo_boy_run,,,,,,
Bishop1983,,trog-item-14,the big cup,14-big-cup,two element combination,"14-blue-box,14-pink-cup,14-purple-box",0.25,test_response,trog-item-14,-3.357088947,Touch the picture that shows...,14,TROG,TROG-full,trog,trog_2combo_big_cup,,,,,,
Bishop1983,,trog-item-15,the dog is sitting,15-dog-sitting,two element combination,"15-dog-eating,15-girl-sitting,15-girl-skipping",0.25,test_response,trog-item-15,-3.546466713,Touch the picture that shows...,15,TROG,TROG-full,trog,trog_2combo_dog_sit,,,,,,
Bishop1983,,trog-item-16,the red ball,16-red-ball,two element combination,"16-green-comb,16-purple-ball,16-red-comb",0.25,test_response,trog-item-16,-4.087227849,Touch the picture that shows...,16,TROG,TROG-full,trog,trog_2combo_red_ball,,,,,,
Bishop1983,,trog-item-17,the boy is not running,17-boy-sitting,negative,"17-boy-running,17-cat-napping,17-horse-standing",0.25,test_response,trog-item-17,-2.863393249,Touch the picture that shows...,17,TROG,TROG-full,trog,trog_negative_boy_not_run,,,,,,
Bishop1983,,trog-item-18,the dog is not drinking,18-dog-not-drinking,negative,"18-dog-drinking,18-baby-sitting,18-girl-standing",0.25,test_response,trog-item-18,-3.320136478,Touch the picture that shows...,18,TROG,TROG-full,trog,trog_negative_dog_not_drink,,,,,,
Bishop1983,,trog-item-19,the girl is not jumping,19-girl-not-jumping,negative,"19-cat-sitting,19-girl-jumping,19-horse-standing",0.25,test_response,trog-item-19,-3.190306605,Touch the picture that shows...,19,TROG,TROG-full,trog,trog_negative_girl_not_jump,,,,,,
Bishop1983,,trog-item-20,the dog is not sitting,20-dog-standing,negative,"20-dog-sitting,20-girl-standing,20-man-standing",0.25,test_response,trog-item-20,-3.107114053,Touch the picture that shows...,20,TROG,TROG-full,trog,trog_negative_dog_not_sit,,,,,,
Bishop1983,,trog-item-21,the boy is jumping over the box,21-boy-jump-box,three element combination,"21-boy-hold-box,21-boy-run,21-horse-jump-box",0.25,test_response,trog-item-21,-3.437028361,Touch the picture that shows...,21,TROG,TROG-full,trog,trog_3combo_boy_jump_box,,,,,,
Bishop1983,,trog-item-22,the girl is sitting on the table,22-girl-on-table,three element combination,"22-cat-on-table,22-girl-at-table,22-girl-squatting",0.25,test_response,trog-item-22,-3.312828442,Touch the picture that shows...,22,TROG,TROG-full,trog,trog_3combo_girl_sit_table,,,,,,
Bishop1983,,trog-item-23,the man is eating the apple,23-man-eat-apple,three element combination,"23-girl-kick-apple,23-horse-eat-apple,23-woman-eat-dinner",0.25,test_response,trog-item-23,-3.438150423,Touch the picture that shows...,23,TROG,TROG-full,trog,trog_3combo_man_eat_apple,,,,,,
Bishop1983,,trog-item-24,the lady is carrying the bag,24-woman-carry-bag,three element combination,"24-woman-carry-chair,24-dog-carry-bag,24-woman-drop-bag",0.25,test_response,trog-item-24,-2.892620533,Touch the picture that shows...,24,TROG,TROG-full,trog,trog_3combo_woman_carry_bag,,,,,,
Bishop1983,,trog-item-25,they are sitting on the table,25-2-girls-on-table,singular/plural personal pronoun,"25-2-people-draw-on-table,25-2-people-on-carpet,25-boy-on-table",0.25,test_response,trog-item-25,-3.035292763,Touch the picture that shows...,25,TROG,TROG-full,trog,trog_pluralpronoun_they_sit_table,,,,,,
Bishop1983,,trog-item-26,the cow is looking at them,26-2-girls-face-cow,singular/plural personal pronoun,"26-girl-faces-cow,26-two-boys-ride-cow,26-two-people-look-at-butterfly",0.25,test_response,trog-item-26,-2.511346058,Touch the picture that shows...,26,TROG,TROG-full,trog,trog_pluralpronoun_cow_look_them,,,,,,
Bishop1983,,trog-item-27,they are jumping over the wall,27-people-jump-wall,singular/plural personal pronoun,"27-girl-jump-wall,27-girls-behind-wall,27-boys-jump-grass",0.25,test_response,trog-item-27,-2.837302583,Touch the picture that shows...,27,TROG,TROG-full,trog,trog_pluralpronoun_they_jump_wall,,,,,,
Bishop1983,,trog-item-28,the elephant is carrying them,28-elephant-carries-them,singular/plural personal pronoun,"28-woman-carries-babies,28-boy-rides-elephant,28-run-from-elephant",0.25,test_response,trog-item-28,-2.663359415,Touch the picture that shows...,28,TROG,TROG-full,trog,trog_pluralpronoun_elephant_carry_them,,,,,,
Bishop1983,,trog-item-29,the girl is pushing the horse,29-girl-pushes-horse,reversible active,"29-boy-rides-horse,29-horse-pushes-girl,29-girl-pushes-man",0.25,test_response,trog-item-29,-3.004953223,Touch the picture that shows...,29,TROG,TROG-full,trog,trog_revactive_girl_push_horse,,,,,,
Bishop1983,,trog-item-30,the boy is chasing the sheep,30-boy-chases-sheep,reversible active,"30-sheep-chases-man,30-boy-chases-ball,30-dog-chases-sheep",0.25,test_response,trog-item-30,-2.903149257,Touch the picture that shows...,30,TROG,TROG-full,trog,trog_revactive_boy_chase_sheep,,,,,,
Bishop1983,,trog-item-31,the man is chasing the dog,31-man-chases-dog,reversible active,"31-man-chases-cart,31-girl-pets-dog,31-dog-chases-boy",0.25,test_response,trog-item-31,-2.986863458,Touch the picture that shows...,31,TROG,TROG-full,trog,trog_revactive_man_chase_dog,,,,,,
Bishop1983,,trog-item-32,the cow is pushing the lady,32-cow-pushes-woman,reversible active,"32-girl-pushes-woman,32-girl-feeds-cow,32-girl-pushes-cow",0.25,test_response,trog-item-32,-3.573687106,Touch the picture that shows...,32,TROG,TROG-full,trog,trog_revactive_cow_push_lady,,,,,,
Bishop1983,,trog-item-37,the cats look at the ball,37-cats-look-ball,singular/plural noun inflection,"37-cat-look-ball,37-kids-play-ball,37-cats-look-butterfly",0.25,test_response,trog-item-37,-2.212058,Touch the picture that shows...,37,TROG,TROG-full,trog,trog_pluralmorph_cats_look_ball,,,,,,
Bishop1983,,trog-item-38,the boy stands on the chairs,38-guy-on-chairs,singular/plural noun inflection,"38-guy-on-chair,38-dog-on-chairs,38-guy-lay-on-chairs",0.25,test_response,trog-item-38,-1.372561,Touch the picture that shows...,38,TROG,TROG-full,trog,trog_pluralmorph_boy_stand_chairs,,,,,,
Bishop1983,,trog-item-39,the boys pick the apples,39-boys-pick-apples,singular/plural noun inflection,"39-boy-picks-apples,39-they-pick-flowers,39-they-eat-apples",0.25,test_response,trog-item-39,-1.61847,Touch the picture that shows...,39,TROG,TROG-full,trog,trog_pluralmorph_boys_pick_apples,,,,,,
Bishop1983,,trog-item-40,the girl drops the cups,40-girl-drops-cups,singular/plural noun inflection,"40-girl-hold-cup,40-girl-drops-cup,40-girl-bounces-balls",0.25,test_response,trog-item-40,-1.991912,Touch the picture that shows...,40,TROG,TROG-full,trog,trog_pluralmorph_girl_drop_cups,,,,,,
Bishop1983,,trog-item-41,the fork is longer than the pencil,41-fork-short-pencil,comparative/absolute,"41-fork-long-pencil,41-flower-short-pencil,41-fork-spoon",0.25,test_response,trog-item-41,-2.212058076,Touch the picture that shows...,41,TROG,TROG-full,trog,trog_comparative_fork_longer_pencil,,,,,,
