item_uid,flag,reason,n_resp,p_vlm,rpb_vlm,p_human,pb_human,transcript
klee,BROKEN,"p_vlm 0.00 < chance 0.50",8,0.000,,,,""
hai,BROKEN,"p_vlm 0.00 < chance 0.50",8,0.000,,,,""
garten,BROKEN,"p_vlm 0.00 < chance 0.50",7,0.000,,,,""
nase,BROKEN,"p_vlm 0.00 < chance 0.50",8,0.000,,,,""
flasche,BROKEN,"p_vlm 0.00 < chance 0.50",8,0.000,,,,""
entdecken,BROKEN,"p_vlm 0.11 < chance 0.50",9,0.111,-0.154,,,""
pinsel,BROKEN,"p_vlm 0.11 < chance 0.50",9,0.111,-0.624,,,""
kochen,BROKEN,"p_vlm 0.11 < chance 0.50",9,0.111,-0.056,,,""
auge,BROKEN,"p_vlm 0.11 < chance 0.50",9,0.111,-0.056,,,""
regenbogen,BROKEN,"p_vlm 0.13 < chance 0.50",8,0.125,0.228,,,""
langsam,BROKEN,"p_vlm 0.13 < chance 0.50",8,0.125,0.702,,,""
helfen,BROKEN,"p_vlm 0.17 < chance 0.50",6,0.167,-0.392,,,""
krokodil,BROKEN,"p_vlm 0.17 < chance 0.50",6,0.167,-0.129,,,""
schl ssel,BROKEN,"p_vlm 0.22 < chance 0.50",9,0.222,0.494,,,""
zwischen,BROKEN,"p_vlm 0.25 < chance 0.50",8,0.250,-0.174,,,""
eklig,BROKEN,"p_vlm 0.29 < chance 0.50",7,0.286,-0.406,,,""
abenteuerlich,BROKEN,"p_vlm 0.29 < chance 0.50",7,0.286,-0.699,,,""
glitzernd,BROKEN,"p_vlm 0.33 < chance 0.50",9,0.333,-0.067,,,""
tag,BROKEN,"p_vlm 0.33 < chance 0.50",9,0.333,-0.504,,,""
wal,BROKEN,"p_vlm 0.33 < chance 0.50",9,0.333,0.280,,,""
insel,BROKEN,"p_vlm 0.33 < chance 0.50",9,0.333,-0.197,,,""
verstecken,BROKEN,"p_vlm 0.33 < chance 0.50",9,0.333,-0.620,,,""
geheimnis,BROKEN,"p_vlm 0.33 < chance 0.50",6,0.333,-0.274,,,""
gummistiefel,BROKEN,"p_vlm 0.33 < chance 0.50",9,0.333,0.429,,,""
herz,BROKEN,"p_vlm 0.38 < chance 0.50",8,0.375,0.000,,,""
twee,BROKEN,"p_vlm 0.38 < chance 0.50",8,0.375,0.490,,,""
berraschend,BROKEN,"p_vlm 0.43 < chance 0.50",7,0.429,0.125,,,""
dunkel,BROKEN,"p_vlm 0.43 < chance 0.50",7,0.429,-0.208,,,""
schatten,BROKEN,"p_vlm 0.43 < chance 0.50",7,0.429,0.013,,,""
ast,BROKEN,"p_vlm 0.44 < chance 0.50",9,0.444,0.563,,,""
obwohl,OK,"",6,0.500,0.647,,,""
neugierig,OK,"",6,0.500,0.041,,,""
trampolin,OK,"",9,0.556,-0.160,,,""
fudel,OK,"",7,0.571,0.169,,,""
alt,OK,"",7,0.571,0.011,,,""
ofbohl,OK,"",7,0.571,0.206,,,""
latzbam,OK,"",8,0.625,-0.293,,,""
vertrarken,OK,"",8,0.625,0.417,,,""
pal,OK,"",8,0.625,-0.289,,,""
auler,OK,"",9,0.667,-0.323,,,""
hom,OK,"",9,0.667,0.429,,,""
backen,OK,"",6,0.667,0.269,,,""
aft,OK,"",9,0.667,0.280,,,""
skikonil,OK,"",9,0.667,0.429,,,""
ninkel,OK,"",9,0.667,0.000,,,""
l hlen,OK,"",9,0.667,0.505,,,""
meuzeirig,OK,"",7,0.714,-0.251,,,""
fer,OK,"",7,0.714,0.098,,,""
f hlen,OK,"",7,0.714,-0.392,,,""
vulken,OK,"",7,0.714,0.047,,,""
zwitzelnd,OK,"",7,0.714,-0.722,,,""
geheithas,OK,"",8,0.750,-0.846,,,""
b nken,OK,"",8,0.750,0.645,,,""
troswolin,OK,"",8,0.750,0.583,,,""
febenv gen,OK,"",8,0.750,0.100,,,""
hepp,OK,"",8,0.750,-0.359,,,""
wichen,OK,"",9,0.778,0.552,,,""
a bnistieked,OK,"",9,0.778,-0.092,,,""
plosche,OK,"",9,0.778,0.552,,,""
ogernaschegt,OK,"",6,0.833,-0.900,,,""
rai,OK,"",7,0.857,0.357,,,""
obse,OK,"",7,0.857,-0.075,,,""
schm ssel,CEILING,"top of panel (p_vlm 0.88)",8,0.875,0.013,,,""
ebenhamelrich,CEILING,"top of panel (p_vlm 0.88)",8,0.875,-0.182,,,""
gn schen,CEILING,"top of panel (p_vlm 0.88)",8,0.875,-0.025,,,""
stretten,CEILING,"top of panel (p_vlm 0.89)",9,0.889,-0.022,,,""
wilfen,CEILING,"top of panel (p_vlm 0.89)",9,0.889,0.079,,,""
wie,CEILING,"top of panel (p_vlm 1.00)",9,1.000,,,,""
enttirken,CEILING,"top of panel (p_vlm 1.00)",8,1.000,,,,""
etbig,CEILING,"top of panel (p_vlm 1.00)",7,1.000,,,,""
taf,CEILING,"top of panel (p_vlm 1.00)",7,1.000,,,,""
