corpus_item_id,sheet_row,corpus_id,item_id,task,answer,assessment_stage,block_index,chance_level,image,item,item_uid,prompt,randomize,required_selections,response_alternatives,time_limit,trial_num,trial_type,audio_file,row,downex,difficulty,discrimination,block_threshold,story_group
vocab-es-CO-v1 vocab-instruct-1,vocab-es-CO-v1_1,vocab-es-CO-v1,vocab-instruct-1,vocab,,instructions,0,,,,,,,,,,,instructions,vocab-instruct-1,1,,,,,
vocab-es-CO-v1 vocab-instruct-2,vocab-es-CO-v1_2,vocab-es-CO-v1,vocab-instruct-2,vocab,,instructions,0,,,,,,,,,,,instructions,vocab-instruct-2,2,,,,,
vocab-es-CO-v1 vocab-instruct-3,vocab-es-CO-v1_3,vocab-es-CO-v1,vocab-instruct-3,vocab,,instructions,0,,,,,,,,,,,instructions,vocab-instruct-3,3,,,,,
vocab-es-CO-v1 acorn,vocab-es-CO-v1_4,vocab-es-CO-v1,acorn,vocab,acorn,test_response,1,0.25,,acorn,vocab_word_acorn,,,,"coconut,key,clothesline",,,test,vocab-item-001,4,,-1.7008,1,,
vocab-es-CO-v1 aloe,vocab-es-CO-v1_5,vocab-es-CO-v1,aloe,vocab,aloe,test_response,1,0.25,,aloe,vocab_word_aloe,,,,"bracket,cactus,banner",,,test,vocab-item-002,5,,0.7998,1,,
vocab-es-CO-v1 antenna,vocab-es-CO-v1_6,vocab-es-CO-v1,antenna,vocab,antenna,test_response,1,0.25,,antenna,vocab_word_antenna,,,,"pinecone,stem,backgammon",,,test,vocab-item-003,6,,-1.4912,1,,
vocab-es-CO-v1 artichoke,vocab-es-CO-v1_7,vocab-es-CO-v1,artichoke,vocab,artichoke,test_response,1,0.25,,artichoke,vocab_word_artichoke,,,,"leek,sunroof,cello",,,test,vocab-item-004,7,,-0.1530,1,,
vocab-es-CO-v1 bamboo,vocab-es-CO-v1_8,vocab-es-CO-v1,bamboo,vocab,bamboo,test_response,1,0.25,,bamboo,vocab_word_bamboo,,,,"lumber,yacht,apron",,,test,vocab-item-005,8,,-2.2923,1,,
vocab-es-CO-v1 barrel,vocab-es-CO-v1_9,vocab-es-CO-v1,barrel,vocab,barrel,test_response,1,0.25,,barrel,vocab_word_barrel,,,,"bucket,shelf,anteater",,,test,vocab-item-006,9,,-1.5145,1,,
vocab-es-CO-v1 blender,vocab-es-CO-v1_10,vocab-es-CO-v1,blender,vocab,blender,test_response,1,0.25,,blender,vocab_word_blender,,,,"blind,mailbox,trampoline",,,test,vocab-item-007,10,,-3.9666,1,,
vocab-es-CO-v1 blower,vocab-es-CO-v1_11,vocab-es-CO-v1,blower,vocab,blower,test_response,1,0.25,,blower,vocab_word_blower,,,,"buggy,burner,papaya",,,test,vocab-item-008,11,,-2.8211,1,,
