item_uid,p_en,p_de,delta,strong_delta,flag_en,flag_de,transcript_en,transcript_de
tom_interpretation_emotion_reasoning,1.000,0.444,-0.556,yes,CEILING,HARD,"",""
tom_interpretation_false_belief,1.000,0.500,-0.500,yes,CEILING,HARD,"",""
tom_deception_reality_check_1,1.000,0.500,-0.500,yes,CEILING,HARD,"",""
tom_moral_reasoning_false_belief,1.000,0.722,-0.278,yes,CEILING,OK,"",""
tom_reference_reality_check,1.000,0.722,-0.278,yes,CEILING,OK,"",""
tom_moral_reasoning_reality_check,1.000,0.833,-0.167,,CEILING,OK,"",""
tom_reality_known_false_belief,1.000,0.833,-0.167,,CEILING,OK,"",""
tom_reality_known_reality_check,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_moral_reasoning_emotion_reasoning_1,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_moral_reasoning_false_belief_1,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_moral_reasoning_false_belief_2,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_interpretation_reality_check_1,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_interpretation_reality_check_2,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_deception_emotion_reasoning_1,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_deception_emotion_reasoning_2,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_deception_false_belief_1,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_deception_false_belief_2,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_reference_emotion_reasoning_1,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_reference_emotion_reasoning_2,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_second_order_reality_check,1.000,1.000,0.000,,CEILING,CEILING,"",""
tom_deception_false_belief_3,0.889,0.944,0.055,,OK,OK,"",""
tom_moral_reasoning_emotion_reasoning_2,0.000,0.111,0.111,,BROKEN,BROKEN,"",""
tom_reference_reference,0.000,0.167,0.167,,BROKEN,BROKEN,"",""
tom_deception_reality_check_2,0.000,0.667,0.667,yes,BROKEN,OK,"",""
tom_deception_reality_check_3,0.000,1.000,1.000,yes,BROKEN,CEILING,"",""
