item_uid,p_en,p_nl,delta,strong_delta,flag_en,flag_nl,transcript_en,transcript_nl
vocab_word_puddle,1.000,0.435,-0.565,yes,CEILING,HARD,"the puddle","de plas"
vocab_word_slope,0.917,0.360,-0.557,yes,OK,HARD,"the slope","de helling"
vocab_word_dumpling,1.000,0.520,-0.480,yes,CEILING,HARD,"the dumpling","de knoedel"
vocab_word_chat,1.000,0.692,-0.308,yes,CEILING,HARD,"chat","kletsen"
vocab_word_squash,0.917,0.615,-0.302,yes,OK,HARD,"the squash","de kalebas"
vocab_word_pitcher,1.000,0.708,-0.292,yes,CEILING,HARD,"the pitcher","de kan"
vocab_word_blower,1.000,0.760,-0.240,,CEILING,HARD,"the blower","de blazer"
vocab_word_timid,0.917,0.731,-0.186,,OK,HARD,"timid","timide"
vocab_word_stump,1.000,0.833,-0.167,,CEILING,HARD,"the stump","de stronk"
vocab_word_cornbread,1.000,0.846,-0.154,,CEILING,OK,"the cornbread","het maïsbrood"
vocab_word_fetch,1.000,0.846,-0.154,,CEILING,OK,"fetch","apporteren"
vocab_word_dressing,1.000,0.885,-0.115,,CEILING,OK,"the dressing","de dressing"
vocab_word_preserve,0.750,0.640,-0.110,,OK,HARD,"preserve","inmaken"
vocab_word_shower,1.000,0.913,-0.087,,CEILING,OK,"the shower","de douche"
vocab_word_gutter,0.833,0.750,-0.083,,OK,HARD,"the gutter","de goot"
vocab_word_barrel,1.000,0.920,-0.080,,CEILING,OK,"the barrel","het vat"
vocab_word_latch,1.000,0.923,-0.077,,CEILING,OK,"the latch","de grendel"
vocab_word_net,1.000,0.923,-0.077,,CEILING,OK,"the net","het net"
vocab_word_ship,1.000,0.923,-0.077,,CEILING,OK,"the ship","het schip"
vocab_word_buffet,1.000,0.962,-0.038,,CEILING,OK,"the buffet","het buffet"
vocab_word_bulldozer,1.000,0.962,-0.038,,CEILING,OK,"the bulldozer","de bulldozer"
vocab_word_cloak,1.000,0.962,-0.038,,CEILING,OK,"the cloak","de mantel"
vocab_word_foam,1.000,0.962,-0.038,,CEILING,OK,"the foam","het schuim"
vocab_word_locker,1.000,0.962,-0.038,,CEILING,OK,"the locker","het kluisje"
vocab_word_seagull,1.000,0.962,-0.038,,CEILING,OK,"the seagull","de meeuw"
vocab_word_silverware,1.000,0.962,-0.038,,CEILING,OK,"the silverware","het zilverwerk"
vocab_word_sink,1.000,0.962,-0.038,,CEILING,OK,"the sink","de gootsteen"
vocab_word_treasure,1.000,0.962,-0.038,,CEILING,OK,"the treasure","de schat"
vocab_word_ant,1.000,0.962,-0.038,,CEILING,OK,"the ant","de mier"
vocab_word_knight,1.000,0.962,-0.038,,CEILING,OK,"the knight","de ridder"
vocab_word_uniform,1.000,0.962,-0.038,,CEILING,OK,"the uniform","het uniform"
vocab_word_kazoo,1.000,0.962,-0.038,,CEILING,OK,"the kazoo","de kazoo"
vocab_word_urban,0.917,0.880,-0.037,,OK,OK,"urban","stedelijk"
vocab_word_typewriter,0.917,0.885,-0.032,,OK,OK,"the typewriter","de typemachine"
vocab_word_rickety,0.833,0.826,-0.007,,OK,HARD,"rickety","gammel"
vocab_word_precarious,0.500,0.500,0.000,,HARD,HARD,"precarious","hachelijk"
vocab_word_acorn,1.000,1.000,0.000,,CEILING,CEILING,"the acorn","de eikel"
vocab_word_antenna,1.000,1.000,0.000,,CEILING,CEILING,"the antenna","de antenne"
vocab_word_bamboo,1.000,1.000,0.000,,CEILING,CEILING,"the bamboo","de bamboe"
vocab_word_blender,1.000,1.000,0.000,,CEILING,CEILING,"the blender","de blender"
