item_uid,flag,reason,n_resp,p_vlm,rpb_vlm,p_human,pb_human,p_pred_child,p_pred_age_6,p_pred_age_8,p_pred_age_10,transcript
tom_deception_emotion_reasoning_1,,paper_ladder_top5_weighted,5,1.000,,0.912,,0.903,,,,
tom_deception_emotion_reasoning_2,,paper_ladder_top5_weighted,5,0.960,,0.817,,0.836,,,,
tom_deception_false_belief_1,,paper_ladder_top5_weighted,5,0.840,,0.785,,0.806,,,,
tom_deception_false_belief_2,,paper_ladder_top5_weighted,5,0.960,,0.646,,0.836,,,,
tom_deception_false_belief_3,,paper_ladder_top5_weighted,5,0.680,,0.483,,0.730,,,,
tom_deception_reality_check_1,,paper_ladder_top5_weighted,5,0.880,,0.873,,0.816,,,,
tom_deception_reality_check_2,,paper_ladder_top5_weighted,5,0.360,,0.470,,0.500,,,,
tom_deception_reality_check_3,,paper_ladder_top5_weighted,5,0.320,,0.371,,0.500,,,,
tom_interpretation_emotion_reasoning,,paper_ladder_top5_weighted,5,0.840,,0.774,,0.806,,,,
tom_interpretation_false_belief,,paper_ladder_top5_weighted,5,0.600,,0.832,,0.730,,,,
tom_interpretation_reality_check_1,,paper_ladder_top5_weighted,5,0.880,,0.879,,0.816,,,,
tom_interpretation_reality_check_2,,paper_ladder_top5_weighted,5,0.640,,0.968,,0.730,,,,
tom_moral_reasoning_emotion_reasoning_1,,paper_ladder_top5_weighted,5,0.880,,0.859,,0.816,,,,
tom_moral_reasoning_emotion_reasoning_2,,paper_ladder_top5_weighted,5,0.280,,0.418,,0.394,,,,
tom_moral_reasoning_false_belief,,paper_ladder_top5_weighted,5,0.880,,,,0.816,,,,
tom_moral_reasoning_false_belief_1,,paper_ladder_top5_weighted,5,0.760,,0.761,,0.745,,,,
tom_moral_reasoning_false_belief_2,,paper_ladder_top5_weighted,5,0.960,,0.712,,0.836,,,,
tom_moral_reasoning_reality_check,,paper_ladder_top5_weighted,5,0.000,,,,0.250,,,,
tom_moral_reasoning_reality_check_2,,paper_ladder_top5_weighted,5,0.840,,0.870,,0.806,,,,
tom_reality_known_false_belief,,paper_ladder_top5_weighted,5,0.760,,0.675,,0.745,,,,
tom_reality_known_reality_check,,paper_ladder_top5_weighted,5,0.960,,0.926,,0.836,,,,
tom_reference_emotion_reasoning_1,,paper_ladder_top5_weighted,5,1.000,,0.893,,0.903,,,,
tom_reference_emotion_reasoning_2,,paper_ladder_top5_weighted,5,1.000,,0.877,,0.903,,,,
tom_reference_reality_check,,paper_ladder_top5_weighted,5,0.960,,0.834,,0.836,,,,
tom_reference_reference,,paper_ladder_top5_weighted,5,0.000,,0.222,,0.330,,,,
tom_second_order_false_belief_1,,paper_ladder_top5_weighted,5,0.800,,0.847,,0.802,,,,
tom_second_order_false_belief_1_,,paper_ladder_top5_weighted,5,0.840,,,,0.806,,,,
tom_second_order_false_belief_2,,paper_ladder_top5_weighted,5,0.560,,0.638,,0.638,,,,
tom_second_order_false_belief_2_,,paper_ladder_top5_weighted,5,0.320,,,,0.394,,,,
tom_second_order_false_belief_3,,paper_ladder_top5_weighted,5,0.680,,0.692,,0.730,,,,
tom_second_order_reality_check,,paper_ladder_top5_weighted,5,0.880,,0.871,,0.816,,,,
