item_uid,flag,reason,n_resp,p_vlm,rpb_vlm,p_human,pb_human,p_pred_child,p_pred_age_6,p_pred_age_8,p_pred_age_10,transcript
tom_moral_reasoning_emotion_reasoning_2,BROKEN,"p_vlm 0.11 < chance 0.25",18,0.111,0.347,0.418,0.201,0.320,0.315,0.529,0.500,""
tom_reference_reference,BROKEN,"p_vlm 0.17 < chance 0.33",18,0.167,-0.405,0.222,-0.126,0.330,0.330,0.330,0.330,""
tom_interpretation_emotion_reasoning,HARD,"bottom of panel (p_vlm 0.44)",18,0.444,0.122,0.774,0.092,0.662,0.642,0.767,0.872,""
tom_interpretation_false_belief,HARD,"bottom of panel (p_vlm 0.50)",18,0.500,0.539,0.832,0.063,0.662,0.756,0.900,0.924,""
tom_deception_reality_check_1,HARD,"bottom of panel (p_vlm 0.50)",18,0.500,-0.288,0.873,0.141,0.662,0.754,0.920,0.946,""
tom_moral_reasoning_reality_check,OK,"",18,0.667,0.210,,,0.662,0.550,0.650,0.690,""
tom_deception_reality_check_2,OK,"",18,0.667,-0.527,0.470,-0.086,0.662,0.500,0.514,0.500,""
tom_moral_reasoning_false_belief,OK,"",18,0.722,0.432,,,0.662,0.550,0.650,0.690,""
tom_reference_reality_check,OK,"",18,0.722,0.335,0.834,0.212,0.662,0.827,0.888,0.848,""
tom_reality_known_false_belief,OK,"",18,0.833,0.176,0.675,0.389,0.662,0.503,0.789,0.820,""
tom_moral_reasoning_reality_check,OK,"",18,0.833,0.078,,,0.662,0.550,0.650,0.690,""
tom_deception_false_belief_3,OK,"",18,0.944,0.500,0.483,0.294,0.662,0.500,0.551,0.500,""
tom_reality_known_reality_check,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.926,0.099,0.827,0.862,0.938,1.000,""
tom_moral_reasoning_emotion_reasoning_1,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.859,0.040,0.827,0.766,0.912,0.900,""
tom_moral_reasoning_false_belief_1,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.761,0.393,0.827,0.590,0.857,0.881,""
tom_moral_reasoning_false_belief_2,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.712,0.369,0.827,0.630,0.727,0.796,""
tom_interpretation_reality_check_1,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.879,-0.054,0.827,0.837,0.899,0.925,""
tom_interpretation_reality_check_2,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.968,-0.023,0.827,0.969,0.967,1.000,""
tom_deception_emotion_reasoning_1,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.912,0.092,0.827,0.899,0.936,0.950,""
tom_deception_emotion_reasoning_2,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.817,0.185,0.827,0.700,0.839,0.971,""
tom_deception_false_belief_1,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.785,0.147,0.827,0.697,0.840,0.833,""
tom_deception_false_belief_2,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.646,0.337,0.827,0.548,0.724,0.701,""
tom_deception_reality_check_3,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.371,-0.109,0.827,0.500,0.500,0.500,""
tom_reference_emotion_reasoning_1,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.893,-0.072,0.827,0.881,0.907,0.955,""
tom_reference_emotion_reasoning_2,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.877,0.143,0.827,0.844,0.919,0.926,""
tom_second_order_reality_check,CEILING,"top of panel (p_vlm 1.00)",18,1.000,,0.871,0.133,0.827,0.826,0.912,0.929,""
