priority,item_uid,flag,p_vlm,p_human,p_pred_child,transcript
1,tom_moral_reasoning_emotion_reasoning_2,BROKEN,0.000,0.418,0.370,""
2,tom_deception_reality_check_2,BROKEN,0.000,0.470,0.500,""
3,tom_reference_reference,BROKEN,0.222,0.222,0.370,""
4,tom_second_order_false_belief_1,BROKEN,0.278,0.847,0.609,""
5,tom_reality_known_reality_check,CEILING,1.000,0.926,0.839,""
6,tom_moral_reasoning_false_belief,CEILING,1.000,,0.839,""
7,tom_moral_reasoning_emotion_reasoning_1,CEILING,1.000,0.859,0.839,""
8,tom_deception_emotion_reasoning_1,CEILING,1.000,0.912,0.839,""
9,tom_deception_emotion_reasoning_2,CEILING,1.000,0.817,0.839,""
10,tom_deception_false_belief_1,CEILING,1.000,0.785,0.839,""
11,tom_deception_false_belief_2,CEILING,1.000,0.646,0.839,""
12,tom_deception_false_belief_3,CEILING,1.000,0.483,0.839,""
13,tom_reference_emotion_reasoning_1,CEILING,1.000,0.893,0.839,""
14,tom_second_order_reality_check,CEILING,1.000,0.871,0.839,""
15,tom_second_order_false_belief_1,CEILING,1.000,0.847,0.839,""
