priority,item_uid,flag,p_vlm,p_human,transcript
1,pierna,BROKEN,0.000,,""
2,oso,BROKEN,0.000,,""
3,t,BROKEN,0.000,,""
4,jugar,BROKEN,0.143,,""
5,rat n,BROKEN,0.167,,""
6,tigre,BROKEN,0.200,,""
7,libro,BROKEN,0.200,,""
8,interesante,BROKEN,0.200,,""
9,azul,BROKEN,0.200,,""
10,joyas,BROKEN,0.200,,""
11,duro,BROKEN,0.200,,""
12,amarillo,BROKEN,0.333,,""
13,mochila,BROKEN,0.400,,""
14,m sica,BROKEN,0.400,,""
15,juguico,BROKEN,0.400,,""
16,barco,CEILING,1.000,,""
17,fren,CEILING,1.000,,""
18,cuamerno,CEILING,1.000,,""
19,jusar,CEILING,1.000,,""
