priority,item_uid,flag,p_vlm,p_human,p_pred_child,transcript
1,matrix_set1_md_mat54,BROKEN,0.000,0.215,0.250,""
2,matrix_set1_md_mat70,BROKEN,0.167,0.438,0.250,""
3,matrix_set1_md_mat12,BROKEN,0.167,0.132,0.250,""
4,matrix_set1_md_mat49,BROKEN,0.167,0.447,0.250,""
5,matrix_set1_md_mat16,BROKEN,0.167,0.421,0.250,""
6,matrix_set1_md_mat18,BROKEN,0.167,0.321,0.250,""
7,matrix_set1_md_mat23,BROKEN,0.167,0.348,0.250,""
8,matrix_set1_md_mat24,BROKEN,0.167,0.217,0.250,""
9,matrix_set1_md_mat58,BROKEN,0.167,0.328,0.250,""
10,matrix_set1_md_mat59,BROKEN,0.167,0.123,0.250,""
11,matrix_set1_md_mat60,BROKEN,0.167,0.226,0.250,""
12,matrix_set1_md_mat11,HARD,0.333,0.200,0.287,""
13,matrix_set1_md_mat13,HARD,0.333,0.244,0.287,""
14,matrix_set1_md_mat14,HARD,0.333,0.231,0.287,""
15,matrix_set1_md_mat69,HARD,0.333,0.385,0.287,""
16,matrix_set1_md_mat19,HARD,0.333,0.447,0.287,""
17,matrix_set1_md_mat20,HARD,0.333,0.590,0.287,""
18,matrix_set1_md_mat77,HARD,0.333,0.461,0.287,""
19,matrix_set1_md_mat65,HARD,0.333,0.404,0.287,""
20,matrix_set1_md_mat25,HARD,0.333,0.419,0.287,""
21,matrix_set1_md_mat26,HARD,0.333,0.206,0.287,""
22,matrix_set1_md_mat28,HARD,0.333,0.325,0.287,""
23,matrix_set1_md_mat32,HARD,0.333,0.298,0.287,""
24,matrix_set1_md_mat74,HARD,0.333,0.181,0.287,""
25,matrix_set1_md_mat33,HARD,0.333,0.353,0.287,""
26,matrix_set1_md_mat37,HARD,0.333,0.227,0.287,""
27,matrix_set1_md_mat40,HARD,0.333,0.242,0.287,""
28,matrix_set1_md_mat79,HARD,0.333,0.243,0.287,""
29,matrix_set1_md_mat47,HARD,0.333,0.253,0.287,""
30,matrix_set1_md_mat64,HARD,0.333,0.269,0.287,""
31,,CEILING,1.000,,0.660,"Choose the best piece to complete the puzzle."
32,matrix_set1_md_mat4,CEILING,1.000,0.723,0.660,"Choose the best piece to complete the puzzle."
33,matrix_set1_md_mat2,CEILING,1.000,0.783,0.660,"Choose the best piece to complete the puzzle."
34,matrix_set1_md_mat5,CEILING,1.000,0.836,0.660,"Choose the best piece to complete the puzzle."
35,matrix_set1_md_mat7,CEILING,1.000,0.700,0.660,""
36,matrix_set1_md_mat8,CEILING,1.000,0.421,0.660,""
37,matrix_set1_md_mat71,CEILING,1.000,0.455,0.660,""
38,matrix_set1_md_mat38,CEILING,1.000,0.409,0.660,""
39,matrix_set1_md_mat68,CEILING,1.000,0.878,0.660,""
