item_uid,flag,reason,n_resp,p_vlm,rpb_vlm,p_human,pb_human,p_pred_child,p_pred_age_6,p_pred_age_8,p_pred_age_10,transcript
trog_conjcoord_say_sunny_however_rain,BROKEN,"KNOWN: Known broken EN item (human p≈0.04); not an actionable VLM-panel finding | p_vlm 0.08 < chance 0.25",86,0.081,-0.062,0.040,-0.412,0.250,0.250,0.250,0.250,"Her mom said it would be sunny. However, it rained heavily."
trog_preploc_car_truck_follow_drive,BROKEN,"KNOWN: VLM systematically drops the relative-clause truck (picks car-only tunnel); prompt v4–v4.2 failed to fix without trading duck. Triage-suppressed until a non-prompt lever; still on screen_*.csv | p_vlm 0.17 < chance 0.25",86,0.174,-0.002,0.617,0.395,0.418,0.474,0.636,0.750,"The car that the truck followed is driving toward the tunnel."
trog_disjunctive_despite_noise_she_focus,BROKEN,"p_vlm 0.22 < chance 0.25",86,0.221,0.279,0.419,0.048,0.418,0.250,0.355,0.351,"Despite the noise in the classroom, she focused on reading her notebook."
trog_postmod_duck_following_turtle_walking,BROKEN,"p_vlm 0.23 < chance 0.25",87,0.230,-0.025,0.487,0.723,0.418,0.250,0.581,0.515,"The duck following the turtle is walking across the bridge."
trog_embedding_boy_dog_chase_big,HARD,"bottom of panel (p_vlm 0.36)",80,0.362,0.289,0.198,0.147,0.418,0.250,0.250,0.250,"the boy the dog chases is big"
trog_embedding_cat_cow_chase_black,HARD,"bottom of panel (p_vlm 0.39)",87,0.391,0.376,0.371,0.131,0.418,0.250,0.264,0.451,"the cat the cow chases is black"
trog_preploc_fish_swim_beneath_whale,HARD,"bottom of panel (p_vlm 0.40)",86,0.395,0.602,0.459,0.043,0.459,0.263,0.462,0.462,"The fish swim beneath a whale and a sea turtle."
trog_xnoty_horse_not_boy_stand,HARD,"bottom of panel (p_vlm 0.45)",88,0.455,0.589,0.738,-0.086,0.738,0.590,0.698,0.782,"the horse but not the boy is standing"
trog_revpassive_girl_chased_horse,HARD,"bottom of panel (p_vlm 0.48)",87,0.483,0.174,0.906,0.135,0.795,0.846,0.915,0.953,"the girl is chased by the horse"
trog_relclause_girl_chase_dog_that_big,HARD,"bottom of panel (p_vlm 0.48)",87,0.483,0.449,0.914,0.231,0.795,0.870,0.901,0.934,"the girl chases the dog that is big"
trog_revpassrelclause_girl_wearing_backpack_shown_flower,HARD,"bottom of panel (p_vlm 0.51)",82,0.512,0.188,0.640,0.559,0.795,0.538,0.733,0.600,"The girl wearing a backpack was shown a flower by her friend."
trog_relclause_dog_chase_horse_that_brown,HARD,"bottom of panel (p_vlm 0.52)",87,0.517,0.492,0.742,0.349,0.795,0.586,0.813,0.889,"the dog chases the horse that is brown"
trog_additive_hose_drink_sheep_eat,HARD,"bottom of panel (p_vlm 0.55)",87,0.552,0.357,0.935,0.152,0.795,0.872,0.914,0.970,"the horse drank water by the barn and the sheep ate grass by the fence"
trog_adjective_tall,HARD,"bottom of panel (p_vlm 0.56)",88,0.557,0.569,0.921,0.270,0.795,0.897,0.968,0.974,"Choose the picture that shows tall."
trog_embedding_book_pencil_on_red,HARD,"bottom of panel (p_vlm 0.57)",87,0.575,0.169,0.558,0.298,0.795,0.554,0.605,0.649,"the book the pencil is on is red"
trog_revactive_man_chase_dog,OK,"",88,0.580,-0.017,0.931,,0.803,0.916,0.943,0.938,"the man is chasing the dog"
trog_revpassive_horse_chased_man,OK,"",88,0.580,0.553,0.744,0.419,0.803,0.643,0.802,0.826,"the horse is chased by the man"
