corpus_item_id,sheet_row,corpus_link,corpus_id,corpus_file_name,task_link,task_id,task_dir,item_id,task,answer,assessment_stage,audio_file (old),audio_file link,block_index,chance_level,d,difficulty_old,image,item,item_link,item_uid,orig_item_num,prompt,randomize,required_selections,response_alternatives,source,time_limit,trial_num,trial_type,audio_file,row,item_uid sheet,a,g,u,trial_attributes,notes,form_construct,num_cards,num_dimensions,Last Modified,item_uid_check,item_key,group,entry,item_uid_temp,task_id_temp,corpus_id_temp,item_task (from item_link),tom_scenario,task_item_link,corpus_short_name,downex,registry_parameters (from item_link),corpus_registry_version,inferred_parameters,difficulty_inferred,difficulty,discrimination,block_threshold,last_modified,corpus_language,registry_parameter_helper,registry_parameter,discrimination_registry,difficulty_registry,item_uid_language,corpus_active,story_group
mrot-v2 Rn-000,mental-rotation-v2_1,mental-rotation-v2,mental-rotation-v2,mental-rotation-item-bank,mental-rotation,mental-rotation,levante-shape-rotation-dev,Rn-000,Mental Rotation,Rn-000-silh,practice_response,mental-rotation-prompt2,mental-rotation-prompt2,1,0.50,,,,Rn-000,,,2,Choose the picture that matches this one.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,5000,,2D,mental-rotation-prompt2,1,,,,,,,,,,6/25/2026 10:10am,1,"2D Rn-000 Rn-000-silh Rp-000-silh,Rn-000-silh",,,,,,,,Rn-000,mrot-v2,,,v1_6,,,,,,6/25/2026 10:10am,,,,,,,1 checked out of 1,
mrot-v2 Rp-000,mental-rotation-v2_2,mental-rotation-v2,mental-rotation-v2,mental-rotation-item-bank,mental-rotation,mental-rotation,levante-shape-rotation-dev,Rp-000,Mental Rotation,Rp-000-silh,practice_response,mental-rotation-prompt1,mental-rotation-prompt1,1,0.50,,,,Rp-000,,,3,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,5000,,2D,mental-rotation-prompt1,2,,,,,,,,,,6/25/2026 10:11am,1,"2D Rp-000 Rp-000-silh Rp-000-silh,Rn-000-silh",,,,,mental-rotation-v2,,,Rp-000,mrot-v2,,,v1_6,,,,,,6/25/2026 10:11am,,,,,,,1 checked out of 1,
mrot-v2 Rp-010,mental-rotation-v2_3,mental-rotation-v2,mental-rotation-v2,mental-rotation-item-bank,mental-rotation,mental-rotation,levante-shape-rotation-dev,Rp-010,Mental Rotation,Rp-000-silh,practice_response,mental-rotation-prompt1,mental-rotation-prompt1,1,0.50,,,,Rp-010,,,,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,5000,,2D,mental-rotation-prompt1,3,,,,,,,,,,6/25/2026 10:11am,1,"2D Rp-010 Rp-000-silh Rp-000-silh,Rn-000-silh",,,,,,,,Rp-010,mrot-v2,,,v1_6,,,,,,6/25/2026 10:11am,,,,,,,1 checked out of 1,
mrot-v2 Rn-010,mental-rotation-v2_4,mental-rotation-v2,mental-rotation-v2,mental-rotation-item-bank,mental-rotation,mental-rotation,levante-shape-rotation-dev,Rn-010,Mental Rotation,Rn-000-silh,practice_response,mental-rotation-prompt1,mental-rotation-prompt1,1,0.50,,,,Rn-010,,,,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,5000,,2D,mental-rotation-prompt1,4,,,,,,,,,,6/25/2026 10:11am,1,"2D Rn-010 Rn-000-silh Rp-000-silh,Rn-000-silh",,,,,,,,Rn-010,mrot-v2,,,v1_6,,,,,,6/25/2026 10:11am,,,,,,,1 checked out of 1,
mrot-v2 Rp-020,mental-rotation-v2_5,mental-rotation-v2,mental-rotation-v2,mental-rotation-item-bank,mental-rotation,mental-rotation,levante-shape-rotation-dev,Rp-020,Mental Rotation,Rp-000-silh,test_response,mental-rotation-prompt1,mental-rotation-prompt1,1,0.50,,-3.01442370,,Rp-020,mrot_2d_rabbit_020,mrot_2d_rabbit_020,4,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,5000,,2D,mental-rotation-prompt1,5,,,,,,,,,,6/25/2026 10:11am,0,"2D Rp-020 Rp-000-silh Rp-000-silh,Rn-000-silh",2d,rabbit_020,,,,mrot,,Rp-020,mrot-v2,,mrot_2d_rabbit_020 v1_6 ,v1_6,,,-4.7700,1,,6/25/2026 10:11am,,mrot_2d_rabbit_020 v1_6 ,mrot_2d_rabbit_020 v1_6 ,1.000,-4.770,mrot_2d_rabbit_020,1 checked out of 1,
mrot-v2 Rn-040,mental-rotation-v2_6,mental-rotation-v2,mental-rotation-v2,mental-rotation-item-bank,mental-rotation,mental-rotation,levante-shape-rotation-dev,Rn-040,Mental Rotation,Rn-000-silh,test_response,mental-rotation-prompt1,mental-rotation-prompt1,1,0.50,,-3.36928950,,Rn-040,mrot_2d_rabbit_040,mrot_2d_rabbit_040,6,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,5000,,2D,mental-rotation-prompt1,6,,,,,,,,,,6/25/2026 10:11am,0,"2D Rn-040 Rn-000-silh Rp-000-silh,Rn-000-silh",2d,rabbit_040,,,,mrot,,Rn-040,mrot-v2,,mrot_2d_rabbit_040 v1_6 ,v1_6,,,-4.3119,1,,6/25/2026 10:11am,,mrot_2d_rabbit_040 v1_6 ,mrot_2d_rabbit_040 v1_6 ,1.000,-4.312,mrot_2d_rabbit_040,1 checked out of 1,
mrot-v2 Rp-040,mental-rotation-v2_7,mental-rotation-v2,mental-rotation-v2,mental-rotation-item-bank,mental-rotation,mental-rotation,levante-shape-rotation-dev,Rp-040,Mental Rotation,Rp-000-silh,test_response,mental-rotation-prompt1,mental-rotation-prompt1,1,0.50,,-3.77299380,,Rp-040,mrot_2d_rabbit_040,mrot_2d_rabbit_040,7,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,5000,,2D,mental-rotation-prompt1,7,,,,,,,,,,6/25/2026 10:11am,0,"2D Rp-040 Rp-000-silh Rp-000-silh,Rn-000-silh",2d,rabbit_040,,,,mrot,,Rp-040,mrot-v2,,mrot_2d_rabbit_040 v1_6 ,v1_6,,,-4.3119,1,,6/25/2026 10:11am,,mrot_2d_rabbit_040 v1_6 ,mrot_2d_rabbit_040 v1_6 ,1.000,-4.312,mrot_2d_rabbit_040,1 checked out of 1,
mrot-v2 Rn-020,mental-rotation-v2_8,mental-rotation-v2,mental-rotation-v2,mental-rotation-item-bank,mental-rotation,mental-rotation,levante-shape-rotation-dev,Rn-020,Mental Rotation,Rn-000-silh,test_response,mental-rotation-prompt1,mental-rotation-prompt1,1,0.50,,-3.18193780,,Rn-020,mrot_2d_rabbit_020,mrot_2d_rabbit_020,5,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,5000,,2D,mental-rotation-prompt1,8,,,,,,,,,,6/25/2026 10:11am,0,"2D Rn-020 Rn-000-silh Rp-000-silh,Rn-000-silh",2d,rabbit_020,,,,mrot,,Rn-020,mrot-v2,,mrot_2d_rabbit_020 v1_6 ,v1_6,,,-4.7700,1,,6/25/2026 10:11am,,mrot_2d_rabbit_020 v1_6 ,mrot_2d_rabbit_020 v1_6 ,1.000,-4.770,mrot_2d_rabbit_020,1 checked out of 1,
mrot-v2 Rp-080,mental-rotation-v2_9,mental-rotation-v2,mental-rotation-v2,mental-rotation-item-bank,mental-rotation,mental-rotation,levante-shape-rotation-dev,Rp-080,Mental Rotation,Rp-000-silh,test_response,mental-rotation-prompt1,mental-rotation-prompt1,1,0.50,,-1.92877760,,Rp-080,mrot_2d_rabbit_080,mrot_2d_rabbit_080,8,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,5000,,2D,mental-rotation-prompt1,9,,,,,,,,,,6/25/2026 10:11am,0,"2D Rp-080 Rp-000-silh Rp-000-silh,Rn-000-silh",2d,rabbit_080,,,,mrot,,Rp-080,mrot-v2,,mrot_2d_rabbit_080 v1_6 ,v1_6,,,-3.2564,1,,6/25/2026 10:11am,,mrot_2d_rabbit_080 v1_6 ,mrot_2d_rabbit_080 v1_6 ,1.000,-3.256,mrot_2d_rabbit_080,1 checked out of 1,
mrot-v2 Rp-120,mental-rotation-v2_10,mental-rotation-v2,mental-rotation-v2,mental-rotation-item-bank,mental-rotation,mental-rotation,levante-shape-rotation-dev,Rp-120,Mental Rotation,Rp-000-silh,test_response,mental-rotation-prompt1,mental-rotation-prompt1,1,0.50,,1.02125816,,Rp-120,mrot_2d_rabbit_120,mrot_2d_rabbit_120,10,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,5000,,2D,mental-rotation-prompt1,10,,,,,,,,,,6/25/2026 10:11am,0,"2D Rp-120 Rp-000-silh Rp-000-silh,Rn-000-silh",2d,rabbit_120,,,,mrot,,Rp-120,mrot-v2,,mrot_2d_rabbit_120 v1_6 ,v1_6,,,-2.0060,1,,6/25/2026 10:11am,,mrot_2d_rabbit_120 v1_6 ,mrot_2d_rabbit_120 v1_6 ,1.000,-2.006,mrot_2d_rabbit_120,1 checked out of 1,
