item_uid,d_human_bank,d_est_vlm,p_human,flag,has_human_irt
trog_causal_she_trip_rock_drop_book,-1.9626,-2.9147,0.8780,OK,1
trog_compprepcond_instead_homework_she_do_puzzle,-1.1167,-1.2836,0.6180,OK,1
trog_conditional_teacher_give_if_stand_line,-1.9071,-1.9441,0.8670,OK,1
trog_conjcoord_kid_clean_but_forget,,-1.9441,0.8310,OK,0
trog_conjcoord_monkey_eat_nor_swing,-2.0280,-1.3995,0.8670,OK,1
trog_conjcoord_say_sunny_however_rain,,8.7411,0.0400,BROKEN,0
trog_disjunctive_although_hot_i_wear,-1.8077,-2.6090,0.8450,OK,1
trog_disjunctive_despite_noise_she_focus,-0.4588,0.0704,0.4190,BROKEN,1
trog_disjunctive_he_wear_despite_size,-1.3722,-2.4657,0.7190,OK,1
trog_noun_apple,,-3.5639,0.9750,CEILING,0
trog_noun_bird,,-3.5639,0.9530,CEILING,0
trog_noun_comb,,-3.5639,0.9300,CEILING,0
trog_noun_shoe,,-3.5639,0.9470,CEILING,0
trog_postmod_duck_following_turtle_walking,-0.7078,-0.6382,0.4870,BROKEN,1
trog_preploc_car_truck_follow_drive,-1.2294,0.2073,0.6170,BROKEN,1
trog_preploc_fish_swim_beneath_whale,-0.6964,0.9212,0.4590,HARD,1
trog_preploc_plane_gray_above_cloud,-1.8853,-1.4411,0.8210,OK,1
trog_relclause_person_chase_dog_that_big,-2.2019,-2.2730,0.8920,OK,1
trog_revpassrelclause_girl_wearing_backpack_shown_flower,-1.3216,-1.8242,0.6400,HARD,1
