item_uid,flag,reason,n_resp,p_vlm,rpb_vlm,p_human,pb_human,transcript
pierna,BROKEN,"p_vlm 0.00 < chance 0.50",5,0.000,,,,""
oso,BROKEN,"p_vlm 0.00 < chance 0.50",5,0.000,,,,""
t,BROKEN,"p_vlm 0.00 < chance 0.50",5,0.000,,,,""
jugar,BROKEN,"p_vlm 0.14 < chance 0.50",7,0.143,-0.099,,,""
rat n,BROKEN,"p_vlm 0.17 < chance 0.50",6,0.167,0.434,,,""
tigre,BROKEN,"p_vlm 0.20 < chance 0.50",5,0.200,-0.232,,,""
libro,BROKEN,"p_vlm 0.20 < chance 0.50",5,0.200,0.062,,,""
interesante,BROKEN,"p_vlm 0.20 < chance 0.50",5,0.200,-0.354,,,""
azul,BROKEN,"p_vlm 0.20 < chance 0.50",5,0.200,0.395,,,""
joyas,BROKEN,"p_vlm 0.20 < chance 0.50",5,0.200,0.062,,,""
duro,BROKEN,"p_vlm 0.20 < chance 0.50",5,0.200,0.516,,,""
amarillo,BROKEN,"p_vlm 0.33 < chance 0.50",6,0.333,-0.500,,,""
mochila,BROKEN,"p_vlm 0.40 < chance 0.50",5,0.400,-0.480,,,""
m sica,BROKEN,"p_vlm 0.40 < chance 0.50",5,0.400,0.140,,,""
juguico,BROKEN,"p_vlm 0.40 < chance 0.50",5,0.400,-0.843,,,""
sobre,OK,"",8,0.500,0.077,,,""
pentarse,OK,"",5,0.600,0.044,,,""
verduras,OK,"",5,0.600,-0.505,,,""
crutas,OK,"",5,0.600,-0.050,,,""
disero,OK,"",5,0.600,0.480,,,""
sofne,OK,"",8,0.625,-0.383,,,""
envecada,OK,"",6,0.667,0.133,,,""
mocic a,OK,"",6,0.667,0.660,,,""
hin,OK,"",8,0.750,0.435,,,""
hormana,OK,"",5,0.800,-0.232,,,""
rbol,OK,"",6,0.833,-0.742,,,""
barco,CEILING,"top of panel (p_vlm 1.00)",8,1.000,,,,""
fren,CEILING,"top of panel (p_vlm 1.00)",5,1.000,,,,""
cuamerno,CEILING,"top of panel (p_vlm 1.00)",5,1.000,,,,""
jusar,CEILING,"top of panel (p_vlm 1.00)",5,1.000,,,,""
