item_uid,d_human_bank,d_est_vlm,p_human,flag,has_human_irt
vocab__aesthete,1.7331,1.3557,0.3980,HARD,1
vocab__ant,,-2.0973,0.9830,CEILING,0
vocab__applaud,-1.9033,-2.1273,0.9500,CEILING,1
vocab__bamboo,-3.1818,-2.2415,0.9360,CEILING,1
vocab__blender,-2.9727,-2.1093,0.9600,CEILING,1
vocab__buffet,-2.1504,-2.1754,0.7970,CEILING,1
vocab__cake,-3.6618,-2.7701,0.9700,CEILING,1
vocab__colony,1.3515,-0.7148,0.5000,HARD,1
vocab__confectionery,1.6816,-0.3625,0.7600,OK,1
vocab__divan,,0.0447,0.1130,HARD,0
vocab__duck,,-2.0973,0.0000,CEILING,0
vocab__farm,-2.9611,-2.9022,0.8520,CEILING,1
vocab__footbath,-3.0075,-0.5890,0.9770,CEILING,1
vocab__fork,,-2.0973,0.0000,CEILING,0
vocab__hedgehog,,-2.0012,0.9850,CEILING,0
vocab__juggling,,-1.9892,0.9590,CEILING,0
vocab__kitten,,-2.0973,0.0000,CEILING,0
vocab__knee,,-2.0973,0.0000,CEILING,0
vocab__knight,-2.2502,-2.6199,0.8810,CEILING,1
vocab__marshmallow,-2.9749,-1.9411,0.9730,CEILING,1
vocab__milkshake,,-2.0973,0.0000,CEILING,0
vocab__net,,-2.9082,0.9590,CEILING,0
vocab__oil,,-3.1124,0.9640,CEILING,0
vocab__pie,-2.9334,-2.5658,0.8960,CEILING,1
vocab__potato,,-2.5178,0.9700,CEILING,0
vocab__rice,,-2.7821,0.9820,CEILING,0
vocab__rubberband,,-2.5418,0.9400,CEILING,0
vocab__ruler,-1.3995,-2.3556,0.9290,CEILING,1
vocab__ship,-2.0953,-3.0103,0.7900,CEILING,1
vocab__sink,,-2.5779,0.8940,CEILING,0
vocab__skin,,-2.0973,0.0000,CEILING,0
vocab__squash,,0.0191,0.0830,HARD,0
vocab__squirrel,,-2.2655,0.9810,CEILING,0
vocab__suede,,-0.2956,0.6560,OK,0
vocab__teabag,-1.8750,-1.1943,0.8630,CEILING,1
vocab__trumpet,,-2.1994,0.9770,CEILING,0
vocab__tunnel,,-2.5959,0.9390,CEILING,0
vocab__turnstile,2.3032,-0.3183,0.5560,OK,1
vocab__turtle,,-2.3976,0.9770,CEILING,0
vocab__typewriter,-2.2498,-0.3016,0.8110,OK,1
vocab__wall,,-2.0973,0.0000,CEILING,0
vocab__watermelon,,-2.0613,0.9830,CEILING,0
vocab__waterwheel,-1.2782,0.0152,0.8230,OK,1
vocab__wheel,,-2.0973,0.0000,CEILING,0
