item_uid,n_trials,n_correct,d_icc,fit_reason,d_icc_reliable,d_icc_linked,d_est,flag,skip_for_prior
trog_causal_she_trip_rock_drop_book,86,83,-4.0872,ok,1,-2.0339,-2.903639,OK,0
trog_compprepcond_instead_homework_she_do_puzzle,84,76,-2.8775,ok,1,-1.8931,-1.284375,OK,0
trog_conditional_teacher_give_if_stand_line,81,49,-0.3611,ok,1,-1.6002,-2.111280,OK,0
trog_conjcoord_kid_clean_but_forget,86,54,-0.7356,ok,1,-1.6438,-2.111280,OK,0
trog_conjcoord_monkey_eat_nor_swing,85,64,-1.5436,ok,1,-1.7379,-1.467743,OK,0
trog_conjcoord_say_sunny_however_rain,85,7,8.0000,boundary,0,-0.6269,6.892139,BROKEN,1
trog_disjunctive_although_hot_i_wear,85,62,-1.3527,ok,1,-1.7156,-2.608959,OK,0
trog_disjunctive_despite_noise_she_focus,85,16,8.0000,boundary,0,-0.6269,-0.506131,BROKEN,1
trog_disjunctive_he_wear_despite_size,86,58,-1.0487,ok,1,-1.6802,-2.608959,OK,0
trog_noun_apple,87,87,-8.0000,all_correct,0,-2.4894,-3.458885,CEILING,0
trog_noun_bird,87,87,-8.0000,all_correct,0,-2.4894,-3.458885,CEILING,0
trog_noun_comb,87,87,-8.0000,all_correct,0,-2.4894,-3.458885,CEILING,0
trog_noun_shoe,87,87,-8.0000,all_correct,0,-2.4894,-3.458885,CEILING,0
trog_postmod_duck_following_turtle_walking,86,21,2.4141,ok,1,-1.2771,-0.759542,BROKEN,1
trog_preploc_car_truck_follow_drive,85,17,8.0000,boundary,0,-0.6269,0.067363,BROKEN,1
trog_preploc_fish_swim_beneath_whale,85,33,0.8265,ok,1,-1.4620,0.879513,HARD,0
trog_preploc_plane_gray_above_cloud,86,62,-1.3567,ok,1,-1.7161,-1.223314,OK,0
trog_relclause_person_chase_dog_that_big,86,69,-1.8952,ok,1,-1.7788,-2.096525,OK,0
trog_revpassrelclause_girl_wearing_backpack_shown_flower,81,41,-0.0084,ok,1,-1.5591,-2.097247,HARD,0
