item_uid,bank_uid,p_vlm,p_pred_child,p_human,d_bank,d_bench,d_est,d_est_cv,d_est_p_only_cv,chance,anchor,tags,zipf,flag,transcript
trog_conjcoord_say_sunny_however_rain,trog_conjcoord_say_sunny_however_rain,0.0810,0.2500,0.0400,,,8.741136,,,0.2500,false,disjunctive,,BROKEN,"Her mom said it would be sunny. However, it rained heavily."
trog_preploc_car_truck_follow_drive,trog_preploc_car_truck_follow_drive,0.1740,0.4180,0.6170,,0.815940,0.207253,,,0.2500,false,relative_clause+reverse_agent+spatial,,BROKEN,The car that the truck followed is driving toward the tunnel.
trog_disjunctive_despite_noise_she_focus,trog_disjunctive_despite_noise_she_focus,0.2210,0.4180,0.4190,,-1.096691,0.070421,,,0.2500,false,disjunctive,,BROKEN,"Despite the noise in the classroom, she focused on reading her notebook."
trog_postmod_duck_following_turtle_walking,trog_postmod_duck_following_turtle_walking,0.2300,0.4180,0.4870,,-0.478788,-0.638179,,,0.2500,false,relative_clause+reverse_agent,,BROKEN,The duck following the turtle is walking across the bridge.
trog_embedding_boy_dog_chase_big,trog_embedding_boy_dog_chase_big,0.3620,0.4180,0.1980,-1.325587,-2.542442,-0.638179,-0.439700,0.305325,0.2500,true,relative_clause+reverse_agent+adjective,,HARD,the boy the dog chases is big
trog_embedding_cat_cow_chase_black,trog_embedding_cat_cow_chase_black,0.3910,0.4180,0.3710,-1.059207,-5.742784,-0.638179,-0.380205,0.637538,0.2500,true,relative_clause+reverse_agent,,HARD,the cat the cow chases is black
trog_preploc_fish_swim_beneath_whale,trog_preploc_fish_swim_beneath_whale,0.3950,0.4590,0.4590,,-0.506892,0.921158,,,0.2500,false,relative_clause+spatial,,HARD,The fish swim beneath a whale and a sea turtle.
trog_xnoty_horse_not_boy_stand,trog_xnoty_horse_not_boy_stand,0.4550,0.7380,0.7380,-0.227662,1.466058,-0.749137,-0.543467,-1.282770,0.2500,true,negation,,HARD,the horse but not the boy is standing
trog_revpassive_girl_chased_horse,trog_revpassive_girl_chased_horse,0.4830,0.7950,0.9060,-2.369474,2.880845,-2.724170,-2.576708,-1.703525,0.2500,true,reverse_agent+passive,,HARD,the girl is chased by the horse
trog_relclause_girl_chase_dog_that_big,trog_relclause_girl_chase_dog_that_big,0.4830,0.7950,0.9140,-2.414530,3.241984,-2.855210,-3.080735,-1.501528,0.2500,true,reverse_agent+adjective,,HARD,the girl chases the dog that is big
