item_uid,flag,reason,n_resp,p_vlm,rpb_vlm,p_human,pb_human,p_pred_child,p_pred_age_6,p_pred_age_8,p_pred_age_10,transcript
vocab_word_claw,BROKEN,"KNOWN: Totally bad item (human p≈0.09, panel always BROKEN); ignore in triage / skip d_est prior fill | p_vlm 0.00 < chance 0.25",12,0.000,,0.092,0.007,0.250,0.250,0.250,0.250,"the claw"
vocab_word_gesticulate,BROKEN,"p_vlm 0.08 < chance 0.25",12,0.083,0.045,0.564,0.157,0.465,0.379,0.471,0.452,"gesticulate"
vocab_word_arcade,HARD,"bottom of panel (p_vlm 0.25)",12,0.250,0.367,0.552,-0.153,0.552,0.433,0.551,0.532,"the arcade"
vocab_word_aversion,HARD,"bottom of panel (p_vlm 0.25)",12,0.250,0.050,0.683,-0.052,0.552,0.667,0.667,0.662,"aversion"
vocab_word_couturier,HARD,"bottom of panel (p_vlm 0.25)",12,0.250,-0.484,0.911,-0.004,0.536,0.840,0.934,0.926,"the couturier"
vocab_word_aesthete,HARD,"bottom of panel (p_vlm 0.25)",12,0.250,-0.021,0.398,-0.024,0.532,0.250,0.250,0.409,"the aesthete"
vocab_word_mammalogy,HARD,"bottom of panel (p_vlm 0.25)",12,0.250,0.543,0.668,-0.306,0.530,0.474,0.528,0.672,"mammalogy"
vocab_word_resuscitation,HARD,"bottom of panel (p_vlm 0.25)",12,0.250,0.280,0.863,-0.165,0.547,0.789,0.800,0.791,"resuscitation"
vocab_word_triad,HARD,"bottom of panel (p_vlm 0.25)",12,0.250,0.064,0.630,-0.054,0.552,0.900,0.500,0.654,"the triad"
vocab_word_degression,HARD,"bottom of panel (p_vlm 0.33)",12,0.333,0.079,0.490,-0.010,0.536,0.458,0.308,0.518,"degression"
vocab_word_posterior,HARD,"bottom of panel (p_vlm 0.33)",12,0.333,0.317,0.703,0.231,0.567,0.643,0.608,0.732,"the posterior"
vocab_word_rosette,HARD,"bottom of panel (p_vlm 0.33)",12,0.333,0.291,0.457,0.188,0.556,0.333,0.361,0.448,"the rosette"
vocab_word_corset,HARD,"bottom of panel (p_vlm 0.42)",12,0.417,0.441,0.616,-0.126,0.567,0.381,0.575,0.625,"the corset"
vocab_word_concentric,HARD,"bottom of panel (p_vlm 0.42)",12,0.417,0.312,0.728,0.459,0.560,0.667,0.643,0.783,"concentric"
vocab_word_divan,HARD,"bottom of panel (p_vlm 0.42)",12,0.417,0.531,0.113,-0.424,0.553,0.250,0.250,0.250,"the divan"
vocab_word_turbine,HARD,"bottom of panel (p_vlm 0.50)",12,0.500,0.741,0.781,-0.057,0.604,0.677,0.705,0.772,"the turbine"
vocab_word_cormorant,HARD,"bottom of panel (p_vlm 0.50)",12,0.500,0.369,0.675,-0.061,0.584,0.587,0.643,0.638,"the cormorant"
vocab_word_confectionery,HARD,"bottom of panel (p_vlm 0.50)",12,0.500,0.243,0.760,0.294,0.595,0.733,0.708,0.826,"the confectionery"
vocab_word_gourmet,HARD,"bottom of panel (p_vlm 0.50)",12,0.500,0.807,0.619,0.262,0.604,0.410,0.654,0.753,"gourmet"
vocab_word_facade,HARD,"bottom of panel (p_vlm 0.50)",12,0.500,0.471,0.621,0.068,0.604,0.381,0.466,0.591,"the facade"
vocab_word_habit,HARD,"bottom of panel (p_vlm 0.50)",12,0.500,0.432,0.503,0.117,0.604,0.500,0.547,0.470,"the habit"
vocab_word_precarious,HARD,"bottom of panel (p_vlm 0.50)",12,0.500,0.331,0.335,0.306,0.604,0.250,0.367,0.370,"precarious"
vocab_word_arbor,HARD,"bottom of panel (p_vlm 0.50)",12,0.500,0.394,0.715,0.076,0.604,0.727,0.736,0.627,"the arbor"
vocab_word_dredging,HARD,"bottom of panel (p_vlm 0.50)",12,0.500,0.019,0.232,0.003,0.604,0.308,0.250,0.250,"dredging"
vocab_word_artichoke,HARD,"bottom of panel (p_vlm 0.58)",12,0.583,0.858,0.729,0.126,0.608,0.647,0.733,0.762,"the artichoke"
vocab_word_tapestry,HARD,"bottom of panel (p_vlm 0.58)",12,0.583,0.620,0.564,0.214,0.624,0.481,0.562,0.621,"the tapestry"
vocab_word_irrigation,HARD,"bottom of panel (p_vlm 0.58)",12,0.583,0.832,0.698,-0.282,0.624,0.688,0.696,0.685,"the irrigation"
vocab_word_paleontologist,HARD,"bottom of panel (p_vlm 0.58)",12,0.583,0.858,0.707,-0.015,0.605,0.681,0.667,0.670,"the paleontologist"
vocab_word_suede,HARD,"bottom of panel (p_vlm 0.58)",12,0.583,0.529,0.656,,0.624,,,0.857,"the suede"
vocab_word_turnstile,HARD,"bottom of panel (p_vlm 0.58)",12,0.583,0.832,0.556,0.621,0.603,,,0.857,"the turnstile"
vocab_word_vertebra,HARD,"bottom of panel (p_vlm 0.58)",12,0.583,0.581,0.602,-0.489,0.609,0.600,0.545,0.614,"the vertebra"
vocab_word_aloe,OK,"",12,0.667,0.914,0.717,0.237,0.624,0.410,0.611,0.787,"the aloe"
vocab_word_artifact,OK,"",12,0.667,0.914,0.741,0.296,0.624,0.551,0.630,0.840,"the artifact"
vocab_word_beret,OK,"",12,0.667,0.914,0.623,-0.009,0.612,0.437,0.544,0.616,"the beret"
vocab_word_baywindow,OK,"",12,0.667,0.914,0.644,-0.092,0.588,0.360,0.556,0.577,"the baywindow"
vocab_word_metronome,OK,"",12,0.667,0.624,0.511,0.039,0.606,0.250,0.433,0.471,"the metronome"
vocab_word_saffron,OK,"",12,0.667,0.380,0.616,-0.025,0.624,0.714,0.553,0.641,"the saffron"
vocab_word_skimmer,OK,"",12,0.667,0.233,0.333,-0.311,0.603,0.400,0.250,0.293,"the skimmer"
vocab_word_sedentary,OK,"",12,0.667,-0.057,0.799,-0.169,0.624,0.800,0.740,0.771,"sedentary"
vocab_word_cassette,OK,"",12,0.750,0.669,0.788,0.281,0.624,0.746,0.761,0.831,"the cassette"
vocab_word_kimono,OK,"",12,0.750,0.729,0.571,0.293,0.613,0.313,0.523,0.650,"the kimono"
vocab_word_prism,OK,"",12,0.750,0.773,0.692,0.091,0.624,0.509,0.682,0.810,"the prism"
vocab_word_sorbet,OK,"",12,0.750,0.506,0.537,-0.026,0.607,0.357,0.474,0.580,"the sorbet"
vocab_word_intersection,OK,"",12,0.750,0.729,0.635,0.132,0.624,0.720,0.576,0.690,"the intersection"
vocab_word_preserve,OK,"",12,0.750,0.773,0.829,0.305,0.624,0.705,0.741,0.896,"preserve"
vocab_word_awning,OK,"",12,0.750,0.669,0.723,-0.178,0.608,0.662,0.791,0.747,"the awning"
vocab_word_percussion,OK,"",12,0.750,0.669,0.532,0.446,0.624,0.357,0.415,0.567,"the percussion"
vocab_word_gutter,OK,"",12,0.833,0.648,0.630,0.057,0.624,0.626,0.627,0.667,"the gutter"
vocab_word_hoe,OK,"",12,0.833,0.648,0.709,0.276,0.624,0.720,0.661,0.626,"the hoe"
vocab_word_wetland,OK,"",12,0.833,0.648,0.674,0.217,0.624,0.548,0.631,0.745,"the wetland"
vocab_word_ecstatic,OK,"",12,0.833,0.208,0.175,0.024,0.624,0.250,0.250,0.250,"ecstatic"
vocab_word_rickety,OK,"",12,0.833,0.648,0.681,0.406,0.607,0.562,0.640,0.732,"rickety"
