corpus_item_id,sheet_row,corpus_id,item_id,task,answer,assessment_stage,block_index,chance_level,image,item,item_uid,prompt,randomize,required_selections,response_alternatives,time_limit,trial_num,trial_type,audio_file,row,downex,difficulty,discrimination,block_threshold
tom-v2 ToM-intro,theory-of-mind-v2_1,theory-of-mind-v2,ToM-intro,theory-of-mind,,instructions,1,,,,,"This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories.",no,,,,,instructions,ToM-intro,1,,,,
tom-v2 ToM-scene1-instruct1,theory-of-mind-v2_2,theory-of-mind-v2,ToM-scene1-instruct1,theory-of-mind,,instructions,1,,,1a,,"Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it.",no,,,,,instructions,ToM-scene1-instruct1,2,,,,
tom-v2 ToM-scene1-instruct2,theory-of-mind-v2_3,theory-of-mind-v2,ToM-scene1-instruct2,theory-of-mind,,instructions,1,,,1b,,"But when Madison was outside playing, someone did find it! And hid it under the rug.",no,,,,,instructions,ToM-scene1-instruct2,3,,,,
tom-v2 ToM-scene1-instruct3,theory-of-mind-v2_4,theory-of-mind-v2,ToM-scene1-instruct3,theory-of-mind,,instructions,1,,,1c,,So now it’s reading time and Madison wants her book.,no,,,,,instructions,ToM-scene1-instruct3,4,,,,
tom-v2 ToM-scene1-q1-false_belief,theory-of-mind-v2_5,theory-of-mind-v2,ToM-scene1-q1-false_belief,theory-of-mind,chair,test_response,1,0.50,,1c,tom_reality_known_false_belief,Where will Madison look for her book first?,at_block_level,,rug,,,false_belief_question,ToM-scene1-q1-false_belief,5,,-0.636004,,
tom-v2 ToM-scene1-q2-reality_check,theory-of-mind-v2_6,theory-of-mind-v2,ToM-scene1-q2-reality_check,theory-of-mind,rug,test_response,1,0.50,,1c,tom_reality_known_reality_check,And where is her book really?,at_block_level,,chair,,,reality_check_question,ToM-scene1-q2-reality_check,6,,-0.636004,,
tom-v2 ToM-transition,theory-of-mind-v2_7,theory-of-mind-v2,ToM-transition,theory-of-mind,,instructions,2,,,,,Nice work! Here is a new story.,no,,,,,instructions,ToM-transition,7,,,,
tom-v2 ToM-scene2-instruct1,theory-of-mind-v2_8,theory-of-mind-v2,ToM-scene2-instruct1,theory-of-mind,,instructions,2,,,2a,,"This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue!",no,,,,,instructions,ToM-scene2-instruct1,8,,,,
tom-v2 ToM-scene2-instruct2,theory-of-mind-v2_9,theory-of-mind-v2,ToM-scene2-instruct2,theory-of-mind,,instructions,2,,,2b,,"And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see?",no,,,,,instructions,ToM-scene2-instruct2,9,,,,
tom-v2 ToM-scene2-instruct3,theory-of-mind-v2_10,theory-of-mind-v2,ToM-scene2-instruct3,theory-of-mind,,instructions,2,,,2c,,"Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.",no,,,,,instructions,ToM-scene2-instruct3,10,,,,
