item_uid,d_human,p_ladder,p_weighted,p_weak,p_strong,n_models,n_trials,p_panel_vlm,p_panel_pred
tom_deception_emotion_reasoning_1,-2.2354090048770883,0.4117647058823529,0.6539792387543253,0,0.7777777777777778,17,17,1,0.82
tom_deception_emotion_reasoning_2,-0.896974220063036,0.5882352941176471,0.7058823529411765,0.5,0.6666666666666666,17,17,1,0.82
tom_deception_false_belief_1,-0.4456939193628223,0.17647058823529413,0.3217993079584775,0,0.3333333333333333,17,17,1,0.82
tom_deception_false_belief_2,0.2568492725948204,0.35294117647058826,0.5121107266435986,0.125,0.5555555555555556,17,17,1,0.82
tom_deception_false_belief_3,3.8847469143203566,0.35294117647058826,0.46366782006920415,0.25,0.4444444444444444,17,17,0.889,0.654
tom_deception_reality_check_1,-1.228922278827101,0.5294117647058824,0.6955017301038062,0.25,0.7777777777777778,17,17,1,0.82
tom_deception_reality_check_2,5.497741575725308,0.5882352941176471,0.6505190311418686,0.5,0.6666666666666666,17,17,0,0.5
tom_deception_reality_check_3,5.876896674738143,0.23529411764705882,0.31833910034602075,0.125,0.3333333333333333,17,17,0,0.5
tom_interpretation_emotion_reasoning,-0.21824698703149306,0.5294117647058824,0.5916955017301038,0.5,0.5555555555555556,17,17,1,0.82
tom_interpretation_false_belief,-0.4377343782884675,0.35294117647058826,0.45674740484429066,0.125,0.5555555555555556,17,17,1,0.82
tom_interpretation_reality_check_1,-1.719598337083548,0.35294117647058826,0.532871972318339,0.125,0.5555555555555556,17,17,1,0.82
tom_interpretation_reality_check_2,-2.379655219404892,0.17647058823529413,0.301038062283737,0,0.3333333333333333,17,17,1,0.82
tom_moral_reasoning_emotion_reasoning_1,-1.1273233582730913,0.4117647058823529,0.5640138408304499,0.25,0.5555555555555556,17,17,1,0.82
tom_moral_reasoning_emotion_reasoning_2,1.3865791953829478,0.17647058823529413,0.19031141868512108,0.125,0.2222222222222222,17,17,0,0.37
tom_moral_reasoning_false_belief_1,-0.5947771586234097,0.17647058823529413,0.314878892733564,0,0.3333333333333333,17,17,1,0.82
tom_moral_reasoning_false_belief_2,0.19505378917735733,0.29411764705882354,0.4878892733564013,0,0.5555555555555556,17,17,1,0.82
tom_moral_reasoning_reality_check_2,-2.5486109788541715,0.4117647058823529,0.5432525951557093,0.25,0.5555555555555556,17,17,,
tom_reality_known_false_belief,1.006961444963867,0.5294117647058824,0.6193771626297578,0.5,0.5555555555555556,17,17,1,0.82
tom_reality_known_reality_check,-1.6567194349512162,0.29411764705882354,0.4948096885813149,0,0.5555555555555556,17,17,1,0.82
tom_reference_emotion_reasoning_1,-2.784701756239031,0.47058823529411764,0.71280276816609,0,0.8888888888888888,17,17,1,0.82
tom_reference_emotion_reasoning_2,-1.7764998732187238,0.5882352941176471,0.7681660899653979,0.375,0.7777777777777778,17,17,1,0.82
tom_reference_reality_check,-1.4912457182549232,0.29411764705882354,0.4325259515570934,0.125,0.4444444444444444,17,17,1,0.82
tom_reference_reference,5.729784216868272,0.058823529411764705,0.03114186851211073,0.125,0,17,17,0,0.37
tom_second_order_false_belief_1,-0.011553425469397922,0.29411764705882354,0.4740484429065744,0,0.5555555555555556,17,17,1,0.82
tom_second_order_false_belief_2,1.159496581254312,0.23529411764705882,0.3321799307958478,0.125,0.3333333333333333,17,17,1,0.82
tom_second_order_false_belief_3,0.668992773184877,0.29411764705882354,0.4325259515570934,0,0.5555555555555556,17,17,,
tom_second_order_reality_check,-1.2994320471125296,0.29411764705882354,0.4878892733564014,0,0.5555555555555556,17,17,1,0.82
